stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1,1,0,3,140,Grand Central Terminal,40.752998,-73.977056
1,1,1,3,137,Grand Central Terminal,40.752998,-73.977056
10,1,0,1,21,University Heights,40.862248,-73.91312
10,1,1,1,20,University Heights,40.862248,-73.91312
100,1,0,1,9,HM Valley-Wingdale,41.637525,-73.57145
100,1,1,1,7,HM Valley-Wingdale,41.637525,-73.57145
101,1,0,1,9,Dover Plains,41.740401,-73.576502
101,1,1,1,7,Dover Plains,41.740401,-73.576502
105,1,0,1,22,Mt Vernon East,40.912161,-73.832185
105,1,1,1,20,Mt Vernon East,40.912161,-73.832185
106,1,0,1,22,Pelham,40.910321,-73.810242
106,1,1,1,20,Pelham,40.910321,-73.810242
108,1,0,1,22,New Rochelle,40.911605,-73.783807
108,1,1,1,20,New Rochelle,40.911605,-73.783807
11,1,0,1,38,Marble Hill,40.874333,-73.910941
11,1,1,1,39,Marble Hill,40.874333,-73.910941
110,1,0,1,22,Larchmont,40.933394,-73.759792
110,1,1,1,20,Larchmont,40.933394,-73.759792
111,1,0,1,22,Mamaroneck,40.954061,-73.736125
111,1,1,1,20,Mamaroneck,40.954061,-73.736125
112,1,0,1,22,Harrison,40.969432,-73.712964
112,1,1,1,20,Harrison,40.969432,-73.712964
114,1,0,1,22,Rye,40.986744,-73.679131
114,1,1,1,20,Rye,40.986744,-73.679131
115,1,0,1,22,Port Chester,41.000732,-73.6647
115,1,1,1,20,Port Chester,41.000732,-73.6647
116,1,0,1,25,Greenwich,41.021277,-73.624621
116,1,1,1,20,Greenwich,41.021277,-73.624621
118,1,0,1,22,Cos Cob,41.030171,-73.598306
118,1,1,1,20,Cos Cob,41.030171,-73.598306
120,1,0,1,22,Riverside,41.031682,-73.588173
120,1,1,1,20,Riverside,41.031682,-73.588173
121,1,0,1,22,Old Greenwich,41.033817,-73.565859
121,1,1,1,20,Old Greenwich,41.033817,-73.565859
124,1,0,2,64,Stamford,41.046611,-73.542846
124,1,1,2,62,Stamford,41.046611,-73.542846
127,1,0,1,21,Noroton Heights,41.069041,-73.49788
127,1,1,1,19,Noroton Heights,41.069041,-73.49788
128,1,0,1,24,Darien,41.076913,-73.472966
128,1,1,1,24,Darien,41.076913,-73.472966
129,1,0,1,15,Rowayton,41.077456,-73.445527
129,1,1,1,13,Rowayton,41.077456,-73.445527
131,1,0,2,29,South Norwalk,41.09673,-73.421132
131,1,1,2,30,South Norwalk,41.09673,-73.421132
133,1,0,1,15,East Norwalk,41.103996,-73.404588
133,1,1,1,13,East Norwalk,41.103996,-73.404588
134,1,0,1,24,Westport,41.118928,-73.371413
134,1,1,1,24,Westport,41.118928,-73.371413
136,1,0,1,15,Green's Farms,41.122265,-73.315408
136,1,1,1,13,Green's Farms,41.122265,-73.315408
137,1,0,1,15,Southport,41.134844,-73.28897
137,1,1,1,13,Southport,41.134844,-73.28897
138,1,0,1,24,Fairfield,41.143077,-73.257742
138,1,1,1,24,Fairfield,41.143077,-73.257742
14,1,0,1,21,Spuyten Duyvil,40.878245,-73.921455
14,1,1,1,21,Spuyten Duyvil,40.878245,-73.921455
140,1,0,2,29,Bridgeport,41.178677,-73.187076
140,1,1,2,29,Bridgeport,41.178677,-73.187076
143,1,0,1,24,Stratford,41.194255,-73.131532
143,1,1,1,24,Stratford,41.194255,-73.131532
145,1,0,1,24,Milford,41.223231,-73.057647
145,1,1,1,24,Milford,41.223231,-73.057647
149,1,0,1,24,New Haven,41.296501,-72.92829
149,1,1,1,24,New Haven,41.296501,-72.92829
153,1,0,1,19,Glenbrook,41.070547,-73.520021
153,1,1,1,18,Glenbrook,41.070547,-73.520021
154,1,0,1,19,Springdale,41.08876,-73.517828
154,1,1,1,18,Springdale,41.08876,-73.517828
155,1,0,1,19,Talmadge Hill,41.116012,-73.498149
155,1,1,1,18,Talmadge Hill,41.116012,-73.498149
157,1,0,1,19,New Canaan,41.146305,-73.495626
157,1,1,1,18,New Canaan,41.146305,-73.495626
