route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
1,1,1,0,22.8,11.6,Grand Central Terminal,40.752998,-73.977056,"",Hudson
1,1,1,1,24.1,13.3,Grand Central Terminal,40.752998,-73.977056,"",Hudson
2,1,1,0,29.8,9.8,Grand Central Terminal,40.752998,-73.977056,"",Harlem
2,1,1,1,28.7,12.7,Grand Central Terminal,40.752998,-73.977056,"",Harlem
3,1,1,0,27.3,12.4,Grand Central Terminal,40.752998,-73.977056,"",New Haven
3,1,1,1,27.2,10.0,Grand Central Terminal,40.752998,-73.977056,"",New Haven
1,10,1,0,58.4,5.0,University Heights,40.862248,-73.91312,"",Hudson
1,10,1,1,59.9,0.2,University Heights,40.862248,-73.91312,"",Hudson
2,100,1,0,84.0,,HM Valley-Wingdale,41.637525,-73.57145,"",Harlem
2,100,1,1,,,HM Valley-Wingdale,41.637525,-73.57145,"",Harlem
2,101,1,0,87.0,,Dover Plains,41.740401,-73.576502,"",Harlem
2,101,1,1,,,Dover Plains,41.740401,-73.576502,"",Harlem
3,105,1,0,58.6,5.6,Mt Vernon East,40.912161,-73.832185,"",New Haven
3,105,1,1,61.9,6.2,Mt Vernon East,40.912161,-73.832185,"",New Haven
3,106,1,0,58.6,5.6,Pelham,40.910321,-73.810242,"",New Haven
3,106,1,1,61.9,6.2,Pelham,40.910321,-73.810242,"",New Haven
3,108,1,0,58.6,5.6,New Rochelle,40.911605,-73.783807,"",New Haven
3,108,1,1,61.9,6.2,New Rochelle,40.911605,-73.783807,"",New Haven
1,11,1,0,31.1,9.7,Marble Hill,40.874333,-73.910941,"",Hudson
1,11,1,1,30.7,9.4,Marble Hill,40.874333,-73.910941,"",Hudson
3,110,1,0,58.6,5.6,Larchmont,40.933394,-73.759792,"",New Haven
3,110,1,1,61.9,6.2,Larchmont,40.933394,-73.759792,"",New Haven
3,111,1,0,58.6,5.6,Mamaroneck,40.954061,-73.736125,"",New Haven
3,111,1,1,61.9,6.2,Mamaroneck,40.954061,-73.736125,"",New Haven
3,112,1,0,58.6,5.6,Harrison,40.969432,-73.712964,"",New Haven
3,112,1,1,61.9,6.2,Harrison,40.969432,-73.712964,"",New Haven
3,114,1,0,58.6,5.6,Rye,40.986744,-73.679131,"",New Haven
3,114,1,1,61.9,6.2,Rye,40.986744,-73.679131,"",New Haven
3,115,1,0,58.6,5.6,Port Chester,41.000732,-73.6647,"",New Haven
3,115,1,1,61.9,6.2,Port Chester,41.000732,-73.6647,"",New Haven
3,116,1,0,51.0,15.8,Greenwich,41.021277,-73.624621,"",New Haven
3,116,1,1,61.9,6.2,Greenwich,41.021277,-73.624621,"",New Haven
3,118,1,0,58.6,5.6,Cos Cob,41.030171,-73.598306,"",New Haven
3,118,1,1,61.9,6.2,Cos Cob,41.030171,-73.598306,"",New Haven
3,120,1,0,58.6,5.6,Riverside,41.031682,-73.588173,"",New Haven
3,120,1,1,61.9,6.2,Riverside,41.031682,-73.588173,"",New Haven
3,121,1,0,58.6,5.7,Old Greenwich,41.033817,-73.565859,"",New Haven
3,121,1,1,61.9,6.2,Old Greenwich,41.033817,-73.565859,"",New Haven
3,124,1,0,28.2,19.8,Stamford,41.046611,-73.542846,"",New Haven
3,124,1,1,27.9,17.5,Stamford,41.046611,-73.542846,"",New Haven
4,124,1,0,60.5,3.8,Stamford,41.046611,-73.542846,"",New Canaan
4,124,1,1,60.5,3.2,Stamford,41.046611,-73.542846,"",New Canaan
3,127,1,0,60.0,7.3,Noroton Heights,41.069041,-73.49788,"",New Haven
3,127,1,1,62.6,7.0,Noroton Heights,41.069041,-73.49788,"",New Haven
3,128,1,0,51.8,15.3,Darien,41.076913,-73.472966,"",New Haven
3,128,1,1,49.0,18.2,Darien,41.076913,-73.472966,"",New Haven
3,129,1,0,58.6,10.3,Rowayton,41.077456,-73.445527,"",New Haven
3,129,1,1,61.1,2.7,Rowayton,41.077456,-73.445527,"",New Haven
3,131,1,0,51.9,15.6,South Norwalk,41.09673,-73.421132,"",New Haven
3,131,1,1,49.1,18.3,South Norwalk,41.09673,-73.421132,"",New Haven
5,131,1,0,,,South Norwalk,41.09673,-73.421132,"",Danbury
5,131,1,1,,,South Norwalk,41.09673,-73.421132,"",Danbury
3,133,1,0,56.2,7.8,East Norwalk,41.103996,-73.404588,"",New Haven
3,133,1,1,64.6,7.8,East Norwalk,41.103996,-73.404588,"",New Haven
3,134,1,0,52.0,16.1,Westport,41.118928,-73.371413,"",New Haven
3,134,1,1,49.1,18.3,Westport,41.118928,-73.371413,"",New Haven
3,136,1,0,59.1,10.8,Green's Farms,41.122265,-73.315408,"",New Haven
3,136,1,1,61.5,2.5,Green's Farms,41.122265,-73.315408,"",New Haven
3,137,1,0,55.7,7.7,Southport,41.134844,-73.28897,"",New Haven
3,137,1,1,65.0,6.7,Southport,41.134844,-73.28897,"",New Haven
3,138,1,0,52.1,16.6,Fairfield,41.143077,-73.257742,"",New Haven
3,138,1,1,49.2,18.3,Fairfield,41.143077,-73.257742,"",New Haven
1,14,1,0,58.4,5.0,Spuyten Duyvil,40.878245,-73.921455,"",Hudson
1,14,1,1,59.9,0.2,Spuyten Duyvil,40.878245,-73.921455,"",Hudson
3,140,1,0,52.1,16.6,Bridgeport,41.178677,-73.187076,"",New Haven
3,140,1,1,49.2,18.3,Bridgeport,41.178677,-73.187076,"",New Haven
6,140,1,0,,,Bridgeport,41.178677,-73.187076,"",Waterbury
6,140,1,1,,,Bridgeport,41.178677,-73.187076,"",Waterbury
3,143,1,0,52.1,16.6,Stratford,41.194255,-73.131532,"",New Haven
3,143,1,1,49.2,18.3,Stratford,41.194255,-73.131532,"",New Haven
3,145,1,0,52.1,16.6,Milford,41.223231,-73.057647,"",New Haven
3,145,1,1,49.2,18.3,Milford,41.223231,-73.057647,"",New Haven
3,149,1,0,51.8,16.3,New Haven,41.296501,-72.92829,"",New Haven
3,149,1,1,49.3,18.4,New Haven,41.296501,-72.92829,"",New Haven
