route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
20622,4,0,73,20,19440,87900,19,30.3,1.2,37,18.1,19.3,76.2,1353.5638219827586206444,1,HOSPITAL
20622,4,1,73,20,19440,87900,19,31.3,4.1,36,17.9,19.8,81.2,1302.0610983367983369409,1,HOSPITAL
20623,4,0,142,22,17820,91740,21,16.8,5.2,70,16.0,17.1,78.8,1026.3807574483508518177,2,BELLAIRE
20623,4,1,142,22,17820,91740,21,16.5,5.1,72,16.1,16.4,77.2,1129.3367593162083937421,2,BELLAIRE
20624,4,0,45,20,18420,88320,19,50.0,0.0,22,17.8,19.0,92.0,1102.6900175824175823635,3,LANGLEY /  W.GRAY
20624,4,1,45,20,18420,88320,19,50.0,0.0,23,18.3,19.8,96.0,1102.1880568421052632097,3,LANGLEY /  W.GRAY
20625,4,0,88,21,19860,91560,20,25.0,1.0,44,20.5,19.1,87.0,1170.8362953488372094473,4,BEECHNUT
20625,4,1,88,21,19860,91560,20,24.9,0.5,44,20.2,18.3,85.0,1152.3262595238095237939,4,BEECHNUT
20626,4,0,77,22,15660,90180,21,30.0,0.0,38,17.2,28.3,158.9,945.7661254915028323751,5,SOUTHMORE / KASHMERE
20626,4,1,77,22,15660,90180,21,29.9,0.2,39,17.0,27.6,153.7,954.1090709200805909555,5,SOUTHMORE / KASHMERE
20627,4,0,71,19,18420,86160,19,29.9,0.2,35,19.2,20.6,94.7,1162.3488999694935937996,6,JENSEN / TANGLEWOOD
20627,4,1,71,19,18420,86160,19,30.1,1.2,36,18.2,22.6,103.9,1160.9489514439946020297,6,JENSEN / TANGLEWOOD
20628,4,0,47,21,18300,90660,20,24.5,16.6,48,19.7,19.9,83.0,1110.3931783132530121233,8,SOUTH MAIN
20628,4,1,47,21,18300,90660,20,50.0,0.0,23,19.2,17.6,79.0,1188.3739935897435896847,8,SOUTH MAIN
20629,4,0,68,19,18900,84480,18,30.9,5.2,34,19.0,20.0,99.2,1075.2975225883762731827,9,N. MAIN / GULFTON
20629,4,1,68,19,18900,84480,18,30.0,0.7,34,17.9,20.5,100.1,1089.5521433827893175892,9,N. MAIN / GULFTON
20630,4,0,55,19,21960,88500,18,40.0,0.0,28,21.0,10.8,55.0,1044.3666037037037036794,10,WILLOWBEND
20630,4,1,55,19,21960,88500,18,39.9,0.7,27,20.0,9.4,48.0,1056.8868893617021275409,10,WILLOWBEND
20631,4,0,63,21,17160,86880,19,35.8,7.2,30,17.8,23.2,121.0,1018.6411333333333334427,11,NANCE / ALMEDA
