stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10010,4,1,1,23,MANGUM RD @ 18TH ST,29.801149,-95.458519
10012,4,1,1,25,18TH ST @ NORTHWEST FREEWAY,29.801396,-95.452963
10015,4,1,1,23,MANGUM RD @ 20TH ST,29.803812,-95.458618
10016,4,1,1,23,MANGUM RD @ DACOMA ST,29.806552,-95.458702
10018,4,1,1,23,DACOMA ST @ NORTHWEST FREEWAY,29.806822,-95.456528
10019,4,0,1,21,DACOMA ST @ NORTHWEST FREEWAY,29.807336,-95.456108
10021,4,0,1,21,MANGUM RD @ 20TH ST,29.804245,-95.458878
10022,4,0,1,21,MANGUM RD @ 18TH ST,29.801831,-95.458801
10023,4,0,1,15,43RD ST @ NORTHWEST FREEWAY,29.83334,-95.48509
10025,4,0,1,15,43RD ST @ LANG RD,29.83315,-95.48873
10026,4,0,1,15,43RD ST @ BINGLE RD,29.83332,-95.49057
10028,4,0,1,15,43RD ST @ NORTHFIELD LN,29.8356,-95.49861
10030,4,0,1,15,43RD ST @ HEMPSTEAD RD,29.83382,-95.50465
10032,4,0,1,15,PITNER RD @ HOLLISTER RD,29.82927,-95.50897
10033,4,0,1,15,PITNER RD @ HOLLISTER RD,29.8293,-95.50588
10034,4,0,1,15,PITNER RD @ ROMA ST,29.829312,-95.502299
10034,4,1,1,17,PITNER RD @ ROMA ST,29.829312,-95.502299
10035,4,1,1,17,PITNER RD @ SOWDEN RD,29.82962,-95.50014
10038,4,1,1,17,BINGLE RD @ FELDSPAR,29.82906,-95.49122
10039,4,1,1,17,BINGLE RD @ LODGE ST,29.83066,-95.49111
10041,4,1,1,17,43RD ST @ LANG RD,29.83292,-95.48904
10044,4,0,1,21,PACKARD ST @ TIDWELL RD,29.85059,-95.524783
10044,4,1,1,20,PACKARD ST @ TIDWELL RD,29.85059,-95.524783
10046,4,1,1,20,TIDWELL RD @ RAYWOOD BLVD,29.85078,-95.518784
10047,4,1,1,20,TIDWELL RD @ GUHN RD,29.850807,-95.513374
10048,4,1,1,20,TIDWELL RD @ DOW RD,29.850829,-95.511885
10050,4,0,1,21,TIDWELL RD @ GUHN RD,29.851041,-95.515249
10060,4,1,1,30,GESSNER RD @ BAMBOO RD,29.848301,-95.54526
10061,4,1,1,30,GESSNER RD @ TANGIERS RD,29.846398,-95.545257
10072,4,1,1,30,GESSNER RD @ CLAY RD,29.832429,-95.545474
10073,4,1,1,44,BEECHNUT ST @ CORPORATE DR,29.689993,-95.551659
10074,4,1,1,44,BEECHNUT ST @ COLONY DR,29.690407,-95.548386
10076,4,1,1,44,BEECHNUT ST @ JORINE DR,29.690485,-95.543227
10077,4,1,1,44,BEECHNUT ST @ JORINE DR,29.690517,-95.540489
10078,4,1,1,44,BEECHNUT ST @ LA ROCHE LN,29.690545,-95.537842
10080,4,1,1,44,BEECHNUT ST @ TANGLEWILDE AVE,29.692178,-95.532362
10081,4,1,1,44,BEECHNUT ST @ MARY BATES BLVD,29.692468,-95.530403
10084,4,0,1,31,GESSNER RD @ BEECHNUT ST,29.690866,-95.534714
10085,4,0,1,31,GESSNER RD @ TRIOLA LN,29.69642,-95.537636
10088,4,0,1,31,GESSNER RD @ BELLAIRE BLVD,29.704604,-95.537857
10090,4,0,1,31,GESSNER RD @ CLAREWOOD DR,29.711134,-95.538768
10091,4,0,1,31,GESSNER RD @ TOWN PARK DR,29.712967,-95.538795
10093,4,0,1,31,GESSNER RD @ WESTPARK DR,29.721742,-95.538925
10094,4,0,1,31,GESSNER RD @ PAGEWOOD LN,29.725074,-95.538948
10095,4,0,1,31,GESSNER RD @ RICHMOND AVE,29.72745,-95.538994
10097,4,0,1,31,GESSNER RD @ MEADOWGLEN LN,29.732242,-95.539085
10102,4,1,1,37,FONDREN RD @ LIPAN RD,29.723907,-95.520668
10103,4,1,1,37,FONDREN RD @ WESTPARK DR,29.722161,-95.520592
10108,4,0,1,45,FONDREN RD @ DASHWOOD DR,29.707524,-95.521438
10108,4,1,2,63,FONDREN RD @ DASHWOOD DR,29.707524,-95.521438
10110,4,0,1,65,FONDREN RD @ BELLAIRE BLVD,29.704738,-95.521402
10110,4,1,1,37,FONDREN RD @ BELLAIRE BLVD,29.704738,-95.521402
10113,4,1,1,64,FONDREN RD @ SOUTHWEST FREEWAY,29.701135,-95.518562
10115,4,1,1,64,FONDREN RD @ BELLAIRE BLVD,29.704792,-95.521146
10116,4,0,2,61,FONDREN RD @ BELLAIRE BLVD,29.705972,-95.521162
10116,4,1,1,39,FONDREN RD @ BELLAIRE BLVD,29.705972,-95.521162
10118,4,0,2,61,FONDREN RD @ CLAREWOOD DR,29.709144,-95.521194
10118,4,1,1,39,FONDREN RD @ CLAREWOOD DR,29.709144,-95.521194
10119,4,0,1,36,CLAREWOOD DR @ MARINETTE DR,29.709645,-95.51815
10119,4,1,1,39,CLAREWOOD DR @ MARINETTE DR,29.709645,-95.51815
10120,4,1,1,39,CLAREWOOD DR @ REIMS RD,29.709674,-95.515869
10123,4,1,1,39,BELLERIVE DR @ REIMS RD,29.713104,-95.515526
10124,4,0,1,36,BELLERIVE DR @ MARINETTE DR,29.713069,-95.517975
10125,4,0,1,36,BELLERIVE DR @ FONDREN RD,29.713125,-95.520561
10126,4,1,1,37,BELLERIVE DR @ FONDREN RD,29.712945,-95.520294
10133,4,0,1,45,CLAREWOOD DR @ MARINETTE DR,29.70977,-95.517853
10133,4,1,1,37,CLAREWOOD DR @ MARINETTE DR,29.70977,-95.517853
10136,4,0,2,60,HEMPSTEAD RD @ DACOMA ST,29.806323,-95.4664
10136,4,1,1,16,HEMPSTEAD RD @ DACOMA ST,29.806323,-95.4664
10140,4,0,1,27,HAMMERLY BLVD @ HARLAND DR,29.81095,-95.47641
10143,4,0,1,27,HAMMERLY BLVD @ JOHANNA DR,29.81068,-95.48273
10145,4,0,1,27,HAMMERLY BLVD @ SPENWICK DR,29.81077,-95.48921
10146,4,0,1,27,HAMMERLY BLVD @ RIDGECREST DR,29.810905,-95.492499
10147,4,0,1,27,HAMMERLY BLVD @ RIDGEMORE DR,29.811132,-95.494242
10149,4,0,1,27,HAMMERLY BLVD @ BINGLE RD,29.811015,-95.500656
