route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
10317,1_merged_1684371,0,112,22,14700,92820,22,22.6,4.3,56,14.2,8.6,42.0,1103.4306213600697471362,1,Gold
10317,1_merged_1684371,1,112,22,14700,92820,22,22.6,4.3,56,15.3,7.6,36.8,1119.6250252747252748731,1,Gold
10318,1_merged_1684371,0,86,23,17520,95100,22,29.9,0.5,42,17.5,18.8,65.5,1541.0989565656565655240,2,Red
10318,1_merged_1684371,1,86,23,17520,95100,22,30.4,3.0,42,16.6,18.8,63.4,1588.5863377562430117033,2,Red
10319,1_merged_1684371,0,69,22,14820,90540,21,35.4,11.8,34,16.6,16.1,73.8,1167.1795449474535165140,4,Natural Bridge
10319,1_merged_1684371,1,69,22,14820,90540,21,35.3,11.3,35,17.7,17.2,76.9,1193.9462609039548023674,4,Natural Bridge
10320,1_merged_1684371,0,47,22,14400,91320,21,53.4,9.7,23,16.6,16.2,72.0,1195.9614690140845069868,8,Bates Morganford
10320,1_merged_1684371,1,47,22,14400,91320,21,50.8,11.2,24,16.6,16.2,73.0,1184.7827708333333334427,8,Bates Morganford
10321,1_merged_1684371,0,74,21,14880,89400,21,32.0,6.5,38,14.7,15.3,68.0,1200.0191350806451611739,10,Gravois Lindell
10321,1_merged_1684371,1,74,21,14880,89400,21,31.7,6.3,38,15.2,15.2,70.0,1152.8104385669537978684,10,Gravois Lindell
10322,1_merged_1684371,0,98,22,14520,90360,21,24.3,8.2,49,14.1,11.9,62.0,1034.2465016393442621391,11,Chippewa
10322,1_merged_1684371,1,98,22,14520,90360,21,24.4,8.3,49,14.8,11.5,58.0,1065.3867491228070173942,11,Chippewa
10323,1_merged_1684371,0,60,21,15360,89700,21,39.9,0.6,30,13.9,7.2,39.0,996.8800447368421053495,13,Union
10323,1_merged_1684371,1,60,21,15360,89700,21,40.1,1.0,30,13.4,7.1,37.0,1043.2486333333333334427,13,Union
10324,1_merged_1684371,0,75,22,16200,90840,21,31.5,7.1,39,17.6,18.3,76.9,1268.1687841805901172250,16,City Limits
10324,1_merged_1684371,1,75,22,16200,90840,21,31.0,7.4,40,17.8,18.2,81.5,1191.9617977792292619291,16,City Limits
10325,1_merged_1684371,0,37,17,16980,74040,16,50.5,17.7,19,23.5,17.2,54.1,1709.2189028741328045972,17,Oakville
10325,1_merged_1684371,1,37,17,16980,74040,16,49.9,15.8,18,22.9,17.6,58.1,1545.0509863813229572227,17,Oakville
10326,1_merged_1684371,0,56,22,15240,90000,21,43.9,8.0,28,14.0,6.9,39.0,942.4672500000000000000,18,Taylor
10326,1_merged_1684371,1,56,22,15240,90000,21,43.8,8.1,28,15.5,6.9,40.0,910.9990948717948718790,18,Taylor
10327,1_merged_1684371,0,79,21,16740,89820,20,29.9,10.2,39,21.5,10.4,35.0,1615.9214499999999999807,21,Watson Rd.
10327,1_merged_1684371,1,79,21,16740,89820,20,29.5,9.7,40,21.6,9.9,34.0,1591.9511424242424241430,21,Watson Rd.
10328,1_merged_1684371,0,35,18,18300,82200,18,59.8,0.7,18,29.8,23.8,73.0,1745.7790875000000000000,27,North County Shuttle
10328,1_merged_1684371,1,35,18,18300,82200,18,60.0,0.0,17,29.7,24.3,76.0,1706.5618413333333334427,27,North County Shuttle
10329,1_merged_1684371,0,65,22,14760,90540,21,35.5,8.5,34,16.3,27.8,130.0,1136.2460534992954438568,30,Soulard
10329,1_merged_1684371,1,65,22,14760,90540,21,35.7,8.6,33,16.3,27.2,126.0,1147.7743284178955261115,30,Soulard
10330,1_merged_1684371,0,72,22,14700,90480,21,34.0,10.8,36,15.7,19.2,90.2,1137.4552401869158878566,32,M L King Chouteau
10330,1_merged_1684371,1,72,22,14700,90480,21,32.3,12.6,37,15.6,18.0,83.8,1146.5513344619510558616,32,M L King Chouteau
10331,1_merged_1684371,0,49,19,19080,86280,19,44.9,14.3,25,24.4,16.4,59.8,1474.9969857142857141451,33,Dorsett-Lackland
10331,1_merged_1684371,1,49,19,19080,86280,19,43.1,10.4,24,24.3,15.9,59.4,1440.3119278372591005335,33,Dorsett-Lackland
10332,1_merged_1684371,0,30,20,11700,85140,20,40.0,18.0,30,38.5,33.4,30.0,0.14255379310344827587112,34,Earth City
10333,1_merged_1684371,0,63,22,17760,90480,20,38.3,3.9,31,32.0,33.0,56.6,3129.6621621809744778509,35,Rock Road
10333,1_merged_1684371,1,63,22,17760,90480,20,38.1,3.4,32,32.5,33.2,59.9,2980.2881649150743098903,35,Rock Road
10334,1_merged_1684371,0,56,22,15780,91260,21,44.3,8.4,28,21.3,28.2,102.4,1458.5676251233262860423,36,Spanish Lake
10334,1_merged_1684371,1,56,22,15780,91260,21,43.9,8.0,28,21.3,28.4,100.6,1501.8318112943707423115,36,Spanish Lake
10335,1_merged_1684371,0,57,23,14160,92100,22,43.0,7.3,28,19.9,22.9,97.0,1257.7918562500000000000,40,Broadway
10335,1_merged_1684371,1,57,23,14160,92100,22,44.1,8.5,29,20.1,22.5,98.0,1223.0688556701030928038,40,Broadway
10336,1_merged_1684371,0,68,22,14760,90720,21,35.4,12.0,34,18.3,14.8,70.0,1132.9245449275362320172,41,Lee
10336,1_merged_1684371,1,68,22,14760,90720,21,35.4,11.7,34,16.6,14.9,76.0,1050.4712080000000000000,41,Lee
10337,1_merged_1684371,0,57,22,14880,91200,21,44.5,8.5,28,16.7,10.1,49.0,1103.9744750000000000000,42,Sarah
10337,1_merged_1684371,1,57,22,14880,91200,21,44.1,8.5,29,15.8,9.1,46.6,1048.0431588813303097765,42,Sarah
10338,1_merged_1684371,0,50,21,17100,87600,20,49.5,14.6,24,24.6,26.6,82.6,1724.3072633299284984695,44,Hazelwood
10338,1_merged_1684371,1,50,21,17100,87600,20,44.4,15.2,26,23.4,24.7,75.7,1747.9492020597322347250,44,Hazelwood
10339,1_merged_1684371,0,40,21,15300,87300,20,60.0,0.0,20,24.1,24.1,96.0,1340.0950936842105264194,45,Ferguson Florissant
10339,1_merged_1684371,1,40,21,15300,87300,20,60.0,0.0,20,24.6,24.2,91.0,1420.7677844444444444809,45,Ferguson Florissant
10340,1_merged_1684371,0,44,17,19260,76500,16,28.9,24.2,32,27.0,12.6,41.1,1639.6880198124267291107,46,Tesson Ferry
10340,1_merged_1684371,1,44,17,19260,76500,16,42.2,17.2,23,24.8,11.7,40.9,1550.4444129629629628200,46,Tesson Ferry
10341,1_merged_1684371,0,58,21,14520,88620,21,39.7,11.7,30,25.5,22.9,81.7,1493.6279721717588770021,47,North Hanley
10341,1_merged_1684371,1,58,21,14520,88620,21,41.8,14.5,28,25.0,24.4,83.7,1549.8597884665226780426,47,North Hanley
10342,1_merged_1684371,0,55,21,16500,87000,20,43.7,8.1,27,25.3,31.0,88.6,1860.6043457311918850630,48,South Lindbergh
10342,1_merged_1684371,1,55,21,16500,87000,20,42.9,7.5,27,24.8,31.9,84.5,2017.5362974337040206112,48,South Lindbergh
10343,1_merged_1684371,0,54,21,16680,89880,20,42.8,7.5,27,29.6,23.2,52.2,2391.3639722865412444615,49,North Lindbergh
10343,1_merged_1684371,1,54,21,16680,89880,20,44.1,8.3,27,27.5,23.2,56.2,2213.8631176510067114138,49,North Lindbergh
