stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10009,1_merged_1684371,1,1,26,FORDER RD @ KINGBOLT BLVD,38.497478,-90.325315
10013,1_merged_1684371,1,1,6,LEMAY FERRY RD @ SWISS DRIVE,38.498854,-90.336609
10015,1_merged_1684371,1,1,6,LEMAY FERRY RD @ MATTIS RD,38.494539,-90.344685
10016,1_merged_1684371,1,1,6,LEMAY FERRY RD @ CLAYRIDGE DR,38.488954,-90.3476
10030,1_merged_1684371,0,1,26,LINDBERGH @ TESSON FERRY RD,38.523617,-90.353882
10033,1_merged_1684371,0,1,26,LINDBERGH @ FLORI DR,38.518989,-90.3431
10035,1_merged_1684371,0,1,26,LINDBERGH @ E CONCORD RD,38.514548,-90.342355
10067,1_merged_1684371,0,1,16,CLAYTON RD @ WELLINGTON ESTATES DR,38.620361,-90.530026
10069,1_merged_1684371,0,1,16,CLAYTON RD @ BAXTER CTR,38.617207,-90.538216
10071,1_merged_1684371,0,1,16,CLAYTON RD @ CHESTERTON LN,38.614225,-90.544219
10072,1_merged_1684371,0,1,16,CLAYTON RD @ COUNTRY CLUB DR,38.613187,-90.549887
10076,1_merged_1684371,0,1,16,CLAYTON RD @ GREENBRIAR LN,38.609755,-90.559911
10077,1_merged_1684371,0,1,16,CLAYTON RD @ CLAYMONT DR,38.608682,-90.562831
10088,1_merged_1684371,1,1,5,CLARKSON RD @ COUNTRY RIDGE DR,38.624488,-90.580669
10093,1_merged_1684371,0,1,6,CLARKSON RD @ CHESTERFIELD CTR E,38.650768,-90.56108
10094,1_merged_1684371,0,1,6,CLARKSON RD @ LEA OAK DR,38.643555,-90.566557
10095,1_merged_1684371,0,1,6,CLARKSON RD @ BAXTER RD,38.640476,-90.568815
10102,1_merged_1684371,0,1,6,CLARKSON RD @ DOWNALL GREEN DR,38.617258,-90.584636
10113,1_merged_1684371,1,1,18,CLAYTON RD @ LONDONDARY DR,38.610613,-90.556654
10116,1_merged_1684371,1,1,18,CLAYTON RD @ COUNTRY CLUB DR,38.613098,-90.549365
10123,1_merged_1684371,1,1,18,CLAYTON RD @ VILLAGE GREEN PKY,38.622692,-90.519831
10124,1_merged_1684371,1,1,18,CLAYTON RD @ LAMP AND LANTERN VLG,38.623496,-90.51647
10143,1_merged_1684371,0,1,5,HALLS FERRY RD @ GLEN GARDEN DR,38.733901,-90.24739
10145,1_merged_1684371,1,1,5,HALLS FERRY RD @ COZENS AVE,38.732516,-90.24628
10146,1_merged_1684371,1,1,5,HALLS FERRY RD @ GLEN GARDEN DR,38.733659,-90.247008
10157,1_merged_1684371,1,1,5,HALLS FERRY RD @ S CAPITOL DR,38.75491,-90.255837
10158,1_merged_1684371,1,1,5,HALLS FERRY RD @ HUDSON RD,38.759123,-90.257183
10233,1_merged_1684371,1,1,6,LEMAY FERRY RD @ OLD LEMAY FERRY RD,38.480997,-90.353714
