route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
10320,1_merged_1684371,1,1,2,18960,22560,1,,,1,16.2,16.2,73.0,1184.7827708333333334427,8,Bates Morganford
10321,1_merged_1684371,0,9,8,62640,89400,7,54.6,43.8,5,15.8,15.3,68.0,1196.0403717472118958315,10,Gravois Lindell
10321,1_merged_1684371,1,9,8,62640,89400,7,61.0,38.0,6,16.8,15.2,70.0,1149.9288627167630056419,10,Gravois Lindell
10322,1_merged_1684371,0,98,22,14520,90360,21,24.3,8.2,49,14.1,11.9,62.0,1034.2465016393442621391,11,Chippewa
10322,1_merged_1684371,1,98,22,14520,90360,21,24.4,8.3,49,14.8,11.5,58.0,1065.3867491228070173942,11,Chippewa
10325,1_merged_1684371,0,2,2,68880,74040,1,,,1,24.2,16.9,54.0,1685.7282754716981132385,17,Oakville
10325,1_merged_1684371,1,2,2,68880,74040,1,,,1,23.6,17.3,58.0,1521.6241894736842103709,17,Oakville
10340,1_merged_1684371,0,2,2,64260,68100,1,3.0,,2,28.3,13.7,43.0,1677.4989976744186045596,46,Tesson Ferry
10340,1_merged_1684371,1,2,2,64260,68100,1,,,1,24.9,12.8,43.0,1613.9160880952380951756,46,Tesson Ferry
10363,1_merged_1684371,0,111,24,14100,93660,22,22.8,5.1,55,21.6,23.1,148.8,823.6849822408067888923,1,Main Street - State Street
10363,1_merged_1684371,1,111,24,14100,93660,22,23.2,6.4,56,21.5,22.7,153.1,788.8359464780464897888,1,Main Street - State Street
10364,1_merged_1684371,0,90,22,15420,91980,21,26.9,4.6,45,27.9,17.1,65.8,1395.1484188400823609730,2,Cahokia
10364,1_merged_1684371,1,90,22,15420,91980,21,27.0,4.6,45,29.6,18.2,70.1,1389.1374205787781351474,2,Cahokia
10377,1_merged_1684371,0,342,23,13080,91620,22,8.0,2.4,155,37.2,34.8,22.4,8561.5996461304588170073,Metrolink,MetroLink
10377,1_merged_1684371,1,342,23,13080,91620,22,8.0,2.7,155,37.4,33.9,21.9,8550.9617405817174514881,Metrolink,MetroLink
