stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10220,1_merged_1684371,0,1,1,SPOKANE @ REAVIS PARK RIDE LOT,38.532522,-90.313129
10220,1_merged_1684371,1,1,1,SPOKANE @ REAVIS PARK RIDE LOT,38.532522,-90.313129
10316,1_merged_1684371,0,1,4,GRAVOIS AVE @ S COMPTON AVE,38.598087,-90.236259
10520,1_merged_1684371,0,1,1,LACLEDE STATION RD @ WEIL AVE,38.589396,-90.336441
10522,1_merged_1684371,0,1,1,LACLEDE STATION RD @ E SWON AVE,38.58573,-90.336935
10524,1_merged_1684371,0,1,1,LACLEDE STATION RD @ EAST JACKSON,38.582652,-90.337567
10526,1_merged_1684371,0,1,1,LACLEDE STATION RD @ ELIZABETH DR,38.58011,-90.338012
10527,1_merged_1684371,0,1,1,LACLEDE STATION RD @ LACLEDE GROVE,38.575704,-90.338751
10528,1_merged_1684371,0,1,1,LACLEDE STATION RD @ FIELDSTONE TER,38.573705,-90.339102
10529,1_merged_1684371,0,1,1,LACLEDE STATION RD @ WATSON ROAD,38.568273,-90.340017
10530,1_merged_1684371,0,2,7,LACLEDE STATION RD @ HEEGE ROAD,38.567345,-90.340157
10532,1_merged_1684371,0,2,7,LACLEDE STATION RD @ GEN SHERMAN,38.56417,-90.340685
10533,1_merged_1684371,0,2,7,LACLEDE STATION RD @ S YORKSHIRE,38.561414,-90.34113
10534,1_merged_1684371,0,2,7,LACLEDE STATION RD @ IDAMOR LN,38.560152,-90.341321
10535,1_merged_1684371,0,2,7,LACLEDE STATION RD @ HOSMER,38.557765,-90.341728
10537,1_merged_1684371,0,1,6,LACLEDE STATION RD @ ALICETON AVE,38.55389,-90.342363
10540,1_merged_1684371,1,1,6,LACLEDE STATION RD @ GRAVOIS,38.548939,-90.342928
10543,1_merged_1684371,1,1,6,LACLEDE STATION RD @ ALICETON AVE,38.55416,-90.34207
10544,1_merged_1684371,1,2,7,LACLEDE STATION RD @ HOSMER AVE.,38.557738,-90.34152
10546,1_merged_1684371,1,2,7,LACLEDE STATION RD @ ROCK SPRING,38.559736,-90.341192
10547,1_merged_1684371,1,2,7,LACLEDE STATION RD @ SO YORKSHIRE,38.56136,-90.340922
10548,1_merged_1684371,1,2,7,LACLEDE STATION RD @ GEN. SHERMAN,38.563483,-90.340582
10551,1_merged_1684371,1,2,7,LACLEDE STATION RD @ SHELLBURNE DR,38.565427,-90.340265
10554,1_merged_1684371,1,1,1,LACLEDE STATION RD @ WATSON,38.568317,-90.339796
10555,1_merged_1684371,1,1,1,LACLEDE STATION RD @ WIMBLEDON,38.570994,-90.339339
10556,1_merged_1684371,1,1,1,LACLEDE STATION RD @ FIELDSTONE DR,38.573723,-90.338882
10557,1_merged_1684371,1,1,1,LACLEDE STATION RD @ RAVENSRIDGE,38.575793,-90.338519
10560,1_merged_1684371,1,1,1,LACLEDE STATION RD @ KENRICK MANOR,38.582598,-90.337242
10562,1_merged_1684371,1,1,1,LACLEDE STATION RD @ EAST SWON AVE,38.585738,-90.336715
