table_name,column_name,active_field
DBNAME,metrotransit_light_rail,0
agency,agency_id,2
agency,agency_name,2
agency,agency_url,2
agency,agency_timezone,2
agency,agency_lang,2
agency,agency_phone,0
agency,agency_fare_url,0
stops,stop_id,40
stops,stop_code,0
stops,stop_name,40
stops,stop_desc,40
stops,stop_lat,40
stops,stop_lon,40
stops,zone_id,0
stops,stop_url,40
stops,location_type,0
stops,parent_station,0
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,4
routes,agency_id,4
routes,route_short_name,4
routes,route_long_name,4
routes,route_desc,0
routes,route_type,4
routes,route_url,4
routes,route_color,0
routes,route_text_color,0
trips,route_id,2995
trips,service_id,2995
trips,trip_id,2995
trips,trip_headsign,2995
trips,trip_short_name,0
trips,direction_id,2995
trips,block_id,2995
trips,shape_id,2995
stop_times,trip_id,46146
stop_times,arrival_time,46146
stop_times,departure_time,46146
stop_times,stop_id,46146
stop_times,stop_sequence,46146
stop_times,stop_headsign,0
stop_times,pickup_type,5497
stop_times,drop_off_type,4709
stop_times,shape_dist_traveled,0
calendar,service_id,14
calendar,monday,14
calendar,tuesday,14
calendar,wednesday,14
calendar,thursday,14
calendar,friday,14
calendar,saturday,14
calendar,sunday,14
calendar,start_date,14
calendar,end_date,14
calendar_dates,service_id,45
calendar_dates,date,45
calendar_dates,exception_type,45
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,1244
shapes,shape_pt_lat,1244
shapes,shape_pt_lon,1244
shapes,shape_pt_sequence,1244
shapes,shape_dist_traveled,0
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
