stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
17874,DEC11-Multi-Holiday-01,0,1,93,Warehouse Station & Platform,44.980038,-93.273117
17875,DEC11-Multi-Holiday-01,0,1,102,Warehouse Station & Platform,44.980083,-93.273155
51405,DEC11-Multi-Holiday-01,0,1,193,MOA Transit Station & Platform,44.854286,-93.238869
51408,DEC11-Multi-Holiday-01,0,1,93,Nicollet Mall Station & Platform,44.978504,-93.269913
51409,DEC11-Multi-Holiday-01,0,1,93,Govt Plaza Station & Platform,44.976788,-93.265854
51410,DEC11-Multi-Holiday-01,0,1,93,Metrodome Station & Platform,44.974922,-93.259895
51411,DEC11-Multi-Holiday-01,0,1,93,Cedar-Riverside Station & Platform,44.968288,-93.250961
51412,DEC11-Multi-Holiday-01,0,1,96,Franklin Station & Platform,44.962608,-93.247124
51413,DEC11-Multi-Holiday-01,0,1,96,Lake St Midtown Sta & Platform,44.948364,-93.238945
51414,DEC11-Multi-Holiday-01,0,1,96,38 St Station & Platform,44.934589,-93.229401
51415,DEC11-Multi-Holiday-01,0,1,96,46 St Station & Platform,44.920795,-93.220009
51416,DEC11-Multi-Holiday-01,0,1,96,50 St Minnehaha Sta & Platform,44.912457,-93.210289
51417,DEC11-Multi-Holiday-01,0,1,96,VA Medical Ctr Sta & Platform,44.902637,-93.202217
51418,DEC11-Multi-Holiday-01,0,1,97,Fort Snelling Station & Platform,44.893162,-93.198112
51419,DEC11-Multi-Holiday-01,0,2,127,Lindbergh Station & Platform,44.880733,-93.205025
51420,DEC11-Multi-Holiday-01,0,2,127,Humphrey Station & Platform,44.874104,-93.224129
51421,DEC11-Multi-Holiday-01,0,1,97,Bloomington Central Sta & Platform,44.856392,-93.226387
51422,DEC11-Multi-Holiday-01,0,1,97,28 Av Station & Platform,44.855721,-93.231766
51423,DEC11-Multi-Holiday-01,0,1,102,Nicollet Mall Station & Platform,44.978565,-93.270004
51424,DEC11-Multi-Holiday-01,0,1,102,Govt Plaza Station & Platform,44.976833,-93.26593
51425,DEC11-Multi-Holiday-01,0,1,102,Metrodome Station & Platform,44.975052,-93.259857
51426,DEC11-Multi-Holiday-01,0,1,102,Cedar-Riverside Sta & Platform,44.968472,-93.251068
51427,DEC11-Multi-Holiday-01,0,1,96,Franklin Station & Platform,44.962444,-93.246902
51428,DEC11-Multi-Holiday-01,0,1,96,Lake St Midtown Sta & Platform,44.948364,-93.238823
51429,DEC11-Multi-Holiday-01,0,1,96,38 St Station & Platform,44.934853,-93.229546
51430,DEC11-Multi-Holiday-01,0,1,96,46 St Station & Platform,44.920845,-93.219826
51431,DEC11-Multi-Holiday-01,0,1,96,50 St Minnehaha Sta & Platform,44.912521,-93.210205
51432,DEC11-Multi-Holiday-01,0,1,96,VA Medical Ctr Sta & Platform,44.902958,-93.202309
51433,DEC11-Multi-Holiday-01,0,1,96,Fort Snelling Station & Platform,44.893532,-93.197937
51434,DEC11-Multi-Holiday-01,0,2,126,Lindbergh Station & Platform,44.880833,-93.204811
51435,DEC11-Multi-Holiday-01,0,2,126,Humphrey Station & Platform,44.874264,-93.224197
51436,DEC11-Multi-Holiday-01,0,1,96,Bloomington Central Sta & Platform,44.856365,-93.226028
51437,DEC11-Multi-Holiday-01,0,1,96,28 Av Station & Platform,44.855804,-93.231644
51866,DEC11-Multi-Holiday-01,0,1,6,Pocket Trk - Node & Ft Snelling Stn,44.891354,-93.198738
51867,DEC11-Multi-Holiday-01,0,1,2,Pocket Track - Node & NWA LV,44.870502,-93.223244
53220,DEC11-Multi-Holiday-01,0,1,195,Target Field - Board & Platform,44.982986,-93.277344
