route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
12018,1,0,45,15,21000,69600,14,35.4,6.3,23,15.0,8.3,36.0,1234.0497200000000000000,1,SO.MIAMI HTS-PERRINE VIA SOUTHLAND
12018,1,1,45,15,21000,69600,14,34.5,5.8,22,14.5,8.1,31.0,1418.1247566666666665573,1,SO.MIAMI HTS-PERRINE VIA SOUTHLAND
12019,1,1,96,20,17820,85140,19,22.5,6.9,48,12.9,9.6,59.4,867.6443024251069900826,2,CBD TO 163ST SH. CTR VIA NW 2AVE
12019,1,0,96,20,17820,85140,19,22.2,6.1,48,14.0,10.9,68.8,828.8088149877149877166,2,CBD TO 163ST SH. CTR VIA NW 2AVE
12020,1,0,122,26,15780,105300,25,23.4,11.9,61,13.4,19.0,100.0,1011.3102525252525251763,3,AVENTURA MALL-CBD VIA BISC.BLVD.
12020,1,1,122,26,15780,105300,25,22.8,10.8,61,13.3,20.2,110.0,978.0992110091743120741,3,AVENTURA MALL-CBD VIA BISC.BLVD.
12022,1,1,110,20,17460,82800,18,18.6,5.7,53,12.9,13.1,65.9,1051.7517327034883719862,7,CBD-DOLPHIN MALL/MIA STA.VIA NW 7ST
12022,1,0,110,20,17460,82800,18,19.1,6.8,55,13.1,13.1,65.6,1061.8453615259299485081,7,CBD-DOLPHIN MALL/MIA STA.VIA NW 7ST
12023,1,1,149,21,16740,89460,20,15.1,9.2,75,13.8,14.4,76.6,1000.4959143966125618421,8,CBD-107AV/WESTCHESTER VIA SW 8ST
12023,1,0,149,21,16740,89460,20,15.1,9.4,74,12.9,14.1,72.7,1032.5136887820512819820,8,CBD-107AV/WESTCHESTER VIA SW 8ST
12024,1,1,111,21,16920,87480,20,11.9,10.3,93,12.7,18.7,111.7,879.7194895563770794412,9,AVENTURA - CBD VIA NE 6 & 2 AVE
12024,1,0,111,21,16920,87480,20,20.5,11.8,53,12.6,18.8,111.9,894.0396118277739960257,9,AVENTURA - CBD VIA NE 6 & 2 AVE
12025,1,0,67,21,17280,88560,20,33.2,10.3,33,13.7,15.5,101.0,814.5705890000000000000,10,SKYLAKE - OMNI - VIA NE12 & 2AVE
12025,1,1,67,21,17280,88560,20,32.6,11.1,34,14.1,15.2,95.0,851.6533585106382980329,10,SKYLAKE - OMNI - VIA NE12 & 2AVE
12026,1,1,190,26,16320,107460,25,15.2,12.9,95,12.9,11.6,68.1,909.6284150973006904164,11,FIU-CBD via Flagler Street
12026,1,0,190,26,16320,107460,25,15.0,12.9,95,10.4,13.0,80.1,864.7689295487821109347,11,FIU-CBD via Flagler Street
12027,1,0,66,21,16800,88260,20,33.6,10.7,35,13.0,13.7,81.0,898.8422537500000000000,12,NORTHSIDE - MERCY HOSP.
12027,1,1,66,21,16800,88260,20,33.7,10.9,31,12.7,13.7,78.0,934.1347883116883117224,12,NORTHSIDE - MERCY HOSP.
12028,1,0,86,19,16800,82080,18,23.6,5.9,43,13.3,12.7,82.0,828.1081975308641974377,16,163ST-OMNI VIA NE16AV & BISC.BLVD
12028,1,1,86,19,16800,82080,18,23.7,5.9,43,14.0,13.7,84.0,867.7849698795180724117,16,163ST-OMNI VIA NE16AV & BISC.BLVD
12029,1,1,90,21,17040,89580,20,25.6,12.6,45,15.9,21.3,134.4,841.6717336885928391924,17,NORWOOD - VIZCAYA VIA NW-SW17AVE
12029,1,0,90,21,17040,89580,20,25.1,14.8,45,15.2,20.6,128.5,847.0122864539748954222,17,NORWOOD - VIZCAYA VIA NW-SW17AVE
12030,1,1,75,18,19680,81660,17,27.0,7.5,38,14.8,9.3,46.0,1095.6790133333333334427,19,163 ST MALL-MDC NORTH
12030,1,0,75,18,19680,81660,17,26.4,5.6,37,13.9,8.5,45.0,1020.3089750000000000000,19,163 ST MALL-MDC NORTH
12031,1,1,63,20,19440,87420,19,34.7,13.8,32,12.7,10.6,71.0,800.0577885714285713817,21,NORTHSIDE - CBD
12031,1,0,63,20,19440,87420,19,32.9,10.8,31,12.3,10.5,68.0,819.7260194029850747346,21,NORTHSIDE - CBD
12032,1,0,84,21,17580,88680,20,26.6,13.7,41,15.5,23.3,122.1,1007.2916388765854642014,22,163ST.SH.CTR-COCOGROVE VIA 22AVE
12032,1,1,84,21,17580,88680,20,26.3,10.7,43,15.8,23.3,127.2,970.5119420412675017231,22,163ST.SH.CTR-COCOGROVE VIA 22AVE
12033,1,0,109,21,17580,88860,20,22.9,10.9,50,15.5,15.2,69.4,1133.4962525331888376762,24,WEST DADE TO CBD - VIA CORAL WAY
12033,1,1,109,21,17580,88860,20,22.5,11.3,53,15.9,14.4,71.5,1042.9193482456140352516,24,WEST DADE TO CBD - VIA CORAL WAY
12034,1,0,138,26,17520,105060,24,20.3,12.7,69,16.5,21.5,113.9,1000.8418101579555669135,27,COCOGROVE-CALDER VIA NW 27 AVE
12034,1,1,138,26,17520,105060,24,20.5,11.9,69,16.3,21.0,113.4,985.5365935018050542298,27,COCOGROVE-CALDER VIA NW 27 AVE
12035,1,1,33,16,20700,73020,15,49.6,1.7,17,14.2,14.7,68.0,1149.2853298507462685196,29,Hialeah Triangle-Miami Lakes
12035,1,0,33,16,20700,73020,15,49.8,1.6,16,13.7,14.1,74.0,1002.6736000000000000000,29,Hialeah Triangle-Miami Lakes
12036,1,1,82,17,17940,75300,16,22.1,8.4,40,19.8,11.0,20.0,3025.4446368421052632097,31,BUSWAY LOCAL CUTLER BAY-DADELAND SO
12036,1,0,82,17,17940,75300,16,22.5,8.9,42,18.6,10.5,19.0,3073.8230777777777779236,31,BUSWAY LOCAL CUTLER BAY-DADELAND SO
12037,1,1,73,21,17700,87960,20,30.1,9.5,36,16.6,26.8,151.0,941.2248446666666665573,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST
12037,1,0,73,21,17700,87960,20,29.4,10.3,37,16.9,24.7,140.1,933.2346945578231293075,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST
12038,1,0,61,18,19800,82560,17,31.6,11.6,31,15.5,13.4,71.5,999.0210838369963371033,33,HIA GRDNS-BISC BLVD VIA 49/103 ST
12038,1,1,61,18,19800,82560,17,34.4,9.4,30,14.5,13.8,72.6,1012.8996888268156422968,33,HIA GRDNS-BISC BLVD VIA 49/103 ST
12039,1,0,40,11,17220,70560,15,9.4,2.7,21,19.4,22.7,13.0,9795.8082833333333334427,34,Busway Flyer-Fla City-Dadeland So
12039,1,1,40,11,17220,70560,15,9.3,2.4,19,22.1,22.4,13.0,9830.2314416666666665573,34,Busway Flyer-Fla City-Dadeland So
12040,1,1,64,20,18420,87900,19,32.3,9.2,32,19.6,33.2,133.4,1323.9018568696883854104,35,MDC KENDALL-FLA.CITY VIA CUTLER BAY
12040,1,0,64,20,18420,87900,19,34.1,8.5,31,20.6,32.9,141.6,1234.2517298132503335453,35,MDC KENDALL-FLA.CITY VIA CUTLER BAY
12041,1,1,80,17,18300,78840,17,23.4,7.0,41,15.1,14.5,60.8,1263.4930122448979593042,36,DOLPHIN-DORAL-MIA.SPGS-VIA NW 36 ST
12041,1,0,80,17,18300,78840,17,23.8,7.0,39,14.9,14.9,69.2,1124.0660362030075188710,36,DOLPHIN-DORAL-MIA.SPGS-VIA NW 36 ST
12042,1,1,67,20,16500,84840,19,31.2,5.0,35,14.3,23.5,127.0,930.4212928571428572366,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE
12042,1,0,67,20,16500,84840,19,32.4,8.8,32,12.6,22.1,121.0,963.7363325000000000000,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE
12043,1,0,151,26,15900,107700,26,19.8,12.2,75,18.4,24.7,35.8,3745.0428504404442740656,38,BUSWAY MAX:FLA CITY-DADELAND SO.
12043,1,1,151,26,15900,107700,26,18.4,12.5,76,19.2,24.2,34.8,3774.5083953271028035850,38,BUSWAY MAX:FLA CITY-DADELAND SO.
12044,1,0,99,19,17160,82500,18,23.5,9.7,44,16.2,12.9,63.1,1088.7775995402298850537,40,BIRD RD/152 AVE--DOUGLAS RD STAT
12044,1,1,99,19,17160,82500,18,23.8,10.4,46,19.1,13.5,66.5,1085.4660373243738546143,40,BIRD RD/152 AVE--DOUGLAS RD STAT
12045,1,0,80,20,16500,85080,19,27.9,13.3,39,15.0,14.0,66.2,1130.8539997640581988505,42,DGLS RD-MIA SPRGS/OPALOCKA TRI-RAIL
12045,1,1,80,20,16500,85080,19,26.9,11.1,41,15.6,13.9,71.2,1033.2292795833333334427,42,DGLS RD-MIA SPRGS/OPALOCKA TRI-RAIL
12046,1,0,20,10,23100,68460,13,43.2,5.5,10,15.7,8.8,40.0,1171.7124025641025640605,46,LIBERTY CITY CONNECTION
12046,1,1,20,10,23100,68460,13,42.6,6.7,10,16.0,8.6,39.0,1189.4402078947368421398,46,LIBERTY CITY CONNECTION
12047,1,0,26,14,24000,70560,13,60.3,2.3,13,14.1,12.5,62.0,1072.4889770491803277559,48,BRICKELL-UNIV. STA. VIA S. BAYSHORE
12047,1,1,26,14,24000,70560,13,59.9,0.2,13,14.2,11.0,60.0,982.9709169491525422561,48,BRICKELL-UNIV. STA. VIA S. BAYSHORE
12048,1,1,81,17,18060,76800,16,21.1,7.6,42,16.5,18.8,41.0,2464.2278600000000000000,51,FLAGLER MAX: WEST DADE-CBD
12048,1,0,81,17,18060,76800,16,22.4,7.2,39,17.0,19.4,46.0,2199.8594622222222220764,51,FLAGLER MAX: WEST DADE-CBD
12049,1,1,55,20,16800,85560,19,38.6,9.6,28,18.0,26.4,106.0,1324.8990476190476189695,52,GOULDS - DADELAND NORTH STATION
12049,1,0,55,20,16800,85560,19,40.5,13.3,27,17.4,26.5,105.0,1342.7618692307692306178,52,GOULDS - DADELAND NORTH STATION
12050,1,0,80,21,17820,87780,19,15.9,14.2,78,13.3,19.6,109.9,916.8313842940490082557,54,HIALEAH GRDNS-BISC BLVD VIA 54 ST
12050,1,1,80,21,17820,87780,19,25.5,7.1,82,13.4,19.5,106.1,941.6695521609195402148,54,HIALEAH GRDNS-BISC BLVD VIA 54 ST
12051,1,0,39,15,19680,70440,14,44.2,15.9,18,17.5,20.2,100.8,1067.9684229398663698420,56,CHLD HOSP-MDC KEND/162 AV-VIA 56 ST
12051,1,1,39,15,19680,70440,14,41.1,14.2,19,18.4,20.9,102.3,1085.4104859896567935383,56,CHLD HOSP-MDC KEND/162 AV-VIA 56 ST
