stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10,1,1,5,168,BUSWAY@SW 136 ST,25.644544,-80.334261
100,1,0,2,134,W FLAGLER ST@SW 41 AV,25.771615,-80.2629
10002,1,1,1,17,COMMERCE WAY@NW 85 AV,25.902025,-80.338906
10003,1,0,1,16,COMMERCE WAY@NW 85 AV,25.902229,-80.338742
10004,1,1,1,17,COMMERCE WAY@#14261,25.903513,-80.330073
10005,1,1,1,17,COMMERCE WAY@NW 146 ST,25.905929,-80.32778
1002,1,1,1,17,NW 37 AV@NW 7 ST,25.779427,-80.255774
10020,1,1,1,12,W FLAGLER ST@NW 112 AV,25.768473,-80.377356
10037,1,0,2,40,NW 176 ST@NW 57 AV,25.932881,-80.29383
10052,1,1,1,9,SW 128 ST@SW 107 AV,25.650179,-80.367664
10055,1,1,1,9,SW 128 ST@SW 109 PL,25.649991,-80.372736
10056,1,1,1,9,SW 128 ST@SW 114 AV,25.648715,-80.379299
10059,1,1,1,9,SW 120 ST@SW 131 AV,25.656682,-80.406656
1006,1,1,1,10,NW 14 ST@NW 22 AV,25.787021,-80.231955
10066,1,1,1,9,SW 136 ST@SW 95 AV,25.64579,-80.343864
10079,1,1,1,5,SW 129 TE@SW 91 CT,25.649519,-80.341349
1008,1,0,1,16,PALMETTO GENRL HOS@INSIDE PKG LOT,25.885214,-80.324795
10089,1,0,1,16,NW 82 AV@NW 178 ST,25.93569,-80.335185
10098,1,1,1,61,WASHINGTON AV@11 ST,25.781769,-80.1327
10099,1,1,1,61,WEST AV@LINCOLN RD,25.790155,-80.142355
1010,1,0,1,16,W 29 ST@W 16 AV,25.847929,-80.313206
10111,1,0,1,34,SOUTH POINTE DR@WASHINGTON AV,25.768357,-80.135867
1012,1,1,1,17,W 29 St & 16 Ave,25.84797,-80.314362
10135,1,1,1,10,NW 10 AV@NW 69 ST,25.837488,-80.212913
10138,1,0,1,22,NW 54 St & 32 Ct,25.823557,-80.250205
10155,1,0,1,4,SW 89 PL@SW 136 ST,25.647707,-80.339846
10171,1,1,1,15,SW 162 AV@SW 53 TER,25.714935,-80.455339
10172,1,1,1,26,SW 162 AV@SW 85 ST,25.686588,-80.454283
10178,1,1,1,15,SW 56 ST@SW 158 CT,25.71322,-80.449535
1018,1,1,1,30,DADE BD@WEST AV,25.792951,-80.142218
102,1,0,2,144,SW 1 ST@SW 17 AV,25.772202,-80.222148
10200,1,0,1,17,NW 31 AV@NW 50 ST,25.819835,-80.24678
10205,1,0,1,17,NW 48 TER@NW 30 AV,25.818571,-80.244801
10206,1,0,1,17,NW 44 ST@NW 32 AV,25.814932,-80.248393
10220,1,0,1,11,SW 216 ST@SW 98 CT,25.566405,-80.350501
10221,1,1,1,29,NW 107 AV@NW 14 ST,25.7865,-80.368558
10222,1,1,3,57,NW 107 AV@NW 15 ST,25.788174,-80.368606
10226,1,1,1,35,E 2 AV@HIALEAH DR,25.823022,-80.277256
10231,1,1,1,5,SW 87 AV@SW 116 ST,25.662135,-80.334839
10235,1,0,1,4,SW 87 AV@SW 124 ST,25.655237,-80.334431
10245,1,1,1,11,SW 216 ST@SW 98 CT,25.566663,-80.350165
10252,1,1,1,35,SW 72 ST@SW 57 AV,25.704441,-80.28464
10253,1,0,1,15,NW 107 AV@NW 15 ST,25.788194,-80.368963
10260,1,1,3,59,NW 14 ST@NW 107 AV,25.786261,-80.369098
1027,1,0,1,36,SW 137 AV@SW 152 ST,25.625233,-80.414366
10274,1,1,1,15,NW 114 AV@NW 41 ST,25.811271,-80.381436
10278,1,0,1,15,NW 39 ST@NW 115 AV,25.809948,-80.383157
10282,1,1,1,10,NW 37 AV@NW 52 ST,25.821683,-80.256901
1029,1,1,1,23,SW 132 AV@SW 6 ST (N/F),25.762077,-80.409737
10290,1,1,1,14,SW 57 AV@SW 72 ST,25.704663,-80.285536
10291,1,0,1,15,NW 114 AV@NW 41 ST,25.811256,-80.381655
1030,1,0,1,25,HAMMOCKS TOWN CENTER@15201 SW 104 S,25.671123,-80.441877
10303,1,0,1,34,COLLINS AV@40 ST,25.812504,-80.122934
10309,1,1,1,33,BAYVISTA BLVD@# 15000,25.913751,-80.145219
10318,1,1,1,32,HOMESTEAD HOSPITAL,25.477774,-80.430202
10319,1,0,1,16,NW 17 ST @ 62 AV,25.790649,-80.297069
10323,1,1,1,76,BUSWAY@W PALM DR,25.447989,-80.47937
10324,1,1,1,10,NW 11 ST@NW 11 AVE,25.784245,-80.212749
10331,1,0,1,10,NW 9 ST@NW 2 CT,25.782737,-80.198709
10335,1,1,1,10,NW 5 AV@NW 17 ST,25.792023,-80.203137
10337,1,0,1,10,NW 8 ST@NW 6 AV,25.781727,-80.207113
1034,1,1,2,65,SW 104 ST@SW 113 PL,25.672187,-80.377967
10368,1,0,1,16,US 1@MM 87 SOUTH NEAR,24.960387,-80.568001
1037,1,1,1,36,NW 42 AV@NW 157 ST,25.917584,-80.268244
10373,1,1,1,39,NE 33 ST @ BISCAYNE BLVD,25.807667,-80.18918
10378,1,1,1,63,GOLDEN GLADES EAST PARKING LOT,25.922772,-80.212023
10380,1,0,1,11,NW 173 DR@#6881 W-F,25.93012,-80.31147
10387,1,0,1,11,NW 75 PL@NW 186 ST N-N,25.94178,-80.32212
10391,1,0,1,11,NW 59 AV@NW 186 ST S-F,25.93746,-80.29935
10393,1,0,3,35,NW 73 AV@NW186 ST S-F,25.94093,-80.31974
10394,1,0,1,124,BAY RD@20 ST,25.795028,-80.143681
10395,1,0,1,62,23 ST@LIBERTY AVE,25.798564,-80.128941
10397,1,1,1,20,NW 21 ST@NW 19 AV,25.795613,-80.22729
104,1,1,4,253,NW 1 ST@NW 1 AV,25.775087,-80.196372
10401,1,1,1,26,NW 1 AV@NW 5 ST (S/F),25.778538,-80.195394
10481,1,1,1,61,9TH ST@WEST AV,25.779305,-80.141883
10491,1,1,1,8,BRICKELL AV@SE 8 ST,25.765683,-80.190939
10493,1,1,8,245,Miami International Airport Station@Lower Level,25.795612,-80.258359
10495,1,1,1,82,MIAMI INTERNATIONAL AIRPORT STATION NORTHBOUND,25.7977,-80.259431
1050,1,0,1,16,METROZOO@MAIN ENTRANCE,25.611738,-80.396213
1062,1,0,2,78,SW 88 ST@SW 127 AV,25.68569,-80.400203
1070,1,0,5,106,DOLPHIN MALL@NW 112 AV,25.790234,-80.383144
112,1,1,4,112,NORTHSIDE STA@3150 NW 79 ST,25.845364,-80.24912
1139,1,1,2,107,NW 27 AV@NW 103 ST,25.868969,-80.242388
