route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
7,12-JUN_AFRICA,0,122,17,28800,88920,17,28.9,1.4,61,10.3,2.1,7.0,1815.7054000000000000000,7,Summerfest Grounds Shuttle
7,12-JUN_AFRICA,1,122,17,28800,88920,17,28.8,1.4,61,10.6,2.2,7.0,1925.3454833333333334427,7,Summerfest Grounds Shuttle
90,12-JUN_B2-1,0,8,3,39600,59100,5,30.0,,4,15.9,6.6,33.0,1089.7841500000000000000,90,Brewer Baseball
90,12-JUN_B2-1,1,8,3,39600,59100,5,30.0,0.0,4,18.0,8.1,20.0,2247.2777789473684210699,90,Brewer Baseball
90,12-JUN_B2-6,0,8,3,57600,77100,5,30.0,,4,15.9,6.6,33.0,1089.7841500000000000000,90,Brewer Baseball
90,12-JUN_B2-6,1,8,3,57600,77100,5,30.0,0.0,4,18.0,8.1,20.0,2247.2777789473684210699,90,Brewer Baseball
90,12-JUN_B2-7,0,8,3,61200,80700,5,30.0,,4,15.9,6.6,33.0,1089.7841500000000000000,90,Brewer Baseball
90,12-JUN_B2-7,1,8,3,61200,80700,5,30.0,0.0,4,18.0,8.1,20.0,2247.2777789473684210699,90,Brewer Baseball
90,12-JUN_B3-1,0,12,4,39600,59100,5,20.0,0.0,6,15.9,6.6,33.0,1089.7841500000000000000,90,Brewer Baseball
90,12-JUN_B3-1,1,12,4,39600,59100,5,20.0,0.0,6,18.0,8.1,20.0,2247.2777789473684210699,90,Brewer Baseball
90,12-JUN_B3-7,0,12,4,61200,80700,5,20.0,0.0,6,15.9,6.6,33.0,1089.7841500000000000000,90,Brewer Baseball
90,12-JUN_B3-7,1,12,4,61200,80700,5,20.0,0.0,6,18.0,8.1,20.0,2247.2777789473684210699,90,Brewer Baseball
90,12-JUN_B5-6,0,20,4,57600,77100,5,12.0,0.0,10,15.9,6.6,33.0,1089.7841500000000000000,90,Brewer Baseball
90,12-JUN_B5-6,1,20,4,57600,77100,5,12.0,0.0,10,18.0,8.1,20.0,2247.2777789473684210699,90,Brewer Baseball
23F,12-JUN_F1000P,0,88,17,25200,82860,16,21.0,5.7,44,19.8,9.9,38.8,1380.8388206730769231274,23,State Fair   National - Greenfield
23F,12-JUN_F1000P,1,88,17,25200,82860,16,21.1,6.4,44,18.4,9.8,42.8,1241.6116217083786725247,23,State Fair   National - Greenfield
40F,12-JUN_F1000P,0,60,17,27000,82920,16,29.4,1.5,30,34.3,16.6,2.0,87416.011100000000000,40,College Ave State Fair Flyer
40F,12-JUN_F1000P,1,60,17,27000,82920,16,29.4,1.5,30,32.8,17.5,3.0,46216.166000000000000,40,College Ave State Fair Flyer
45F,12-JUN_F1000P,0,236,16,27000,81420,15,7.4,0.5,118,23.1,5.2,2.0,27321.2151000000000000000,45,State Fair Watertown Plank Shuttle
45F,12-JUN_F1000P,1,236,16,27000,81420,15,7.4,0.5,118,39.7,5.3,2.0,27947.2299000000000000000,45,State Fair Watertown Plank Shuttle
46F,12-JUN_F1000P,0,60,16,27000,82440,15,30.0,0.0,30,31.7,12.7,3.0,33476.207050000000000,46,Southridge State Fair Flyer
46F,12-JUN_F1000P,1,60,16,27000,82440,15,30.0,0.0,30,33.4,13.3,3.0,35216.285400000000000,46,Southridge State Fair Flyer
49F,12-JUN_F1000P,0,30,17,26400,83100,16,60.0,0.0,15,33.5,25.1,3.0,66376.270500000000000,49,Green BayBrownDeer East State Fair Flyer
49F,12-JUN_F1000P,1,30,17,26400,83100,16,60.0,0.0,15,32.7,24.5,3.0,64741.184150000000000,49,Green BayBrownDeer East State Fair Flyer
