route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
2156,1,0,78,19,18420,85500,19,29.0,4.2,38,18.3,7.7,39.2,1057.7392267401791867180,1,Silver Spring-Friendship Heights
2156,1,1,78,19,18420,85500,19,27.2,4.4,40,19.4,8.1,38.8,1130.0954720529801323808,1,Silver Spring-Friendship Heights
2157,1,0,84,19,16320,82320,18,25.6,4.7,41,14.3,3.2,19.6,912.3866803149606300556,2,Silver Spring-Lyttonsville
2157,1,1,84,19,16320,82320,18,24.9,5.2,43,13.1,3.3,17.4,1051.3866906515580736042,2,Silver Spring-Lyttonsville
2158,1,0,6,4,25320,67380,12,36.5,4.9,3,17.8,7.0,33.0,1152.3692250000000000000,3,Silver Spring-Takoma
2158,1,1,6,4,25320,67380,12,36.5,0.7,3,19.1,7.1,33.0,1167.9847343750000000000,3,Silver Spring-Takoma
2159,1,0,37,12,21960,68520,13,29.9,0.2,19,15.9,6.1,35.0,948.7011500000000000000,4,Silver Spring-Kensington
2159,1,1,37,12,21960,68520,13,29.8,1.2,18,15.6,6.6,34.0,1054.7917878787878786288,4,Silver Spring-Kensington
2160,1,0,98,20,18300,89820,20,22.2,8.4,51,17.2,11.8,65.1,968.0398414552124733250,5,Silver Spring-Twinbrook Station
2160,1,1,98,20,18300,89820,20,24.4,9.2,47,17.5,12.2,64.0,1014.9601194866599121936,5,Silver Spring-Twinbrook Station
2161,1,0,58,15,21780,73860,14,29.9,0.7,29,20.6,5.9,23.0,1403.8504181818181817287,6,Parkside/Grosvenor-Montgomery Mall
2161,1,1,58,15,21780,73860,14,26.8,0.7,58,19.5,6.6,25.0,1392.2201680000000000000,6,Parkside/Grosvenor-Montgomery Mall
2162,1,0,8,6,23400,67380,12,33.3,2.8,4,14.7,4.4,21.0,1137.0797650000000000000,7,Wheaton-Kensington
2162,1,1,8,6,23400,67380,12,30.0,0.0,4,17.2,4.0,22.0,1001.8142904761904762061,7,Wheaton-Kensington
2163,1,0,54,15,21780,72060,14,30.0,1.2,27,17.8,11.2,52.8,1132.7068115879828324927,8,Silver Spring-Wheaton
2163,1,1,54,15,21780,72060,14,30.4,2.6,27,18.0,10.8,52.5,1105.8381538129496401249,8,Silver Spring-Wheaton
2164,1,0,84,19,17160,81720,18,24.9,5.2,43,18.3,8.3,39.3,1144.0414975121359224607,9,Silver Spring-Wheaton
2164,1,1,84,19,17160,81720,18,25.6,4.6,41,17.6,7.8,37.3,1135.6528164539959703702,9,Silver Spring-Wheaton
2165,1,0,68,20,16920,83280,18,29.9,1.3,34,20.7,19.6,83.0,1259.0437378048780488205,10,Twinbrook Station-Hillandale
2165,1,1,68,20,16920,83280,18,30.0,2.3,34,19.5,19.6,81.0,1285.5409137500000000000,10,Twinbrook Station-Hillandale
2166,1,0,37,11,21240,71940,14,13.3,6.3,17,17.8,6.7,32.0,1138.0730612903225807510,11,Silver Spring-Friendship Heights
2166,1,1,37,11,21240,71940,14,17.5,6.5,20,16.3,6.6,30.0,1203.7649586206896551611,11,Silver Spring-Friendship Heights
2167,1,0,105,21,16440,89820,20,23.5,6.3,52,14.6,5.9,38.0,835.5908918918918919717,12,Silver Spring-Takoma
2167,1,1,105,21,16440,89820,20,22.5,6.3,53,14.8,5.9,39.2,806.7557527667984191085,12,Silver Spring-Takoma
2168,1,0,20,8,22800,68400,13,22.8,4.8,12,15.6,7.0,39.0,970.6924842105263157204,13,Silver Spring-Takoma
2168,1,1,20,8,22800,68400,13,33.0,7.3,8,14.8,6.7,42.0,864.5194926829268292923,13,Silver Spring-Takoma
2169,1,0,65,17,18600,75600,16,29.0,2.6,33,19.6,7.2,42.0,926.9785292682926828308,14,Silver Spring-Takoma
2169,1,1,65,17,18600,75600,16,29.9,1.3,32,19.1,7.3,41.5,942.4380321511179644450,14,Silver Spring-Takoma
2170,1,0,182,22,15600,90900,21,12.5,7.1,94,14.1,4.3,29.0,803.4934642857142858549,15,Silver Spring-Langley Park
2170,1,1,182,22,15600,90900,21,13.7,6.0,88,15.0,3.6,23.0,869.5992227272727272429,15,Silver Spring-Langley Park
2171,1,0,132,22,16020,91140,21,18.4,5.9,65,13.7,9.6,59.0,876.7171413793103448389,16,Silver Spring-Takoma
2171,1,1,132,22,16020,91140,21,17.3,5.9,67,13.4,9.4,55.0,913.5519185185185183970,16,Silver Spring-Takoma
2172,1,0,86,21,16860,88020,20,26.4,6.6,45,15.2,5.5,30.0,997.0167034482758619332,17,Silver Spring-Langley Park
2172,1,1,86,21,16860,88020,20,26.8,6.9,41,13.1,4.9,26.0,1030.3521160000000000000,17,Silver Spring-Langley Park
2173,1,0,70,18,22260,86280,18,30.0,0.8,34,12.8,6.8,36.7,999.2520629324546952170,18,Silver Spring Metro/Takoma -Langley
2173,1,1,70,18,22260,86280,18,29.9,0.4,36,12.6,6.1,32.5,1007.5514111992945325700,18,Silver Spring Metro/Takoma -Langley
2174,1,0,14,10,22440,72660,14,37.1,20.1,9,20.2,8.4,46.8,919.4612283980582525769,19,Silver Spring-Northwood
2174,1,1,14,10,22440,72660,14,32.7,1.5,5,17.0,8.0,41.0,1044.2520725000000000000,19,Silver Spring-Northwood
2175,1,0,138,21,15960,89640,20,17.5,7.7,66,14.2,7.4,43.2,920.8455071069633884107,20,Silver Spring-Hillandale
2175,1,1,138,21,15960,89640,20,16.5,7.5,72,16.6,8.3,47.0,955.4842608695652174341,20,Silver Spring-Hillandale
2176,1,0,14,9,21960,71280,14,29.8,0.3,8,23.1,18.8,71.0,1411.8752328571428572366,21,Silver Spring-Briggs Chaney P&R
2176,1,1,14,9,21960,71280,14,30.0,0.0,6,21.8,17.8,75.0,1269.5430459459459458218,21,Silver Spring-Briggs Chaney P&R
2177,1,0,35,10,20700,69360,14,23.8,6.0,18,20.8,11.0,49.0,1205.0839583333333334427,22,Silver Spring-Hillandale
2177,1,1,35,10,20700,69360,14,25.4,7.5,17,20.2,11.3,52.0,1170.1525666666666667503,22,Silver Spring-Hillandale
2178,1,0,60,16,20400,73080,15,28.6,2.6,30,20.8,8.5,45.0,1023.4184681818181817287,23,Friendship Heights-Sibley Hospital
2178,1,1,60,16,20400,73080,15,28.5,2.3,30,19.5,7.0,40.0,908.6435051282051281210,23,Friendship Heights-Sibley Hospital
2179,1,0,15,8,19500,69720,14,26.5,5.0,7,14.8,6.8,36.0,1027.0748657142857141451,24,Hillandale-Takoma
2179,1,1,15,8,19500,69720,14,26.4,2.4,8,17.6,6.9,35.0,1071.1113999999999999807,24,Hillandale-Takoma
2180,1,0,46,10,18180,70980,15,21.4,8.5,23,13.1,3.9,22.0,987.4716333333333334427,25,Takoma Metro Station-Langley Park
2180,1,1,46,10,18180,70980,15,21.0,7.9,23,13.1,4.5,29.0,839.4672857142857141451,25,Takoma Metro Station-Langley Park
2181,1,0,89,22,17760,91140,20,13.3,11.1,86,19.3,20.0,82.8,1278.4896668314113123855,26,Montgomery Mall-Glenmont
2181,1,1,89,22,17760,91140,20,24.9,6.9,45,18.9,20.1,80.0,1339.4578670886075949907,26,Montgomery Mall-Glenmont
2182,1,0,97,13,25200,69540,12,4.7,1.4,194,14.1,4.1,22.0,0.00000000000000000000000,28,FREE-Silver Spring VanGo Shuttle
2183,1,0,65,18,20100,81000,17,30.4,1.5,32,24.4,10.2,53.7,1017.2152176052163605083,29,Bethesda-Glen Echo/Friendship Hghts
2183,1,1,65,18,20100,81000,17,30.8,2.3,33,22.6,10.9,57.1,1023.0179270664505672519,29,Bethesda-Glen Echo/Friendship Hghts
2184,1,0,59,17,20400,75600,15,30.3,1.7,30,19.1,9.0,48.0,1009.3612553191489360655,30,Bethesda-Medical Center
2184,1,1,59,17,20400,75600,15,29.7,1.8,29,17.2,9.0,49.3,986.3566553890078516208,30,Bethesda-Medical Center
2185,1,0,22,8,22260,68760,13,30.3,0.5,11,19.8,6.7,26.0,1404.7142160000000000000,31,Wheaton-Glenmont
2185,1,1,22,8,22260,68760,13,30.8,2.0,11,22.6,7.1,24.0,1608.5744434782608694083,31,Wheaton-Glenmont
2186,1,0,27,9,23400,70980,13,30.3,2.1,13,27.9,10.9,40.9,1208.6571822736030829452,32,Bethesda-Naval Ship R&D Center
2186,1,1,27,9,23400,70980,13,30.0,0.7,14,24.9,10.5,43.2,1125.3524661590524534959,32,Bethesda-Naval Ship R&D Center
2187,1,0,32,11,20880,69600,14,26.1,2.5,15,17.3,9.1,47.0,1043.9714043478260868424,33,Glenmont-Medical Center
2187,1,1,32,11,20880,69600,14,25.5,1.8,17,18.7,9.3,46.0,1082.7154177777777779236,33,Glenmont-Medical Center
2188,1,0,93,21,18000,90660,20,25.1,9.9,47,15.7,11.7,58.4,1052.5616973323453130433,34,Aspen Hill-Friendship Heights
2188,1,1,93,21,18000,90660,20,25.1,9.3,46,15.4,11.6,57.9,1076.9577961038961039718,34,Aspen Hill-Friendship Heights
2189,1,0,54,16,21480,72413,14,28.4,5.6,29,25.6,10.8,49.7,1122.2526073596358117694,36,Bethesda-Potomac-via Hillandale Rd
2189,1,1,54,16,21480,72413,14,30.2,3.3,27,24.4,9.4,41.3,1229.7615825528007346385,36,Bethesda-Potomac-via Hillandale Rd
2190,1,0,27,9,21600,71400,14,30.1,0.9,14,23.4,12.1,53.7,1201.2372303523035229721,37,Potomac-Wheaton Metro Station
2190,1,1,27,9,21600,71400,14,29.8,0.8,13,24.4,12.0,52.3,1225.9340902548725637024,37,Potomac-Wheaton Metro Station
2191,1,0,69,18,19800,80760,17,28.2,3.6,35,20.5,17.3,75.7,1221.0696671259089169886,38,Wheaton-Montgomery Mall
2191,1,1,69,18,19800,80760,17,28.4,4.2,34,20.2,17.3,71.6,1293.2449428393005827725,38,Wheaton-Montgomery Mall
