stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10,1,1,1,19,AIRPARK RD & WOODFIELD RD,39.168721,-77.153572
100,1,0,1,21,UNIVERSITY BLV W & @1135 (ARCOLA TOWERS),39.039044,-77.030486
100,1,1,1,20,UNIVERSITY BLV W & @1135 (ARCOLA TOWERS),39.039044,-77.030486
10002,1,0,1,44,LAYHILL RD & GREENERY LN,39.062009,-77.050798
10002,1,1,2,53,LAYHILL RD & GREENERY LN,39.062009,-77.050798
10004,1,0,2,60,GREAT SENECA HWY & LAKELAND DR,39.121038,-77.225758
10014,1,0,1,20,QUINCE ORCHARD RD & DARNESTOWN RD,39.116045,-77.253263
10014,1,1,1,20,QUINCE ORCHARD RD & DARNESTOWN RD,39.116045,-77.253263
1002,1,0,1,68,CHRISTOPHER AVE & VILLAGE OVERLOOK,39.159438,-77.210524
10024,1,1,1,28,FREDERICK RD & ROSECREST DR,39.21957,-77.257355
10027,1,1,1,19,AIRPARK RD & ANTARES DR,39.160527,-77.144828
10029,1,0,1,41,RAILROAD ST & GROVE ST,39.136764,-77.177725
10031,1,1,1,41,OAKMONT AVE & CITATION DR,39.131628,-77.175139
10055,1,0,2,159,PINEY BRANCH RD & ARLISS ST,38.998545,-77.000798
10055,1,1,3,112,PINEY BRANCH RD & ARLISS ST,38.998545,-77.000798
1018,1,1,1,41,CLOPPER RD & GREAT SENECA HWY,39.158708,-77.274792
102,1,0,1,12,ARDENNES AVE & HALPINE RD,39.064902,-77.117985
1020,1,1,1,41,CLOPPER RD & TIMKO LA,39.157939,-77.272639
1024,1,1,3,55,CLOPPER RD & MATENY RD,39.156422,-77.266241
1032,1,1,3,55,CLOPPER RD & GAME PRESERVE RD,39.151092,-77.246356
1034,1,1,3,55,CLOPPER RD & STONERIDGE DR,39.149143,-77.241013
104,1,0,1,12,ARDENNES AVE & VANDEGRIFT AVE,39.066561,-77.118305
1040,1,1,3,55,CLOPPER RD & METROPOLITAN GROVE RD,39.147004,-77.230253
1044,1,1,3,55,CLOPPER RD & @716,39.14479,-77.226144
1050,1,0,3,57,CLOPPER RD & @716,39.144921,-77.226147
1054,1,0,3,57,CLOPPER RD & WEINSCHEL LA,39.147208,-77.230418
106,1,0,1,12,ARDENNES AVE & WAINWRIGHT AVE,39.069144,-77.118481
1060,1,0,3,57,CLOPPER RD & STONERIDGE DR,39.149255,-77.241087
1062,1,0,3,57,CLOPPER RD & GAME PRESERVE RD,39.151335,-77.246441
1070,1,0,2,49,CLOPPER RD & MATENY RD,39.156569,-77.266278
1072,1,0,1,41,CLOPPER RD & METZ DR,39.157848,-77.27093
1078,1,0,3,49,CLUB HOUSE RD & WATKINS MILL RD,39.174108,-77.207864
1078,1,1,2,14,CLUB HOUSE RD & WATKINS MILL RD,39.174108,-77.207864
108,1,0,1,12,ARDENNES AVE & LEMAY RD,39.070559,-77.119471
1080,1,0,3,88,CLUB HOUSE RD & MONTGOMERY VILLAGE AVE,39.174381,-77.205515
1080,1,1,3,90,CLUB HOUSE RD & MONTGOMERY VILLAGE AVE,39.174381,-77.205515
1094,1,0,5,162,COLESVILLE RD & FENTON ST,38.997447,-77.027061
