stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
S09N,R20100324SAT,0,1,40,Tottenville,40.512764,-74.251961
S09N,R20100324SUN,0,1,40,Tottenville,40.512764,-74.251961
S09N,R20100324WKD,0,1,59,Tottenville,40.512764,-74.251961
S09S,R20100324SAT,1,1,42,Tottenville,40.512764,-74.251961
S09S,R20100324SUN,1,1,40,Tottenville,40.512764,-74.251961
S09S,R20100324WKD,1,1,60,Tottenville,40.512764,-74.251961
S10N,R20100324SAT,0,1,40,Atlantic,40.515401,-74.245689
S10N,R20100324SUN,0,1,40,Atlantic,40.515401,-74.245689
S10N,R20100324WKD,0,1,59,Atlantic,40.515401,-74.245689
S10S,R20100324SAT,1,1,42,Atlantic,40.515401,-74.245689
S10S,R20100324SUN,1,1,40,Atlantic,40.515401,-74.245689
S10S,R20100324WKD,1,1,60,Atlantic,40.515401,-74.245689
S12N,R20100324SAT,0,1,40,Nassau,40.517812,-74.238373
S12N,R20100324SUN,0,1,40,Nassau,40.517812,-74.238373
S12N,R20100324WKD,0,1,59,Nassau,40.517812,-74.238373
S12S,R20100324SAT,1,1,42,Nassau,40.517812,-74.238373
S12S,R20100324SUN,1,1,40,Nassau,40.517812,-74.238373
S12S,R20100324WKD,1,1,60,Nassau,40.517812,-74.238373
S13N,R20100324SAT,0,1,40,Richmond Valley,40.519631,-74.229141
S13N,R20100324SUN,0,1,40,Richmond Valley,40.519631,-74.229141
S13N,R20100324WKD,0,1,59,Richmond Valley,40.519631,-74.229141
S13S,R20100324SAT,1,1,42,Richmond Valley,40.519631,-74.229141
S13S,R20100324SUN,1,1,40,Richmond Valley,40.519631,-74.229141
S13S,R20100324WKD,1,1,60,Richmond Valley,40.519631,-74.229141
S14N,R20100324SAT,0,1,40,Pleasant Plains,40.52241,-74.217847
S14N,R20100324SUN,0,1,40,Pleasant Plains,40.52241,-74.217847
S14N,R20100324WKD,0,1,59,Pleasant Plains,40.52241,-74.217847
