table_name,column_name,active_field
DBNAME,mtanewyorkcitytransit_subway,0
agency,agency_id,1
agency,agency_name,1
agency,agency_url,1
agency,agency_timezone,1
agency,agency_lang,1
agency,agency_phone,1
agency,agency_fare_url,0
stops,stop_id,1410
stops,stop_code,0
stops,stop_name,1410
stops,stop_desc,0
stops,stop_lat,1410
stops,stop_lon,1410
stops,zone_id,0
stops,stop_url,0
stops,location_type,470
stops,parent_station,940
stops,stop_timezone,0
stops,wheelchair_boarding,0
routes,route_id,26
routes,agency_id,26
routes,route_short_name,26
routes,route_long_name,26
routes,route_desc,26
routes,route_type,26
routes,route_url,26
routes,route_color,24
routes,route_text_color,3
trips,route_id,18868
trips,service_id,18868
trips,trip_id,18868
trips,trip_headsign,18626
trips,trip_short_name,0
trips,direction_id,18868
trips,block_id,0
trips,shape_id,17973
stop_times,trip_id,516443
stop_times,arrival_time,516443
stop_times,departure_time,516443
stop_times,stop_id,516443
stop_times,stop_sequence,516443
stop_times,stop_headsign,0
stop_times,pickup_type,2595
stop_times,drop_off_type,2595
stop_times,shape_dist_traveled,0
calendar,service_id,6
calendar,monday,6
calendar,tuesday,6
calendar,wednesday,6
calendar,thursday,6
calendar,friday,6
calendar,saturday,6
calendar,sunday,6
calendar,start_date,6
calendar,end_date,6
calendar_dates,service_id,10
calendar_dates,date,10
calendar_dates,exception_type,10
fare_attributes,fare_id,0
fare_attributes,price,0
fare_attributes,currency_type,0
fare_attributes,payment_method,0
fare_attributes,transfers,0
fare_attributes,transfer_duration,0
fare_rules,fare_id,0
fare_rules,route_id,0
fare_rules,origin_id,0
fare_rules,destination_id,0
fare_rules,contains_id,0
shapes,shape_id,107170
shapes,shape_pt_lat,107170
shapes,shape_pt_lon,107170
shapes,shape_pt_sequence,107170
shapes,shape_dist_traveled,0
frequencies,trip_id,0
frequencies,start_time,0
frequencies,end_time,0
frequencies,headway_secs,0
frequencies,exact_times,0
transfers,from_stop_id,0
transfers,to_stop_id,0
transfers,transfer_type,0
transfers,min_transfer_time,0
feed_info,feed_publisher_name,0
feed_info,feed_publisher_url,0
feed_info,feed_lang,0
feed_info,feed_start_date,0
feed_info,feed_end_date,0
feed_info,feed_version,0
