route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
1,A20120610SAT,0,308,26,480,93150,26,9.3,3.5,154,21.7,19.3,38.0,2757.8046459459459458218,1,Broadway - 7 Avenue Local
1,A20120610SAT,1,308,26,480,93150,26,9.3,3.5,154,22.4,19.3,38.0,2757.8046459459459458218,1,Broadway - 7 Avenue Local
2,A20120610SAT,0,216,28,180,98760,27,13.2,2.9,108,22.8,33.6,51.0,3545.9998080000000000000,2,7 Avenue Express
2,A20120610SAT,1,216,28,180,98760,27,13.2,2.8,108,22.7,33.6,50.8,3561.8301642857142858549,2,7 Avenue Express
3,A20120610SAT,0,214,25,180,89160,25,13.3,3.2,107,22.7,21.0,29.3,3921.7280986473111185378,3,7 Avenue Express
3,A20120610SAT,1,214,25,180,89160,25,13.4,3.3,107,22.8,21.0,29.3,3921.7280986473111185378,3,7 Avenue Express
4,A20120610SAT,0,282,27,240,96720,27,10.1,3.9,141,25.2,27.2,31.5,4703.1388439767441859931,4,Lexington Avenue Express
4,A20120610SAT,1,282,27,240,96720,27,10.1,4.0,141,24.7,27.2,31.5,4695.4950148827490131942,4,Lexington Avenue Express
5,A20120610SAT,0,213,25,1140,88320,24,13.6,3.5,105,25.2,18.3,20.3,5000.8158268015794669040,5,Lexington Avenue Express
5,A20120610SAT,1,213,25,1140,88320,24,13.2,2.9,108,25.6,17.9,19.9,5004.3895378735913767441,5,Lexington Avenue Express
6,A20120610SAT,0,302,26,570,93240,26,9.4,3.5,151,21.3,19.8,38.0,2825.5173918918918919717,6,Lexington Avenue Local
6,A20120610SAT,1,302,26,570,93240,26,9.4,3.5,151,21.0,19.8,38.0,2825.5173918918918919717,6,Lexington Avenue Local
7,A20120610SAT,0,436,26,690,90840,25,6.5,3.8,218,21.7,12.3,21.0,3255.5722500000000000000,7,Flushing Local
7,A20120610SAT,1,436,26,690,90840,25,6.5,3.8,218,22.6,12.3,21.0,3255.5722500000000000000,7,Flushing Local
GS,A20120610SAT,0,368,19,21600,86730,18,5.9,1.9,184,22.9,0.6,2.0,-3026.3944000000000000000,S,42 St Shuttle
GS,A20120610SAT,1,368,19,21600,86730,18,5.9,1.9,184,22.9,0.6,2.0,-3026.3944000000000000000,S,42 St Shuttle
1,A20120610SUN,0,272,26,480,93030,26,10.5,4.3,136,21.7,19.3,38.0,2757.8046459459459458218,1,Broadway - 7 Avenue Local
1,A20120610SUN,1,272,26,480,93030,26,10.5,4.2,136,22.3,19.3,38.0,2757.8046459459459458218,1,Broadway - 7 Avenue Local
2,A20120610SUN,0,210,28,180,98760,27,13.6,2.9,105,22.7,33.6,51.7,3494.0876486486486484979,2,7 Avenue Express
2,A20120610SUN,1,210,28,180,98760,27,13.5,2.8,105,22.6,33.6,51.4,3517.8569523809523810305,2,7 Avenue Express
3,A20120610SUN,0,204,25,180,89160,25,13.9,3.6,102,22.9,20.0,27.6,3959.3474748159057435910,3,7 Avenue Express
3,A20120610SUN,1,204,25,180,89160,25,14.0,3.7,102,23.0,20.0,27.6,3959.3474748159057435910,3,7 Avenue Express
4,A20120610SUN,0,252,27,240,96720,27,11.3,4.4,126,25.0,27.5,32.8,4569.7833603599100226328,4,Lexington Avenue Express
4,A20120610SUN,1,252,27,240,96720,27,11.3,4.1,126,24.7,27.5,32.8,4559.1234601597603594079,4,Lexington Avenue Express
5,A20120610SUN,0,205,25,1140,88320,24,14.0,3.5,102,25.3,17.0,18.9,5014.5560787479406917713,5,Lexington Avenue Express
