stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
101N,A20120610WKD,0,1,207,Van Cortlandt Park - 242 St,40.889248,-73.898583
101N,A20120610SUN,0,1,136,Van Cortlandt Park - 242 St,40.889248,-73.898583
101N,A20120610SAT,0,1,154,Van Cortlandt Park - 242 St,40.889248,-73.898583
101S,A20120610WKD,1,1,201,Van Cortlandt Park - 242 St,40.889248,-73.898583
101S,A20120610SUN,1,1,136,Van Cortlandt Park - 242 St,40.889248,-73.898583
101S,A20120610SAT,1,1,154,Van Cortlandt Park - 242 St,40.889248,-73.898583
103N,A20120610WKD,0,1,211,238 St,40.884667,-73.90087
103N,A20120610SUN,0,1,136,238 St,40.884667,-73.90087
103N,A20120610SAT,0,1,154,238 St,40.884667,-73.90087
103S,A20120610WKD,1,1,215,238 St,40.884667,-73.90087
103S,A20120610SUN,1,1,136,238 St,40.884667,-73.90087
103S,A20120610SAT,1,1,154,238 St,40.884667,-73.90087
104N,A20120610WKD,0,1,211,231 St,40.878856,-73.904834
104N,A20120610SUN,0,1,136,231 St,40.878856,-73.904834
104N,A20120610SAT,0,1,154,231 St,40.878856,-73.904834
104S,A20120610WKD,1,1,215,231 St,40.878856,-73.904834
104S,A20120610SUN,1,1,136,231 St,40.878856,-73.904834
104S,A20120610SAT,1,1,154,231 St,40.878856,-73.904834
106N,A20120610WKD,0,1,211,Marble Hill - 225 St,40.874561,-73.909831
106N,A20120610SUN,0,1,136,Marble Hill - 225 St,40.874561,-73.909831
106N,A20120610SAT,0,1,154,Marble Hill - 225 St,40.874561,-73.909831
106S,A20120610WKD,1,1,215,Marble Hill - 225 St,40.874561,-73.909831
106S,A20120610SUN,1,1,136,Marble Hill - 225 St,40.874561,-73.909831
106S,A20120610SAT,1,1,154,Marble Hill - 225 St,40.874561,-73.909831
107N,A20120610WKD,0,1,217,215 St,40.869444,-73.915279
107N,A20120610SUN,0,1,136,215 St,40.869444,-73.915279
107N,A20120610SAT,0,1,154,215 St,40.869444,-73.915279
107S,A20120610WKD,1,1,215,215 St,40.869444,-73.915279
107S,A20120610SUN,1,1,136,215 St,40.869444,-73.915279
107S,A20120610SAT,1,1,154,215 St,40.869444,-73.915279
108N,A20120610WKD,0,1,217,207 St,40.864621,-73.918822
108N,A20120610SUN,0,1,136,207 St,40.864621,-73.918822
108N,A20120610SAT,0,1,154,207 St,40.864621,-73.918822
108S,A20120610WKD,1,1,215,207 St,40.864621,-73.918822
108S,A20120610SUN,1,1,136,207 St,40.864621,-73.918822
108S,A20120610SAT,1,1,154,207 St,40.864621,-73.918822
109N,A20120610WKD,0,1,217,Dyckman St,40.860531,-73.925536
109N,A20120610SUN,0,1,136,Dyckman St,40.860531,-73.925536
109N,A20120610SAT,0,1,154,Dyckman St,40.860531,-73.925536
109S,A20120610WKD,1,1,215,Dyckman St,40.860531,-73.925536
109S,A20120610SUN,1,1,136,Dyckman St,40.860531,-73.925536
109S,A20120610SAT,1,1,154,Dyckman St,40.860531,-73.925536
110N,A20120610WKD,0,1,217,191 St,40.855225,-73.929412
110N,A20120610SUN,0,1,136,191 St,40.855225,-73.929412
110N,A20120610SAT,0,1,154,191 St,40.855225,-73.929412
110S,A20120610WKD,1,1,215,191 St,40.855225,-73.929412
110S,A20120610SUN,1,1,136,191 St,40.855225,-73.929412
110S,A20120610SAT,1,1,154,191 St,40.855225,-73.929412
111N,A20120610WKD,0,1,217,181 St,40.849505,-73.933596
111N,A20120610SUN,0,1,136,181 St,40.849505,-73.933596
111N,A20120610SAT,0,1,154,181 St,40.849505,-73.933596
111S,A20120610WKD,1,1,215,181 St,40.849505,-73.933596
111S,A20120610SUN,1,1,136,181 St,40.849505,-73.933596
111S,A20120610SAT,1,1,154,181 St,40.849505,-73.933596
112N,A20120610WKD,0,1,217,168 St - Washington Hts,40.840556,-73.940133
112N,A20120610SUN,0,1,136,168 St - Washington Hts,40.840556,-73.940133
112N,A20120610SAT,0,1,154,168 St - Washington Hts,40.840556,-73.940133
112S,A20120610WKD,1,1,215,168 St - Washington Hts,40.840556,-73.940133
112S,A20120610SUN,1,1,136,168 St - Washington Hts,40.840556,-73.940133
112S,A20120610SAT,1,1,154,168 St - Washington Hts,40.840556,-73.940133
113N,A20120610WKD,0,1,217,157 St,40.834041,-73.94489
113N,A20120610SUN,0,1,136,157 St,40.834041,-73.94489
113N,A20120610SAT,0,1,154,157 St,40.834041,-73.94489
113S,A20120610WKD,1,1,215,157 St,40.834041,-73.94489
113S,A20120610SUN,1,1,136,157 St,40.834041,-73.94489
113S,A20120610SAT,1,1,154,157 St,40.834041,-73.94489
