route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
13,1,0,460,22,15180,92100,21,6.4,6.2,230,18.6,5.1,10.1,2927.0707344942748091027,"",Newark Light Rail
13,1,1,460,22,15180,92100,21,6.5,5.8,230,18.4,5.1,10.4,2871.0598110446387482628,"",Newark Light Rail
17,1,1,98,18,19620,79620,17,21.5,8.0,45,39.8,42.7,19.2,12409.7753580143540668318,"",Riverline Light Rail
17,1,0,98,18,19620,79620,17,19.9,8.0,51,40.0,39.6,18.0,12286.5842528813559322590,"",Riverline Light Rail
5,1,0,506,23,16620,95700,22,7.6,4.2,177,23.6,10.9,12.9,4839.8279817649086522502,"",Hudson-Bergen Light Rail
5,1,1,506,23,16620,95700,22,8.2,4.2,181,24.6,10.7,12.7,4831.9919856070496084913,"",Hudson-Bergen Light Rail
13,11,1,122,22,17700,92700,21,19.5,2.0,61,15.7,8.0,15.7,2869.8116926421404683196,"",Newark Light Rail
13,11,0,122,22,17700,92700,21,20.0,0.0,61,16.0,7.9,16.5,2687.0644318181818182713,"",Newark Light Rail
17,11,0,77,21,19620,90420,20,29.8,4.0,40,39.6,40.5,18.6,12177.4604774928774927728,"",Riverline Light Rail
17,11,1,77,21,19620,90420,20,30.4,2.5,37,38.8,44.0,20.0,12230.6009684210526314408,"",Riverline Light Rail
5,11,1,238,22,19200,95700,21,10.2,5.1,120,22.6,12.7,16.0,4459.3820866666666665573,"",Hudson-Bergen Light Rail
5,11,0,238,22,19200,95700,21,10.3,4.6,118,21.5,12.5,15.8,4458.0603463651974812639,"",Hudson-Bergen Light Rail
13,12,0,98,22,17400,92340,21,25.0,0.0,49,16.0,7.9,16.5,2688.2400154150197629483,"",Newark Light Rail
13,12,1,98,22,17400,92340,21,24.6,2.5,49,15.7,8.0,15.7,2869.8337381944444444809,"",Newark Light Rail
17,12,1,67,18,19620,79620,17,30.4,2.6,32,38.5,42.9,19.6,12208.3822666666666665573,"",Riverline Light Rail
17,12,0,67,18,19620,79620,17,29.8,4.4,34,39.7,39.3,18.0,12199.7919285714285715361,"",Riverline Light Rail
5,12,0,238,22,19200,95700,21,10.3,5.5,118,21.5,12.5,15.8,4458.0603463651974812639,"",Hudson-Bergen Light Rail
5,12,1,238,22,19200,95700,21,10.2,5.1,120,22.6,12.7,16.0,4459.3820866666666665573,"",Hudson-Bergen Light Rail
