stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
14984,1,0,1,177,BLOOMFIELD AVE LIGHT RAIL STATION,40.76546,-74.179863
14984,1,1,1,177,BLOOMFIELD AVE LIGHT RAIL STATION,40.76546,-74.179863
14984,11,0,1,61,BLOOMFIELD AVE LIGHT RAIL STATION,40.76546,-74.179863
14984,11,1,1,61,BLOOMFIELD AVE LIGHT RAIL STATION,40.76546,-74.179863
14984,12,0,1,49,BLOOMFIELD AVE LIGHT RAIL STATION,40.76546,-74.179863
14984,12,1,1,49,BLOOMFIELD AVE LIGHT RAIL STATION,40.76546,-74.179863
14986,1,0,1,177,ORANGE STREET LIGHT RAIL STATION,40.750629,-74.184951
14986,1,1,1,177,ORANGE STREET LIGHT RAIL STATION,40.750629,-74.184951
14986,11,0,1,61,ORANGE STREET LIGHT RAIL STATION,40.750629,-74.184951
14986,11,1,1,61,ORANGE STREET LIGHT RAIL STATION,40.750629,-74.184951
14986,12,0,1,49,ORANGE STREET LIGHT RAIL STATION,40.750629,-74.184951
14986,12,1,1,49,ORANGE STREET LIGHT RAIL STATION,40.750629,-74.184951
17699,1,0,1,146,LINCOLN HARBOR HBLR STATION,40.761399,-74.024
17699,1,1,1,150,LINCOLN HARBOR HBLR STATION,40.761399,-74.024
17699,11,0,1,58,LINCOLN HARBOR HBLR STATION,40.761399,-74.024
17699,11,1,1,60,LINCOLN HARBOR HBLR STATION,40.761399,-74.024
17699,12,0,1,58,LINCOLN HARBOR HBLR STATION,40.761399,-74.024
17699,12,1,1,60,LINCOLN HARBOR HBLR STATION,40.761399,-74.024
26316,1,0,1,177,BRANCH BROOK PARK STATION,40.779638,-74.174752
26316,1,1,1,177,BRANCH BROOK PARK STATION,40.779638,-74.174752
26316,11,0,1,61,BRANCH BROOK PARK STATION,40.779638,-74.174752
26316,11,1,1,61,BRANCH BROOK PARK STATION,40.779638,-74.174752
26316,12,0,1,49,BRANCH BROOK PARK STATION,40.779638,-74.174752
26316,12,1,1,49,BRANCH BROOK PARK STATION,40.779638,-74.174752
26326,1,0,1,230,PENN STATION LIGHT RAIL,40.73481,-74.163603
26326,1,1,1,230,PENN STATION LIGHT RAIL,40.73481,-74.163603
26326,11,0,1,61,PENN STATION LIGHT RAIL,40.73481,-74.163603
26326,11,1,1,61,PENN STATION LIGHT RAIL,40.73481,-74.163603
26326,12,0,1,49,PENN STATION LIGHT RAIL,40.73481,-74.163603
