route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
13,14984,1,0,7.1,7.0,BLOOMFIELD AVE LIGHT RAIL STATION,40.76546,-74.179863,"",Newark Light Rail
13,14984,1,1,7.0,6.4,BLOOMFIELD AVE LIGHT RAIL STATION,40.76546,-74.179863,"",Newark Light Rail
13,14986,1,0,7.1,7.0,ORANGE STREET LIGHT RAIL STATION,40.750629,-74.184951,"",Newark Light Rail
13,14986,1,1,7.0,6.4,ORANGE STREET LIGHT RAIL STATION,40.750629,-74.184951,"",Newark Light Rail
5,17699,1,0,9.0,4.4,LINCOLN HARBOR HBLR STATION,40.761399,-74.024,"",Hudson-Bergen Light Rail
5,17699,1,1,9.2,4.0,LINCOLN HARBOR HBLR STATION,40.761399,-74.024,"",Hudson-Bergen Light Rail
13,26316,1,0,7.1,7.0,BRANCH BROOK PARK STATION,40.779638,-74.174752,"",Newark Light Rail
13,26316,1,1,7.0,6.4,BRANCH BROOK PARK STATION,40.779638,-74.174752,"",Newark Light Rail
13,26326,1,0,6.4,6.2,PENN STATION LIGHT RAIL,40.73481,-74.163603,"",Newark Light Rail
13,26326,1,1,6.5,5.8,PENN STATION LIGHT RAIL,40.73481,-74.163603,"",Newark Light Rail
5,36994,1,0,7.5,4.2,EXCHANGE PLACE HBLR STATION,40.716009,-74.034092,"",Hudson-Bergen Light Rail
5,36994,1,1,8.2,4.2,EXCHANGE PLACE HBLR STATION,40.716009,-74.034092,"",Hudson-Bergen Light Rail
5,36995,1,0,7.5,4.2,ESSEX STREET HBLR STATION,40.712838,-74.036082,"",Hudson-Bergen Light Rail
5,36995,1,1,8.2,4.2,ESSEX STREET HBLR STATION,40.712838,-74.036082,"",Hudson-Bergen Light Rail
5,36996,1,0,8.1,4.1,MARIN BOULEVARD HBLR STATION,40.714428,-74.043241,"",Hudson-Bergen Light Rail
5,36996,1,1,8.7,4.1,MARIN BOULEVARD HBLR STATION,40.714428,-74.043241,"",Hudson-Bergen Light Rail
5,36997,1,0,8.1,4.1,JERSEY AVENUE HBLR STATION,40.714978,-74.048491,"",Hudson-Bergen Light Rail
5,36997,1,1,8.7,4.1,JERSEY AVENUE HBLR STATION,40.714978,-74.048491,"",Hudson-Bergen Light Rail
5,36998,1,0,7.6,4.2,LIBERTY STATE PARK PARK-RIDE HBLR,40.710378,-74.055812,"",Hudson-Bergen Light Rail
5,36998,1,1,8.1,4.2,LIBERTY STATE PARK PARK-RIDE HBLR,40.710378,-74.055812,"",Hudson-Bergen Light Rail
5,36999,1,0,15.2,7.0,GARFIELD AVENUE HBLR STATION,40.710509,-74.07112,"",Hudson-Bergen Light Rail
5,36999,1,1,14.3,7.1,GARFIELD AVENUE HBLR STATION,40.710509,-74.07112,"",Hudson-Bergen Light Rail
5,37000,1,0,15.2,7.0,ML KING DRIVE HBLR STATION,40.712008,-74.077323,"",Hudson-Bergen Light Rail
5,37000,1,1,14.3,7.1,ML KING DRIVE HBLR STATION,40.712008,-74.077323,"",Hudson-Bergen Light Rail
5,37001,1,0,15.2,7.0,WEST SIDE AVE HBLR STATION,40.714548,-74.087581,"",Hudson-Bergen Light Rail
5,37001,1,1,14.3,7.1,WEST SIDE AVE HBLR STATION,40.714548,-74.087581,"",Hudson-Bergen Light Rail
5,37002,1,0,15.9,7.6,RICHARD STREET HBLR STATION,40.699118,-74.078643,"",Hudson-Bergen Light Rail
5,37002,1,1,14.2,7.8,RICHARD STREET HBLR STATION,40.699118,-74.078643,"",Hudson-Bergen Light Rail
5,37003,1,0,15.9,7.6,DANFORTH AVENUE HBLR STATION,40.692357,-74.087262,"",Hudson-Bergen Light Rail
5,37003,1,1,14.2,7.8,DANFORTH AVENUE HBLR STATION,40.692357,-74.087262,"",Hudson-Bergen Light Rail
5,37004,1,0,14.2,8.0,E 45TH STREET HBLR STATION,40.67867,-74.101673,"",Hudson-Bergen Light Rail
5,37004,1,1,13.0,7.9,E 45TH STREET HBLR STATION,40.67867,-74.101673,"",Hudson-Bergen Light Rail
5,37005,1,0,14.2,8.0,E 34TH STREET HBLR STATION,40.671778,-74.107493,"",Hudson-Bergen Light Rail
5,37005,1,1,13.0,7.9,E 34TH STREET HBLR STATION,40.671778,-74.107493,"",Hudson-Bergen Light Rail
5,37376,1,0,7.5,4.2,HARBORSIDE HBLR STATION,40.719527,-74.034003,"",Hudson-Bergen Light Rail
5,37376,1,1,8.2,4.2,HARBORSIDE HBLR STATION,40.719527,-74.034003,"",Hudson-Bergen Light Rail
5,37377,1,0,8.1,4.1,HARSIMUS COVE HBLR STATION,40.722668,-74.037281,"",Hudson-Bergen Light Rail
