route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
16,8,1,36,21,22560,95520,20,60.0,1.0,18,35.2,37.7,13.2,16354.7242931506849315473,"",Raritan Valley Line
8,6,0,93,22,15360,91020,21,26.2,17.0,43,35.9,48.4,14.7,18716.2377557324840763349,"",Morris & Essex Line
2,3,1,4,7,72600,95040,6,,,2,50.3,77.1,8.0,58147.522500000000000,"",Atlantic City Rail Line
11,6,1,55,21,14280,91080,21,29.0,18.2,27,40.7,56.1,13.6,23460.5836334310850440460,"",North Jersey Coast Line
12,15,1,1,2,89160,91620,1,,,1,30.1,20.6,10.0,12067.1899000000000000000,"",North Jersey Coast Line
8,14,0,2,5,85020,97620,4,,,1,40.4,45.2,14.0,18338.9475923076923078185,"",Morris & Essex Line
2,9,1,5,6,76860,95880,5,,,2,19.7,19.1,3.0,50301.011000000000000,"",Atlantic City Rail Line
8,8,1,38,21,15780,89580,21,60.0,0.0,18,30.3,52.0,19.4,14882.0220599397590360418,"",Morris & Essex Line
2,7,0,1,3,88980,94560,2,,,1,49.7,77.1,8.0,58147.522500000000000,"",Atlantic City Rail Line
16,6,0,52,23,17160,95520,22,41.2,21.8,27,39.5,42.7,13.6,17852.7561636363636362145,"",Raritan Valley Line
18,22,0,7,6,55200,75480,6,62.0,,2,21.2,8.8,3.0,23319.0513000000000000000,"",Meadowlands Rail Line
15,10,0,4,1,86760,89220,1,26.0,,2,41.0,3.4,2.0,18040.5785000000000000000,"",Princeton Shuttle
11,8,0,37,21,18060,91080,20,61.7,6.4,19,40.7,65.0,16.6,21950.7770851851851852824,"",North Jersey Coast Line
8,13,1,2,4,88440,97320,2,45.0,,2,31.0,52.1,20.0,14486.2798342105263157204,"",Morris & Essex Line
11,18,1,1,2,62760,67620,1,,,1,47.0,63.4,9.0,41867.118475000000000,"",North Jersey Coast Line
2,4,0,1,3,92880,98400,2,,,1,50.3,77.1,8.0,58147.522500000000000,"",Atlantic City Rail Line
9,6,0,48,22,16980,91260,21,48.8,22.5,23,35.2,50.8,20.2,13971.1393538461538460039,"",Gladstone Branch
12,19,0,12,14,30060,77400,13,,,6,31.6,20.6,10.0,12067.1899000000000000000,"",North Jersey Coast Line
11,13,0,3,3,86700,95880,3,,,1,38.6,65.0,16.0,22874.3226866666666665573,"",North Jersey Coast Line
2,2,0,3,6,27660,53040,7,,,1,58.3,67.0,7.0,58989.700516666665573,"",Atlantic City Rail Line
4,8,0,17,17,22080,85500,18,,,8,25.2,16.2,6.0,17074.4552400000000000000,"",Montclair-Boonton Line
10,4,0,3,4,88980,97380,2,,,1,41.0,75.2,14.0,30528.5945076923076921815,"",Northeast Corridor
9,8,1,35,18,21660,85920,18,59.9,0.2,17,26.8,27.4,13.0,12054.9681750000000000000,"",Gladstone Branch
12,4,1,1,2,96060,98460,1,,,1,30.9,20.6,10.0,12067.1899000000000000000,"",North Jersey Coast Line
4,6,1,50,22,17820,91740,21,46.3,16.5,25,29.8,24.2,12.2,11390.5939896797153026102,"",Montclair-Boonton Line
11,16,0,18,12,34980,75060,11,48.6,14.4,10,41.2,64.8,15.0,24422.1633407142857141451,"",North Jersey Coast Line
2,5,0,5,7,72600,95040,6,,,3,62.9,61.0,6.3,60424.926118750000000,"",Atlantic City Rail Line
18,27,0,1,2,64080,65580,0,,,1,21.2,8.8,3.0,23319.0513000000000000000,"",Meadowlands Rail Line
16,9,1,1,2,88080,91500,1,,,1,39.7,37.7,13.0,16581.8732416666666665573,"",Raritan Valley Line
10,8,1,79,22,17940,92100,21,29.5,16.7,39,48.6,61.7,11.0,32508.2411434782608697171,"",Northeast Corridor
2,6,0,19,19,16500,80460,18,65.2,8.6,9,49.4,77.1,8.0,58147.522500000000000,"",Atlantic City Rail Line
12,8,0,20,20,19260,87360,19,60.0,0.0,11,31.6,20.6,10.0,12067.1899000000000000000,"",North Jersey Coast Line
7,8,1,7,12,22320,83940,17,,,2,36.2,37.4,15.0,14102.3004571428571427634,"",Port Jervis Line
12,14,1,2,2,86880,92520,2,53.0,,2,30.1,20.6,10.0,12067.1899000000000000000,"",North Jersey Coast Line
15,8,1,54,15,33300,86100,15,32.9,13.8,27,41.0,3.4,2.0,18040.5785000000000000000,"",Princeton Shuttle
2,8,1,23,21,20520,91140,20,62.4,14.4,12,48.8,77.1,8.0,58147.522500000000000,"",Atlantic City Rail Line
10,6,0,135,23,13620,91920,22,18.4,13.2,68,50.4,65.1,10.4,36417.952672118380880,"",Northeast Corridor
3,6,1,15,18,18900,95340,21,54.1,17.3,10,35.5,56.1,19.3,16198.6017923497267760280,"",Montclair-Boonton Line
18,21,1,56,14,32400,79200,13,21.8,20.5,29,22.1,8.4,2.9,23413.7946490909090910284,"",Meadowlands Rail Line
6,13,1,1,2,91920,96060,1,,,1,34.3,39.4,18.0,12234.9647999999999999228,"",Main/Bergen County Line
1,1,1,1,1,76500,77100,0,,,1,20.9,3.5,2.0,18374.9124000000000000000,"",Princeton Shuttle
18,23,0,36,11,57000,90360,9,23.0,19.7,18,20.7,8.2,2.8,23476.9568818181818182713,"",Meadowlands Rail Line
