route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
97,dsa,0,2,3,32760,61740,8,,,2,62.9,40.9,2.0,215974.941950000000000,97,DARIEN LAKE
97,dsu,0,2,3,32760,61740,8,,,2,62.9,40.9,2.0,215974.941950000000000,97,DARIEN LAKE
1,sat,0,28,17,25140,79620,15,31.7,27.2,28,16.3,7.1,42.0,917.1675390243902437744,1,WILLIAM
11,sat,0,22,12,26880,68040,11,28.3,20.7,22,20.7,15.8,76.5,1102.2964933774834438694,11,COLVIN
12,sat,0,59,20,21000,89280,19,18.8,12.3,59,17.4,14.8,84.0,938.3885074724377296257,12,UTICA
13,sat,0,65,20,20400,88800,19,33.6,5.6,66,17.5,9.0,44.5,1072.6848894828791056082,13,KENSINGTON
14,sat,0,25,19,22800,88020,18,44.1,35.1,25,21.1,14.1,63.6,1179.5293534824281149709,14,ABBOTT
15,sat,0,44,19,22440,87300,18,23.5,20.5,44,20.5,11.5,54.0,1134.9907584905660376368,15,SENECA
16,sat,0,25,19,21480,84180,17,42.5,34.4,25,19.0,13.6,67.0,1077.9762309278350515834,16,SOUTH PARK
18,sat,0,22,11,28800,67740,11,30.9,19.4,22,17.9,5.6,29.5,1044.1465912280701755825,18,JEFFERSON
19,sat,0,64,19,21600,87180,18,17.3,10.8,64,17.6,10.8,52.5,1103.7952941747572815311,19,BAILEY
2,sat,0,30,17,23340,82200,16,32.1,25.2,30,16.8,7.2,43.5,899.9705799999999999614,2,CLINTON
20,sat,0,65,19,22560,89760,19,18.0,10.4,65,15.9,11.0,63.5,930.0863807531380752165,20,ELMWOOD
22,sat,0,22,12,27900,68220,11,29.0,23.7,22,16.8,9.4,57.5,873.9219336283185840737,22,PORTER-BEST
23,sat,0,57,20,21420,89100,19,19.9,9.7,57,18.9,15.2,79.0,1029.5430261251125112464,23,FILLMORE-HERTEL
24,sat,0,63,20,19800,88200,19,20.0,14.3,63,19.6,13.5,64.7,1119.1643186034912716969,24,GENESEE
25,sat,0,58,19,22500,87000,18,18.6,11.3,58,18.8,14.1,75.0,1007.7414148648648648826,25,DELAWARE
26,sat,0,28,15,21600,73980,15,29.5,23.8,28,17.3,11.0,56.0,1056.1568827272727272429,26,DELAVAN
27,sat,0,8,8,22680,85500,17,34.0,4.2,8,36.6,20.3,22.0,4467.0971238095238096488,27,ERIE COUNTY HOME
3,sat,0,66,20,22200,90600,19,17.5,12.1,66,15.7,10.9,59.5,986.4392731366459628287,3,GRANT
32,sat,0,37,19,27000,90000,18,29.7,12.4,37,19.9,20.6,82.0,1339.0214080053368910969,32,AMHERST
34,sat,0,51,15,28920,80700,14,17.0,12.9,51,19.6,11.5,39.2,1286.7676651139240507492,34,NIAGARA FALLS BLVD.
35,sat,0,23,14,27600,72300,12,32.0,3.9,23,23.9,15.7,55.3,1513.6422181746031744886,35,SHERIDAN
36,sat,0,18,14,30600,78840,13,65.6,39.1,18,23.9,14.7,53.0,1484.4537471153846153089,36,HAMBURG
4,sat,0,59,18,22980,86160,18,17.7,12.7,59,17.3,9.5,46.5,1097.7434793514722325597,4,BROADWAY
40,sat,0,27,20,23820,90840,19,40.2,20.1,27,33.5,31.2,86.0,1937.3622769398430687795,40,GRAND ISLAND
44,sat,0,9,10,23100,85380,17,6.0,0.0,9,27.4,15.4,34.3,2409.3432920000000000000,44,LOCKPORT
48,sat,0,22,14,29400,78060,14,37.8,29.7,22,22.9,10.2,41.0,1349.3645662500000000000,48,WILLIAMSVILLE
5,sat,0,50,20,21900,90300,19,23.2,13.0,50,17.5,17.0,98.0,926.5814597938144330844,5,NIAGARA-KENMORE
50,sat,0,24,18,21660,86100,18,41.3,19.3,24,23.9,21.6,106.5,1083.0332203791469194064,50,MAIN-NIAGARA
52,sat,0,10,10,29940,61740,9,45.4,29.2,10,25.3,19.8,85.0,1246.8366363095238096488,52,HYDE PARK
54,sat,0,14,10,33480,68940,10,31.6,24.5,14,23.7,7.8,26.5,1490.4810999999999999421,54,MILITARY
55,sat,0,53,19,24420,89160,18,21.4,12.4,53,21.4,18.3,60.5,1599.1534680174563591407,55,PINE AVENUE
6,sat,0,65,19,21780,87060,18,16.2,9.3,65,18.1,12.5,61.8,1090.1122084788661099955,6,SYCAMORE
8,sat,0,43,17,22500,81180,16,22.0,13.6,43,16.4,9.6,52.5,980.7648818798011749724,8,MAIN
1,sun,0,26,14,27300,73980,13,31.1,25.3,26,17.3,7.1,42.0,917.1675390243902437744,1,WILLIAM
11,sun,0,22,13,28140,68580,11,28.3,20.5,22,22.8,15.8,76.5,1102.2964933774834438694,11,COLVIN
