stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
36660,dsa,0,1,2,North Division at Ellicott Street,42.88304,-78.87258
45520,dsa,0,1,2,Route 77 at Six Flags Darien Lake,42.92803,-78.38576
36660,dsu,0,1,2,North Division at Ellicott Street,42.88304,-78.87258
45520,dsu,0,1,2,Route 77 at Six Flags Darien Lake,42.92803,-78.38576
100,sat,0,1,12,Portage Road at Main Street,43.10146,-79.05167
10000,sat,0,1,15,Clinton Street at Krakow Street,42.87197,-78.80922
10020,sat,0,1,15,Clinton Street at Laux Street,42.87715,-78.83307
10030,sat,0,1,15,Clinton Street at Lewis Street,42.8779,-78.83529
10040,sat,0,1,15,Clinton Street at Lord Street,42.88044,-78.8455
10070,sat,0,1,15,Clinton Street at Meadowbrook Parkway,42.8717,-78.79589
10080,sat,0,1,15,Clinton Street at Metcalfe Street,42.87869,-78.8371
10090,sat,0,1,15,Clinton Street at Michigan Avenue,42.8843,-78.86859
10100,sat,0,1,15,Clinton Street at Michigan Avenue,42.88436,-78.8679
10110,sat,0,1,15,Clinton Street at Monroe Street,42.8815,-78.85211
10120,sat,0,1,15,Clinton Street at Montgomery Street,42.8799,-78.84235
10150,sat,0,2,28,Clinton Street at Oak Street,42.88474,-78.87123
10200,sat,0,1,15,Clinton Street at Pierce Street,42.87169,-78.80034
10210,sat,0,1,15,Clinton Street at Pine Street,42.88361,-78.86413
10220,sat,0,1,15,Clinton Street at Pine Street,42.8836,-78.86369
10230,sat,0,1,15,Clinton Street at Pleasant Parkway,42.87174,-78.79767
10240,sat,0,1,15,Clinton Street at Sheehan Hospital,42.88402,-78.8666
10250,sat,0,1,15,Clinton Street at Sheehan Hospital,42.88386,-78.86511
10260,sat,0,1,15,Clinton Street at Smith Street,42.88016,-78.84427
10270,sat,0,1,15,Clinton Street at Smith Street,42.88016,-78.84385
10280,sat,0,1,15,Clinton Street at Spann Street,42.87188,-78.81202
10290,sat,0,1,15,Clinton Street at Spring Street,42.88231,-78.85684
10300,sat,0,1,15,Clinton Street at Spring Street,42.88235,-78.85644
10310,sat,0,1,15,Clinton Street at South Ogden Street,42.87171,-78.80236
10320,sat,0,1,15,Clinton Street at South Ogden Street,42.87182,-78.80183
10350,sat,0,1,15,Clinton Street at Ellicott Street,42.88504,-78.87248
10360,sat,0,1,15,Clinton Street at Weaver Street,42.87189,-78.80373
10380,sat,0,1,15,Clinton Street at Weimar Street,42.87186,-78.80788
10390,sat,0,1,15,Clinton Street at Weimar Street,42.87191,-78.80749
1040,sat,0,1,12,Abbott Road at Milford Street,42.85207,-78.81743
10430,sat,0,1,12,College Avenue at McKoon Avenue,43.12244,-79.05017
10440,sat,0,1,11,Colvin Boulevard at 1069 Colvin Boulevard,42.96986,-78.8584
10450,sat,0,1,11,Colvin Boulevard at 1080 Colvin Boulevard,42.97057,-78.85846
10460,sat,0,1,11,Colvin Boulevard at 2097 Colvin Boulevard,42.99491,-78.85256
10470,sat,0,1,11,Colvin Avenue at Amherst Street,42.94176,-78.85587
10480,sat,0,1,11,Colvin Avenue at Amherst Street,42.94151,-78.85585
10490,sat,0,1,11,Colvin Boulevard at Argonne Avenue,42.96362,-78.85821
10500,sat,0,1,11,Colvin Boulevard at Argonne Drive,42.96388,-78.85831
10510,sat,0,1,11,Colvin Boulevard at Belmont Avenue,42.98659,-78.85394
10520,sat,0,1,11,Colvin Boulevard at Belmont Avenue,42.9867,-78.85373
10530,sat,0,1,11,Colvin Boulevard at Black Creek Road,43.00921,-78.84672
10540,sat,0,1,11,Colvin Boulevard at Black Creek Road,43.00959,-78.84685
10550,sat,0,1,11,Colvin Boulevard at Brighton Road,42.99084,-78.85266
10560,sat,0,1,11,Colvin Boulevard at Brighton Road,42.99139,-78.85283
10563,sat,0,1,11,Colvin Boulevard at Brighton Road,42.99076,-78.85285
10570,sat,0,1,11,Colvin Boulevard at Brompton Road,43.00557,-78.84699
10580,sat,0,1,11,Colvin Boulevard at Brompton Road,43.0056,-78.84715
10590,sat,0,1,11,Colvin Boulevard at Colvin Extension,43.00234,-78.85443
10593,sat,0,1,11,Colvin Boulevard at Colvin Extension,43.00178,-78.85436
106,sat,0,3,52,Main Street at Ferry Avenue,43.09052,-79.0614
1060,sat,0,1,12,Abbott Road at Narragansett Road,42.83967,-78.80791
10600,sat,0,1,11,Colvin Avenue at Crescent Avenue,42.94317,-78.85654
10610,sat,0,1,11,Colvin Avenue at Crescent Avenue,42.94317,-78.85666
10620,sat,0,1,11,Colvin Boulevard at Crosby Avenue,42.96545,-78.85827
10630,sat,0,1,11,Colvin Boulevard at Crosby Avenue,42.96577,-78.85838
10640,sat,0,1,11,Colvin Boulevard at Deerhurst Park Boulevard,42.96853,-78.85841
10650,sat,0,1,11,Colvin Boulevard at Deerhurst Park Boulevard,42.96906,-78.85848
10660,sat,0,1,11,Colvin Boulevard at Colvin Woods Parkway,42.99317,-78.85261
10670,sat,0,1,11,Colvin Boulevard at Colvin Woods Parkway,42.99335,-78.85278
10680,sat,0,1,11,Colvin Boulevard at Eggert Road,42.99775,-78.85198
10690,sat,0,1,11,Colvin Boulevard at Eggert Road,42.99792,-78.8522
107,sat,0,3,52,Main Street at Ferry Avenue,43.09054,-79.06098
1070,sat,0,1,11,Abbott Road at Norfred Drive,42.82432,-78.80329
10700,sat,0,1,11,Colvin Boulevard at Ellicot Creek Road,43.01155,-78.84668
10710,sat,0,1,11,Colvin Boulevard at Ellicot Creek Road,43.01167,-78.84683
10720,sat,0,1,11,Colvin Boulevard at Embassy Square,42.99664,-78.85246
10740,sat,0,1,11,Colvin Boulevard at Gardenwood Lane,42.9817,-78.85853
10750,sat,0,1,11,Colvin Boulevard at Glencove Road,42.97998,-78.85865
10760,sat,0,1,11,Colvin Boulevard at Greenfield Drive,43.00519,-78.84933
10770,sat,0,1,11,Colvin Boulevard at Greenfield Drive,43.00531,-78.84944
10780,sat,0,1,11,Colvin Avenue at Hertel Avenue,42.94741,-78.85875
10790,sat,0,1,11,Colvin Avenue at Hertel Avenue,42.94794,-78.85908
1080,sat,0,1,13,Abbott Road at Oakhurst Avenue,42.84474,-78.81002
10800,sat,0,1,11,Colvin Boulevard at Highland Avenue,42.97412,-78.85829
10810,sat,0,1,11,Colvin Boulevard at Highland Parkway,42.97411,-78.85847
10820,sat,0,1,11,Colvin Avenue at Kenmore Avenue,42.95888,-78.8585
