route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
97,36660,dsa,0,,,North Division at Ellicott Street,42.88304,-78.87258,97,DARIEN LAKE
97,45520,dsa,0,,,Route 77 at Six Flags Darien Lake,42.92803,-78.38576,97,DARIEN LAKE
97,36660,dsu,0,,,North Division at Ellicott Street,42.88304,-78.87258,97,DARIEN LAKE
97,45520,dsu,0,,,Route 77 at Six Flags Darien Lake,42.92803,-78.38576,97,DARIEN LAKE
50,100,sat,0,74.5,8.5,Portage Road at Main Street,43.10146,-79.05167,50,MAIN-NIAGARA
2,10000,sat,0,66.1,6.6,Clinton Street at Krakow Street,42.87197,-78.80922,2,CLINTON
2,10020,sat,0,66.1,6.6,Clinton Street at Laux Street,42.87715,-78.83307,2,CLINTON
2,10030,sat,0,66.0,6.4,Clinton Street at Lewis Street,42.8779,-78.83529,2,CLINTON
2,10040,sat,0,66.0,6.6,Clinton Street at Lord Street,42.88044,-78.8455,2,CLINTON
2,10070,sat,0,66.1,6.6,Clinton Street at Meadowbrook Parkway,42.8717,-78.79589,2,CLINTON
2,10080,sat,0,66.1,6.6,Clinton Street at Metcalfe Street,42.87869,-78.8371,2,CLINTON
2,10090,sat,0,66.0,6.2,Clinton Street at Michigan Avenue,42.8843,-78.86859,2,CLINTON
2,10100,sat,0,66.1,6.5,Clinton Street at Michigan Avenue,42.88436,-78.8679,2,CLINTON
2,10110,sat,0,66.0,6.2,Clinton Street at Monroe Street,42.8815,-78.85211,2,CLINTON
2,10120,sat,0,66.0,6.6,Clinton Street at Montgomery Street,42.8799,-78.84235,2,CLINTON
2,10150,sat,0,66.0,6.2,Clinton Street at Oak Street,42.88474,-78.87123,2,CLINTON
40,10150,sat,0,77.0,7.3,Clinton Street at Oak Street,42.88474,-78.87123,40,GRAND ISLAND
2,10200,sat,0,66.0,6.4,Clinton Street at Pierce Street,42.87169,-78.80034,2,CLINTON
2,10210,sat,0,66.0,6.2,Clinton Street at Pine Street,42.88361,-78.86413,2,CLINTON
2,10220,sat,0,66.0,6.6,Clinton Street at Pine Street,42.8836,-78.86369,2,CLINTON
2,10230,sat,0,66.1,6.6,Clinton Street at Pleasant Parkway,42.87174,-78.79767,2,CLINTON
2,10240,sat,0,66.0,6.2,Clinton Street at Sheehan Hospital,42.88402,-78.8666,2,CLINTON
2,10250,sat,0,66.0,6.6,Clinton Street at Sheehan Hospital,42.88386,-78.86511,2,CLINTON
2,10260,sat,0,66.0,6.2,Clinton Street at Smith Street,42.88016,-78.84427,2,CLINTON
2,10270,sat,0,66.0,6.6,Clinton Street at Smith Street,42.88016,-78.84385,2,CLINTON
2,10280,sat,0,66.0,6.4,Clinton Street at Spann Street,42.87188,-78.81202,2,CLINTON
2,10290,sat,0,66.0,6.2,Clinton Street at Spring Street,42.88231,-78.85684,2,CLINTON
2,10300,sat,0,66.0,6.6,Clinton Street at Spring Street,42.88235,-78.85644,2,CLINTON
2,10310,sat,0,66.0,6.4,Clinton Street at South Ogden Street,42.87171,-78.80236,2,CLINTON
2,10320,sat,0,66.1,6.6,Clinton Street at South Ogden Street,42.87182,-78.80183,2,CLINTON
2,10350,sat,0,66.0,6.2,Clinton Street at Ellicott Street,42.88504,-78.87248,2,CLINTON
2,10360,sat,0,66.1,6.6,Clinton Street at Weaver Street,42.87189,-78.80373,2,CLINTON
2,10380,sat,0,66.0,6.4,Clinton Street at Weimar Street,42.87186,-78.80788,2,CLINTON
2,10390,sat,0,66.1,6.6,Clinton Street at Weimar Street,42.87191,-78.80749,2,CLINTON
14,1040,sat,0,87.0,4.5,Abbott Road at Milford Street,42.85207,-78.81743,14,ABBOTT
50,10430,sat,0,74.5,8.5,College Avenue at McKoon Avenue,43.12244,-79.05017,50,MAIN-NIAGARA
11,10440,sat,0,59.0,2.9,Colvin Boulevard at 1069 Colvin Boulevard,42.96986,-78.8584,11,COLVIN
11,10450,sat,0,58.8,5.1,Colvin Boulevard at 1080 Colvin Boulevard,42.97057,-78.85846,11,COLVIN
11,10460,sat,0,59.0,2.9,Colvin Boulevard at 2097 Colvin Boulevard,42.99491,-78.85256,11,COLVIN
11,10470,sat,0,58.9,2.8,Colvin Avenue at Amherst Street,42.94176,-78.85587,11,COLVIN
11,10480,sat,0,58.7,5.0,Colvin Avenue at Amherst Street,42.94151,-78.85585,11,COLVIN
11,10490,sat,0,59.0,2.9,Colvin Boulevard at Argonne Avenue,42.96362,-78.85821,11,COLVIN
11,10500,sat,0,58.8,5.1,Colvin Boulevard at Argonne Drive,42.96388,-78.85831,11,COLVIN
11,10510,sat,0,59.0,2.9,Colvin Boulevard at Belmont Avenue,42.98659,-78.85394,11,COLVIN
11,10520,sat,0,58.8,5.1,Colvin Boulevard at Belmont Avenue,42.9867,-78.85373,11,COLVIN
11,10530,sat,0,59.0,2.9,Colvin Boulevard at Black Creek Road,43.00921,-78.84672,11,COLVIN
11,10540,sat,0,58.8,5.1,Colvin Boulevard at Black Creek Road,43.00959,-78.84685,11,COLVIN
11,10550,sat,0,59.0,2.9,Colvin Boulevard at Brighton Road,42.99084,-78.85266,11,COLVIN
11,10560,sat,0,58.8,5.1,Colvin Boulevard at Brighton Road,42.99139,-78.85283,11,COLVIN
11,10563,sat,0,58.8,5.1,Colvin Boulevard at Brighton Road,42.99076,-78.85285,11,COLVIN
11,10570,sat,0,59.0,2.9,Colvin Boulevard at Brompton Road,43.00557,-78.84699,11,COLVIN
11,10580,sat,0,58.8,5.1,Colvin Boulevard at Brompton Road,43.0056,-78.84715,11,COLVIN
11,10590,sat,0,59.0,2.9,Colvin Boulevard at Colvin Extension,43.00234,-78.85443,11,COLVIN
11,10593,sat,0,58.8,5.1,Colvin Boulevard at Colvin Extension,43.00178,-78.85436,11,COLVIN
40,106,sat,0,76.6,7.7,Main Street at Ferry Avenue,43.09052,-79.0614,40,GRAND ISLAND
50,106,sat,0,74.5,11.0,Main Street at Ferry Avenue,43.09052,-79.0614,50,MAIN-NIAGARA
55,106,sat,0,38.5,23.2,Main Street at Ferry Avenue,43.09052,-79.0614,55,PINE AVENUE
14,1060,sat,0,87.0,4.5,Abbott Road at Narragansett Road,42.83967,-78.80791,14,ABBOTT
11,10600,sat,0,58.9,2.8,Colvin Avenue at Crescent Avenue,42.94317,-78.85654,11,COLVIN
11,10610,sat,0,58.7,5.0,Colvin Avenue at Crescent Avenue,42.94317,-78.85666,11,COLVIN
11,10620,sat,0,59.0,2.9,Colvin Boulevard at Crosby Avenue,42.96545,-78.85827,11,COLVIN
11,10630,sat,0,58.8,5.1,Colvin Boulevard at Crosby Avenue,42.96577,-78.85838,11,COLVIN
11,10640,sat,0,59.0,2.9,Colvin Boulevard at Deerhurst Park Boulevard,42.96853,-78.85841,11,COLVIN
11,10650,sat,0,58.8,5.1,Colvin Boulevard at Deerhurst Park Boulevard,42.96906,-78.85848,11,COLVIN
11,10660,sat,0,59.0,2.9,Colvin Boulevard at Colvin Woods Parkway,42.99317,-78.85261,11,COLVIN
11,10670,sat,0,58.8,5.1,Colvin Boulevard at Colvin Woods Parkway,42.99335,-78.85278,11,COLVIN
11,10680,sat,0,59.0,2.9,Colvin Boulevard at Eggert Road,42.99775,-78.85198,11,COLVIN
11,10690,sat,0,58.8,5.1,Colvin Boulevard at Eggert Road,42.99792,-78.8522,11,COLVIN
40,107,sat,0,77.2,7.5,Main Street at Ferry Avenue,43.09054,-79.06098,40,GRAND ISLAND
50,107,sat,0,74.2,8.4,Main Street at Ferry Avenue,43.09054,-79.06098,50,MAIN-NIAGARA
55,107,sat,0,38.7,20.8,Main Street at Ferry Avenue,43.09054,-79.06098,55,PINE AVENUE
14,1070,sat,0,87.2,6.5,Abbott Road at Norfred Drive,42.82432,-78.80329,14,ABBOTT
11,10700,sat,0,59.0,2.9,Colvin Boulevard at Ellicot Creek Road,43.01155,-78.84668,11,COLVIN
11,10710,sat,0,58.8,5.1,Colvin Boulevard at Ellicot Creek Road,43.01167,-78.84683,11,COLVIN
11,10720,sat,0,58.8,5.1,Colvin Boulevard at Embassy Square,42.99664,-78.85246,11,COLVIN
11,10740,sat,0,59.0,2.9,Colvin Boulevard at Gardenwood Lane,42.9817,-78.85853,11,COLVIN
11,10750,sat,0,58.8,5.1,Colvin Boulevard at Glencove Road,42.97998,-78.85865,11,COLVIN
11,10760,sat,0,59.0,2.9,Colvin Boulevard at Greenfield Drive,43.00519,-78.84933,11,COLVIN
11,10770,sat,0,58.8,5.1,Colvin Boulevard at Greenfield Drive,43.00531,-78.84944,11,COLVIN
11,10780,sat,0,58.9,2.8,Colvin Avenue at Hertel Avenue,42.94741,-78.85875,11,COLVIN
11,10790,sat,0,58.7,5.0,Colvin Avenue at Hertel Avenue,42.94794,-78.85908,11,COLVIN
14,1080,sat,0,86.9,6.2,Abbott Road at Oakhurst Avenue,42.84474,-78.81002,14,ABBOTT
11,10800,sat,0,59.0,2.9,Colvin Boulevard at Highland Avenue,42.97412,-78.85829,11,COLVIN
11,10810,sat,0,58.8,5.1,Colvin Boulevard at Highland Parkway,42.97411,-78.85847,11,COLVIN
11,10820,sat,0,59.0,2.9,Colvin Avenue at Kenmore Avenue,42.95888,-78.8585,11,COLVIN
11,10830,sat,0,58.8,5.1,Colvin Boulevard at Kenmore Avenue,42.95855,-78.85875,11,COLVIN
11,10840,sat,0,59.0,2.9,Colvin Boulevard at Kerr Road,42.98825,-78.85265,11,COLVIN
11,10850,sat,0,58.8,5.1,Colvin Boulevard at Kerr Road,42.98838,-78.85284,11,COLVIN
11,10860,sat,0,59.0,2.9,Colvin Boulevard at Knowlton Avenue,42.96204,-78.85825,11,COLVIN
11,10870,sat,0,58.8,5.1,Colvin Boulevard at Knowlton Avenue,42.96231,-78.85842,11,COLVIN
11,10880,sat,0,58.9,2.8,Colvin Avenue at Linden Avenue,42.94475,-78.85732,11,COLVIN
11,10890,sat,0,58.7,5.0,Colvin Avenue at Linden Avenue,42.94473,-78.8574,11,COLVIN
40,109,sat,0,76.6,7.7,Main Street at 1st Street,43.08995,-79.06218,40,GRAND ISLAND
50,109,sat,0,74.5,11.0,Main Street at 1st Street,43.08995,-79.06218,50,MAIN-NIAGARA
55,109,sat,0,38.5,23.2,Main Street at 1st Street,43.08995,-79.06218,55,PINE AVENUE
11,10900,sat,0,59.0,2.9,Colvin Boulevard at Lorelee Drive,43.00505,-78.85077,11,COLVIN
11,10910,sat,0,58.8,5.1,Colvin Boulevard at Lorelee Drive,43.00495,-78.85125,11,COLVIN
11,10920,sat,0,59.0,2.9,Colvin Boulevard at Marjann Terrace,42.97674,-78.85838,11,COLVIN
11,10930,sat,0,58.8,5.1,Colvin Boulevard at Meadow Lane,42.97662,-78.85853,11,COLVIN
