route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
301,B_SASCHoff_merged_8679966,0,59,18,18300,82320,18,34.0,10.2,30,20.7,30.3,70.0,2318.2803850169163848208,101,""
301,B_SASCHoff_merged_8679966,1,59,18,18300,82320,18,33.7,8.9,29,20.6,31.6,75.0,2253.9051189189189190608,101,""
301,B_SASCHoff_merged_8679999,0,59,18,18300,82320,18,34.0,10.3,30,20.5,31.8,74.5,2284.5344208522212150256,101,""
301,B_SASCHoff_merged_8679999,1,59,18,18300,82320,18,33.3,9.0,29,20.3,33.1,77.0,2297.4209565789473685592,101,""
301,B_SUSCHoff_merged_8679957,0,59,18,18300,82320,18,34.0,10.2,30,20.7,30.3,70.0,2318.2803850169163848208,101,""
301,B_SUSCHoff_merged_8679957,1,59,18,18300,82320,18,33.7,8.9,29,20.6,31.6,75.0,2253.9051189189189190608,101,""
301,B_SUSCHoff_merged_8679990,1,59,18,18300,82320,18,33.7,8.9,29,20.3,33.1,77.0,2297.4209565789473685592,101,""
301,B_SUSCHoff_merged_8679990,0,59,18,18300,82320,18,34.0,10.3,30,20.5,31.8,74.5,2284.5344208522212150256,101,""
301,B_WDSCHoff_merged_8679950,1,63,18,18300,82320,18,33.0,9.1,31,18.9,31.9,75.9,2251.1042736434108525504,101,""
301,B_WDSCHoff_merged_8679950,0,63,18,18300,82320,18,31.9,8.0,32,19.7,32.6,74.6,2340.6130376910016978625,101,""
301,B_WDSCHoff_merged_8679983,0,63,18,18300,82320,18,31.8,7.6,32,19.6,33.2,76.4,2323.4651791873963515945,101,""
301,B_WDSCHoff_merged_8679983,1,63,18,18300,82320,18,32.9,9.0,31,19.3,32.7,77.0,2274.9463851018675723027,101,""
302,B_SASCHoff_merged_8679966,1,66,19,18840,83520,18,30.9,3.6,33,19.1,14.6,43.0,1806.5889071428571427634,302,""
302,B_SASCHoff_merged_8679966,0,66,19,18840,83520,18,31.5,4.3,33,19.7,15.6,42.0,2004.1548365853658535385,302,""
302,B_SASCHoff_merged_8679999,0,66,19,18840,83520,18,31.5,4.3,33,19.7,15.6,42.0,2004.1548365853658535385,302,""
302,B_SASCHoff_merged_8679999,1,66,19,18840,83520,18,30.9,3.6,33,19.1,14.6,43.0,1806.5889071428571427634,302,""
302,B_SUSCHoff_merged_8679957,1,66,19,18840,83520,18,30.8,3.7,33,19.7,15.0,46.0,1733.8262222222222220764,302,""
302,B_SUSCHoff_merged_8679957,0,66,19,18840,83520,18,31.5,4.3,33,20.2,16.0,41.0,2107.8456400000000000000,302,""
302,B_SUSCHoff_merged_8679990,0,66,19,18840,83520,18,31.5,4.3,33,20.2,16.0,41.0,2107.8456400000000000000,302,""
302,B_SUSCHoff_merged_8679990,1,66,19,18840,83520,18,30.8,3.7,33,19.7,15.0,46.0,1733.8262222222222220764,302,""
302,B_WDSCHoff_merged_8679950,0,102,20,16500,85320,19,21.4,5.2,50,17.8,15.6,42.0,2004.1548365853658535385,302,""
302,B_WDSCHoff_merged_8679950,1,102,20,16500,85320,19,21.7,5.1,52,17.6,14.6,43.0,1806.5889071428571427634,302,""
302,B_WDSCHoff_merged_8679983,1,102,20,16500,85320,19,21.7,5.2,52,17.6,14.6,43.0,1806.5889071428571427634,302,""
302,B_WDSCHoff_merged_8679983,0,102,20,16500,85320,19,21.4,4.8,50,17.8,15.6,42.0,2004.1548365853658535385,302,""
