route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
398,C_FRSCHoff_merged_8679963,1,4,6,66900,85500,5,,,2,46.3,48.9,8.0,36857.488471428572366,"",COASTER
398,C_FRSCHoff_merged_8679963,0,4,6,66900,85500,5,,,2,48.9,48.9,8.0,36857.488471428572366,"",COASTER
398,C_FRSCHoff_merged_8679996,1,4,6,66900,85500,5,,,2,46.3,48.9,8.0,36857.488471428572366,"",COASTER
398,C_FRSCHoff_merged_8679996,0,4,6,66900,85500,5,,,2,48.9,48.9,8.0,36857.488471428572366,"",COASTER
398,C_SASCHoff_merged_8679956,1,12,14,30960,85500,15,82.0,,6,47.6,48.9,8.0,36857.488471428572366,"",COASTER
398,C_SASCHoff_merged_8679956,0,12,14,30960,85500,15,,,6,47.3,48.9,8.0,36857.488471428572366,"",COASTER
398,C_SASCHoff_merged_8679989,1,12,14,30960,85500,15,80.0,,6,47.6,48.9,8.0,36857.488471428572366,"",COASTER
398,C_SASCHoff_merged_8679989,0,12,14,30960,85500,15,,,6,47.3,48.9,8.0,36857.488471428572366,"",COASTER
398,C_SUSCHoff_merged_8679941,0,8,12,30960,71280,11,,,4,47.1,48.9,8.0,36857.488471428572366,"",COASTER
398,C_SUSCHoff_merged_8679941,1,8,12,30960,71280,11,,,4,47.3,48.9,8.0,36857.488471428572366,"",COASTER
398,C_SUSCHoff_merged_8679974,1,8,12,30960,71280,11,,,4,47.3,48.9,8.0,36857.488471428572366,"",COASTER
398,C_SUSCHoff_merged_8679974,0,8,12,30960,71280,11,,,4,47.1,48.9,8.0,36857.488471428572366,"",COASTER
398,C_WDSCHoff_merged_8679954,1,22,16,19080,72600,15,47.2,20.5,11,48.0,48.9,8.0,36857.488471428572366,"",COASTER
398,C_WDSCHoff_merged_8679954,0,22,16,19080,72600,15,52.8,22.9,11,47.9,48.9,8.0,36857.488471428572366,"",COASTER
398,C_WDSCHoff_merged_8679987,0,22,16,19080,72600,15,52.8,22.9,11,47.9,48.9,8.0,36857.488471428572366,"",COASTER
398,C_WDSCHoff_merged_8679987,1,22,16,19080,72600,15,47.8,20.2,11,48.0,48.9,8.0,36857.488471428572366,"",COASTER
398,C_WESCHoff_merged_8679965,1,1,2,49860,53400,1,,,1,49.7,48.9,7.0,43000.403216666665573,"",COASTER
398,C_WESCHoff_merged_8679998,1,1,2,49860,53400,1,,,1,49.7,48.9,7.0,43000.403216666665573,"",COASTER
399,S_FRSCHoff_merged_8679970,1,10,4,75780,87960,3,30.0,0.0,4,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_FRSCHoff_merged_8679970,0,10,4,75780,87960,3,30.0,0.0,6,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_FRSCHoff_merged_8680003,0,10,4,75780,87960,3,30.0,0.0,6,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_FRSCHoff_merged_8680003,1,10,4,75780,87960,3,30.0,0.0,4,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_SASCHoff_merged_8679960,1,55,21,16380,87960,20,41.5,14.8,27,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_SASCHoff_merged_8679960,0,55,21,16380,87960,20,42.2,15.0,28,29.7,25.8,14.8,9911.9427581818181817287,"",SPRINTER
399,S_SASCHoff_merged_8679993,1,55,21,16380,87960,20,41.5,14.8,27,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_SASCHoff_merged_8679993,0,55,21,16380,87960,20,42.2,15.0,28,29.7,25.8,14.8,9911.9427581818181817287,"",SPRINTER
399,S_SUSCHoff_merged_8679968,1,50,18,16380,77160,17,40.0,14.4,25,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_SUSCHoff_merged_8679968,0,50,18,16380,77160,17,40.0,14.4,25,29.7,25.8,14.7,9914.3239658892128281213,"",SPRINTER
399,S_SUSCHoff_merged_8680001,0,50,18,16380,77160,17,40.0,14.4,25,29.7,25.8,14.7,9914.3239658892128281213,"",SPRINTER
399,S_SUSCHoff_merged_8680001,1,50,18,16380,77160,17,40.0,14.4,25,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_WDSCHoff_merged_8679947,0,68,18,14580,77160,17,30.0,0.0,34,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_WDSCHoff_merged_8679947,1,68,18,14580,77160,17,30.0,0.0,34,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_WDSCHoff_merged_8679980,0,68,18,14580,77160,17,30.0,0.0,34,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
399,S_WDSCHoff_merged_8679980,1,68,18,14580,77160,17,30.0,0.0,34,29.7,26.2,15.0,9892.4962285714285713817,"",SPRINTER
