stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
28000,C_FRSCHoff_merged_8679963,0,1,2,Coaster Oceanside Transit Center,33.192251,-117.379708
28000,C_FRSCHoff_merged_8679963,1,1,2,Coaster Oceanside Transit Center,33.192251,-117.379708
28001,C_FRSCHoff_merged_8679963,0,1,2,Coaster Carlsbad Village Station,33.160697,-117.350767
28001,C_FRSCHoff_merged_8679963,1,1,2,Coaster Carlsbad Village Station,33.160697,-117.350767
28002,C_FRSCHoff_merged_8679963,0,1,2,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28002,C_FRSCHoff_merged_8679963,1,1,2,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28003,C_FRSCHoff_merged_8679963,0,1,2,Coaster Encinitas Station,33.047096,-117.293203
28003,C_FRSCHoff_merged_8679963,1,1,2,Coaster Encinitas Station,33.047096,-117.293203
28004,C_FRSCHoff_merged_8679963,0,1,2,Coaster Solana Beach Station,32.993268,-117.271609
28004,C_FRSCHoff_merged_8679963,1,1,2,Coaster Solana Beach Station,32.993268,-117.271609
28005,C_FRSCHoff_merged_8679963,0,1,2,Coaster Sorrento Valley Station,32.902771,-117.225126
28005,C_FRSCHoff_merged_8679963,1,1,2,Coaster Sorrento Valley Station,32.902771,-117.225126
28006,C_FRSCHoff_merged_8679963,0,1,2,Coaster Old Town Station,32.754211,-117.199324
28006,C_FRSCHoff_merged_8679963,1,1,2,Coaster Old Town Station,32.754211,-117.199324
28007,C_FRSCHoff_merged_8679963,0,1,2,Coaster Santa Fe Station,32.717493,-117.169985
28007,C_FRSCHoff_merged_8679963,1,1,2,Coaster Santa Fe Station,32.717493,-117.169985
28000,C_FRSCHoff_merged_8679996,0,1,2,Coaster Oceanside Transit Center,33.192251,-117.379708
28000,C_FRSCHoff_merged_8679996,1,1,2,Coaster Oceanside Transit Center,33.192251,-117.379708
28001,C_FRSCHoff_merged_8679996,0,1,2,Coaster Carlsbad Village Station,33.160697,-117.350767
28001,C_FRSCHoff_merged_8679996,1,1,2,Coaster Carlsbad Village Station,33.160697,-117.350767
28002,C_FRSCHoff_merged_8679996,0,1,2,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28002,C_FRSCHoff_merged_8679996,1,1,2,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28003,C_FRSCHoff_merged_8679996,0,1,2,Coaster Encinitas Station,33.047096,-117.293203
28003,C_FRSCHoff_merged_8679996,1,1,2,Coaster Encinitas Station,33.047096,-117.293203
28004,C_FRSCHoff_merged_8679996,0,1,2,Coaster Solana Beach Station,32.993268,-117.271609
28004,C_FRSCHoff_merged_8679996,1,1,2,Coaster Solana Beach Station,32.993268,-117.271609
28005,C_FRSCHoff_merged_8679996,0,1,2,Coaster Sorrento Valley Station,32.902771,-117.225126
28005,C_FRSCHoff_merged_8679996,1,1,2,Coaster Sorrento Valley Station,32.902771,-117.225126
28006,C_FRSCHoff_merged_8679996,0,1,2,Coaster Old Town Station,32.754211,-117.199324
28006,C_FRSCHoff_merged_8679996,1,1,2,Coaster Old Town Station,32.754211,-117.199324
28007,C_FRSCHoff_merged_8679996,0,1,2,Coaster Santa Fe Station,32.717493,-117.169985
28007,C_FRSCHoff_merged_8679996,1,1,2,Coaster Santa Fe Station,32.717493,-117.169985
28000,C_SASCHoff_merged_8679956,0,1,6,Coaster Oceanside Transit Center,33.192251,-117.379708
28000,C_SASCHoff_merged_8679956,1,1,6,Coaster Oceanside Transit Center,33.192251,-117.379708
28001,C_SASCHoff_merged_8679956,0,1,6,Coaster Carlsbad Village Station,33.160697,-117.350767
28001,C_SASCHoff_merged_8679956,1,1,6,Coaster Carlsbad Village Station,33.160697,-117.350767
28002,C_SASCHoff_merged_8679956,0,1,6,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28002,C_SASCHoff_merged_8679956,1,1,6,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28003,C_SASCHoff_merged_8679956,0,1,6,Coaster Encinitas Station,33.047096,-117.293203
28003,C_SASCHoff_merged_8679956,1,1,6,Coaster Encinitas Station,33.047096,-117.293203
28004,C_SASCHoff_merged_8679956,0,1,6,Coaster Solana Beach Station,32.993268,-117.271609
28004,C_SASCHoff_merged_8679956,1,1,6,Coaster Solana Beach Station,32.993268,-117.271609
28005,C_SASCHoff_merged_8679956,0,1,6,Coaster Sorrento Valley Station,32.902771,-117.225126
28005,C_SASCHoff_merged_8679956,1,1,6,Coaster Sorrento Valley Station,32.902771,-117.225126
28006,C_SASCHoff_merged_8679956,0,1,6,Coaster Old Town Station,32.754211,-117.199324
28006,C_SASCHoff_merged_8679956,1,1,6,Coaster Old Town Station,32.754211,-117.199324
28007,C_SASCHoff_merged_8679956,0,1,6,Coaster Santa Fe Station,32.717493,-117.169985
28007,C_SASCHoff_merged_8679956,1,1,6,Coaster Santa Fe Station,32.717493,-117.169985
28000,C_SASCHoff_merged_8679989,0,1,6,Coaster Oceanside Transit Center,33.192251,-117.379708
28000,C_SASCHoff_merged_8679989,1,1,6,Coaster Oceanside Transit Center,33.192251,-117.379708
28001,C_SASCHoff_merged_8679989,0,1,6,Coaster Carlsbad Village Station,33.160697,-117.350767
28001,C_SASCHoff_merged_8679989,1,1,6,Coaster Carlsbad Village Station,33.160697,-117.350767
28002,C_SASCHoff_merged_8679989,0,1,6,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28002,C_SASCHoff_merged_8679989,1,1,6,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28003,C_SASCHoff_merged_8679989,0,1,6,Coaster Encinitas Station,33.047096,-117.293203
28003,C_SASCHoff_merged_8679989,1,1,6,Coaster Encinitas Station,33.047096,-117.293203
28004,C_SASCHoff_merged_8679989,0,1,6,Coaster Solana Beach Station,32.993268,-117.271609
28004,C_SASCHoff_merged_8679989,1,1,6,Coaster Solana Beach Station,32.993268,-117.271609
28005,C_SASCHoff_merged_8679989,0,1,6,Coaster Sorrento Valley Station,32.902771,-117.225126
28005,C_SASCHoff_merged_8679989,1,1,6,Coaster Sorrento Valley Station,32.902771,-117.225126
28006,C_SASCHoff_merged_8679989,0,1,6,Coaster Old Town Station,32.754211,-117.199324
28006,C_SASCHoff_merged_8679989,1,1,6,Coaster Old Town Station,32.754211,-117.199324
28007,C_SASCHoff_merged_8679989,0,1,6,Coaster Santa Fe Station,32.717493,-117.169985
28007,C_SASCHoff_merged_8679989,1,1,6,Coaster Santa Fe Station,32.717493,-117.169985
28000,C_SUSCHoff_merged_8679941,0,1,4,Coaster Oceanside Transit Center,33.192251,-117.379708
28000,C_SUSCHoff_merged_8679941,1,1,4,Coaster Oceanside Transit Center,33.192251,-117.379708
28001,C_SUSCHoff_merged_8679941,0,1,4,Coaster Carlsbad Village Station,33.160697,-117.350767
28001,C_SUSCHoff_merged_8679941,1,1,4,Coaster Carlsbad Village Station,33.160697,-117.350767
28002,C_SUSCHoff_merged_8679941,0,1,4,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28002,C_SUSCHoff_merged_8679941,1,1,4,Coaster Carlsbad Poinsettia Station,33.108638,-117.318987
28003,C_SUSCHoff_merged_8679941,0,1,4,Coaster Encinitas Station,33.047096,-117.293203
