route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
1,SA,0,30,17,19500,77460,16,29.3,10.7,30,22.9,55.5,131.4,2244.3031930232558140069,1,Pacific Coast Highway
129,SA,0,35,20,15240,84120,19,34.1,23.0,35,20.4,15.5,57.2,1446.0306096593797661430,129,La Habra - Anaheim Canyon
143,SA,0,33,19,18660,85740,19,33.2,18.2,33,17.9,16.1,53.1,1605.3266874927283304741,143,La Habra - Brea via Fullerton
145,SA,0,30,13,27360,69420,12,24.1,14.3,30,15.7,8.9,37.5,1284.5384671232876712958,145,Santa Ana-Costa Mesa via Raitt/Greenville/Fairview
153,SA,0,31,17,20760,78840,16,32.2,21.7,31,20.2,14.7,42.5,1830.4313750388802489831,153,StrkMa-BrMlLZ_former North end of 053
167,SA,0,20,11,32280,67980,10,30.8,12.6,20,21.2,16.1,56.5,1426.0260549549549548515,167,Anaheim-Irvine via Santiago/Hewes/Bryan
177,SA,0,15,13,26580,69600,12,49.3,37.1,15,22.5,11.5,36.8,1676.7455797020484169923,177,Foothill Ranch - L.H.T.C.
178,SA,0,21,9,30000,58920,8,22.6,11.3,21,17.6,9.6,34.2,1516.5304512195121950311,178,Huntington Beach-Irvine via Adams/Birch/Campus
191,SA,0,26,14,21960,70920,14,30.0,1.9,26,21.0,30.3,87.0,1855.4360209302325579793,191,San Clemente - Mission Viejo
25,SA,0,23,13,26400,70800,12,32.1,18.8,23,18.1,23.6,84.0,1490.8180315183246074415,25,Fullerton PNR - Huntington Beach
26,SA,0,22,13,27840,69300,12,29.5,13.7,22,20.4,17.4,62.5,1494.0953780487804878769,26,Fullerton PNR - Yorba Linda
29,SA,0,96,21,14640,88980,21,13.6,10.7,96,17.6,25.6,79.3,1716.6817305625748106016,29,LaHabra-Huntington Beach via Beach
30,SA,0,28,15,22920,75420,15,30.2,14.9,28,20.8,24.5,72.5,1789.7809111888111888066,30,Orangethorpe Avenue
33,SA,0,20,13,26880,69600,12,37.4,23.4,20,20.9,18.8,68.0,1472.2801917910447761243,33,Magnolia Street
35,SA,0,38,16,17940,70980,15,23.8,8.0,38,18.2,22.3,77.5,1537.4036888888888889618,35,Brookhurst Street
37,SA,0,43,17,19800,76200,16,21.5,9.6,43,17.8,20.4,68.9,1577.4604318041766519449,37,Euclid Street
38,SA,0,40,17,19080,76980,16,23.6,12.2,40,20.4,25.8,76.0,1809.3545870333333334427,38,La Palma Avenue
42,SA,0,60,17,20460,76500,16,16.0,9.5,60,17.2,24.1,74.7,1706.0211398508137433790,42,Seal Beach to Orange via Lincoln
43,SA,0,108,22,14400,92460,22,13.5,9.0,108,15.7,21.8,70.5,1643.3483156645780563627,43,Harbor Boulevard
46,SA,0,31,15,23700,73020,14,24.8,11.9,31,18.3,18.4,65.5,1508.2934351351351351174,46,Ball Road
47,SA,0,78,19,17280,82320,18,15.1,9.0,78,17.1,27.0,93.2,1534.0989040472878999750,47,Anaheim/Haster-Fairview
50,SA,0,42,22,14400,92280,22,31.3,19.6,42,20.2,24.7,73.5,1767.2438986206896551611,50,Katella Avenue
51,SA,0,28,15,22500,73740,14,31.6,17.6,28,17.2,8.2,29.5,1378.2962947368421053495,51,Santa Ana - Costa Mesa
53,SA,0,123,18,21060,80100,16,9.1,3.5,123,15.0,12.0,45.0,1348.4368722889340476874,53,Main Street
54,SA,0,48,17,21360,78660,16,20.2,10.1,48,19.0,21.1,68.5,1639.1876000000000000000,54,Chapman Avenue
55,SA,0,67,20,17880,83520,18,19.0,10.8,67,16.4,24.5,90.9,1434.9025460554725128975,55,Santa Ana - Costa Mesa - Newport Beach
56,SA,0,22,13,25320,69900,12,35.3,22.9,22,18.3,17.1,54.1,1691.9297451668092386209,56,Garden Grove Boulevard
57,SA,0,123,22,14400,92820,22,15.8,8.5,86,16.6,23.4,72.5,1668.6605275686096621680,57,Brea Mall - Newport Transp. Ctr.
59,SA,0,29,18,22560,83280,17,32.5,27.2,29,18.1,16.4,51.6,1705.0770627557980899805,59,Anaheim to Irvine
60,SA,0,107,22,14400,91980,22,18.9,12.3,71,18.4,21.5,67.4,1704.4182177496483824541,60,Long Beach-Tustin via 17th/Westminster
64,SA,0,112,18,18900,82320,18,10.8,7.6,112,14.4,14.3,50.0,1522.9393564457392572071,64,Huntington Beach - Tustin via Bolsa/1st
66,SA,0,107,18,18540,80940,17,15.9,7.2,80,15.7,12.8,50.1,1360.3027873073263558831,66,Huntingon Beach  to Irvine
70,SA,0,91,19,17280,81000,18,11.7,7.6,91,19.4,17.7,55.1,1726.4663295574502639852,70,Sunset Beach to Tustin Station
71,SA,0,39,16,22440,76740,15,23.9,10.7,38,20.1,32.2,99.4,1723.7092733576642337371,71,Newport Beach-Yorba Linda via Tustin/Red Hill
72,SA,0,26,15,24660,72600,13,31.9,18.4,26,21.1,17.3,57.5,1614.2897460176991151691,72,Sunset Beach-Tustin via Warner Avenue
79,SA,0,24,15,21600,74640,15,38.4,23.4,24,22.0,21.4,58.5,1965.4645052173913042765,79,Tustin - Newport Beach
82,SA,0,14,12,25200,67560,12,47.2,34.0,14,26.4,21.6,50.0,2317.3133846938775510338,82,Mission Viejo - Rancho Santa Margarita
83,SA,0,63,19,20340,85980,18,18.4,8.8,58,29.2,28.8,35.9,4334.5942725909090910284,83,Anaheim - Laguna Hills
85,SA,0,18,14,24840,71880,13,45.2,6.3,18,24.7,22.6,71.0,1700.4930850000000000000,85,Mission Viejo - Dana Point
87,SA,0,22,13,27000,69600,12,31.6,26.0,22,22.6,18.8,55.5,1812.4093495412844035132,87,Laguna Niguel - Rancho Santa Margarita
89,SA,0,26,18,17820,77220,17,35.7,17.5,26,19.6,17.4,43.0,2183.8257880952380951756,89,Laguna Beach - Mission Viejo
90,SA,0,25,18,22680,84600,17,43.0,26.2,25,24.9,25.3,72.1,1873.7124835208098987645,90,Tustin Station to Dana Point Harbor
91,SA,0,32,15,24600,73440,14,25.4,8.6,32,22.4,25.0,58.0,2315.1858447368421053495,91,Laguna Hills to San Clemente
1,SU,0,30,17,19380,76800,16,32.3,15.8,30,23.9,55.5,131.4,2244.3031930232558140069,1,Pacific Coast Highway
129,SU,0,34,21,16980,86520,19,35.1,22.1,34,20.2,14.4,53.4,1441.1230306179775279498,129,La Habra - Anaheim Canyon
143,SU,0,31,18,18660,81420,17,34.2,20.1,31,17.8,15.8,52.3,1600.7588100692259280986,143,La Habra - Brea via Fullerton
