route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
47,10,SA,0,26.1,8.0,ANAHEIM-VERMONT,33.82344,-117.90981,47,Anaheim/Haster-Fairview
129,1000,SA,0,64.4,5.2,KRAEMER-BIRCH,33.9162,-117.86367,129,La Habra - Anaheim Canyon
129,1002,SA,0,65.4,3.7,KRAEMER-BIRCH HILLS MALL,33.91356,-117.86403,129,La Habra - Anaheim Canyon
129,1003,SA,0,65.4,3.8,KRAEMER-IMPERIAL,33.91036,-117.86397,129,La Habra - Anaheim Canyon
129,1004,SA,0,65.4,3.8,KRAEMER-BUTTONWOOD,33.90801,-117.86398,129,La Habra - Anaheim Canyon
46,101,SA,0,49.9,1.5,BALL-BEACH,33.81751,-117.99429,46,Ball Road
57,1010,SA,0,32.2,11.7,STATE COLLEGE-BREA MALL,33.9136,-117.88354,57,Brea Mall - Newport Transp. Ctr.
143,1011,SA,0,33.2,18.2,STATE COLLEGE-BREA MALL,33.91492,-117.88289,143,La Habra - Brea via Fullerton
153,1011,SA,0,32.2,21.7,STATE COLLEGE-BREA MALL,33.91492,-117.88289,153,StrkMa-BrMlLZ_former North end of 053
57,1011,SA,0,23.3,13.0,STATE COLLEGE-BREA MALL,33.91492,-117.88289,57,Brea Mall - Newport Transp. Ctr.
129,1017,SA,0,33.7,21.5,STATE COLLEGE-BIRCH,33.91769,-117.88309,129,La Habra - Anaheim Canyon
143,1017,SA,0,66.5,4.8,STATE COLLEGE-BIRCH,33.91769,-117.88309,143,La Habra - Brea via Fullerton
153,1017,SA,0,61.6,5.1,STATE COLLEGE-BIRCH,33.91769,-117.88309,153,StrkMa-BrMlLZ_former North end of 053
57,1018,SA,0,35.6,16.5,STATE COLLEGE-BREA MALL,33.91357,-117.88377,57,Brea Mall - Newport Transp. Ctr.
57,1019,SA,0,35.6,16.4,STATE COLLEGE-BREA MALL,33.91295,-117.88561,57,Brea Mall - Newport Transp. Ctr.
46,102,SA,0,49.9,1.4,BALL-HALLIDAY,33.8175,-117.9965,46,Ball Road
46,103,SA,0,49.9,1.4,BALL-WESTERN,33.81744,-118.00171,46,Ball Road
129,1030,SA,0,34.1,23.0,RING-BREA MALL,33.91554,-117.88381,129,La Habra - Anaheim Canyon
143,1030,SA,0,33.2,17.2,RING-BREA MALL,33.91554,-117.88381,143,La Habra - Brea via Fullerton
153,1030,SA,0,32.2,20.8,RING-BREA MALL,33.91554,-117.88381,153,StrkMa-BrMlLZ_former North end of 053
57,1030,SA,0,24.1,12.8,RING-BREA MALL,33.91554,-117.88381,57,Brea Mall - Newport Transp. Ctr.
30,1031,SA,0,30.2,14.9,183RD-LOS CERRITOS CENTER (NEARSIDE),33.86552,-118.09552,30,Orangethorpe Avenue
30,1032,SA,0,59.7,1.1,183RD-LOS CERRITOS CENTER (FARSIDE),33.86553,-118.0943,30,Orangethorpe Avenue
38,1033,SA,0,45.2,1.8,DEL AMO-MAMMOTH,33.84638,-118.05782,38,La Palma Avenue
38,1034,SA,0,45.2,1.8,DEL AMO-BLOOMFIELD,33.84625,-118.06358,38,La Palma Avenue
38,1035,SA,0,45.2,2.0,DEL AMO-CLARETTA,33.84628,-118.06795,38,La Palma Avenue
38,1036,SA,0,45.2,2.1,DEL AMO-NORWALK,33.84628,-118.07235,38,La Palma Avenue
38,1038,SA,0,45.2,2.1,DEL AMO-CABRILLO,33.84626,-118.08001,38,La Palma Avenue
30,1039,SA,0,60.0,1.3,GRIDLEY-SOUTH,33.8586,-118.09073,30,Orangethorpe Avenue
46,104,SA,0,49.9,1.5,BALL-WESTVALE,33.8174,-118.00736,46,Ball Road
30,1040,SA,0,59.7,1.1,GRIDLEY-187TH,33.86091,-118.09106,30,Orangethorpe Avenue
30,1046,SA,0,59.7,1.1,SOUTH-GRIDLEY,33.85827,-118.09019,30,Orangethorpe Avenue
30,1047,SA,0,59.8,1.0,SOUTH-PIONEER,33.85834,-118.08172,30,Orangethorpe Avenue
30,1048,SA,0,59.8,0.9,SOUTH-ELY,33.85843,-118.06875,30,Orangethorpe Avenue
30,1049,SA,0,59.9,0.8,SOUTH-STEFANI,33.85845,-118.06592,30,Orangethorpe Avenue
46,105,SA,0,49.9,1.4,BALL-KNOTT,33.81735,-118.01176,46,Ball Road
30,1050,SA,0,59.8,0.6,SOUTH-BLOOMFIELD,33.85846,-118.06322,30,Orangethorpe Avenue
30,1051,SA,0,59.9,0.6,SOUTH-ALPHINGTON,33.85848,-118.05831,30,Orangethorpe Avenue
30,1052,SA,0,59.9,0.8,SOUTH-VICKIE,33.85854,-118.0523,30,Orangethorpe Avenue
30,1053,SA,0,59.9,0.4,SOUTH-PIRES,33.85854,-118.04959,30,Orangethorpe Avenue
30,1054,SA,0,59.9,0.4,SOUTH-CARMENITA,33.85855,-118.0452,30,Orangethorpe Avenue
30,1055,SA,0,60.0,0.9,SOUTH-CARMENITA,33.85879,-118.04647,30,Orangethorpe Avenue
30,1056,SA,0,60.0,0.9,SOUTH-PIRES,33.85878,-118.05026,30,Orangethorpe Avenue
30,1057,SA,0,60.0,0.9,SOUTH-VICKIE,33.85875,-118.05314,30,Orangethorpe Avenue
30,1058,SA,0,60.0,0.9,SOUTH-ALFRED,33.8587,-118.05956,30,Orangethorpe Avenue
30,1059,SA,0,60.0,1.1,SOUTH-BLOOMFIELD,33.85871,-118.06391,30,Orangethorpe Avenue
29,106,SA,0,23.4,10.3,BEACH-BALL,33.81813,-117.9931,29,LaHabra-Huntington Beach via Beach
30,1060,SA,0,60.0,1.0,SOUTH-STEFANI,33.85866,-118.0664,30,Orangethorpe Avenue
30,1061,SA,0,60.0,1.0,SOUTH-ELY,33.85867,-118.06914,30,Orangethorpe Avenue
30,1062,SA,0,60.0,1.3,SOUTH-PIONEER,33.85853,-118.08292,30,Orangethorpe Avenue
30,1063,SA,0,60.0,1.3,SOUTH-GRIDLEY,33.8585,-118.08783,30,Orangethorpe Avenue
55,1067,SA,0,29.9,0.9,17TH-PLACENTIA,33.63604,-117.93098,55,Santa Ana - Costa Mesa - Newport Beach
55,1068,SA,0,29.9,1.1,17TH-POMONA,33.63607,-117.92709,55,Santa Ana - Costa Mesa - Newport Beach
55,1069,SA,0,29.9,1.1,17TH-SUPERIOR,33.63603,-117.92327,55,Santa Ana - Costa Mesa - Newport Beach
