route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
41171,24,0,7,5,67320,79320,3,58.6,2.3,4,,,59.0,,568,Belvidere
41276,32,1,27,13,21720,67260,13,56.3,11.8,14,,,54.9,,563,Great Lakes Naval Station
41231,32,0,8,5,25140,63900,11,28.6,4.1,4,,,4.0,,631,Shuttle Bug 1
41234,32,0,7,6,18000,69060,14,38.0,7.5,4,,,43.0,,824,East Bolingbrook Lisle
41210,33,1,10,8,19560,72960,15,78.3,2.8,5,,,69.0,,215,Crawford - Howard
41207,32,1,9,6,21900,68760,13,27.6,15.8,4,,,39.0,,662,South Central Westmont
41269,27,0,25,21,15300,86940,20,38.8,36.3,17,,,42.8,,352,Halsted
41326,32,1,39,13,21720,67380,13,40.5,14.2,19,,,72.0,,561,Castlecrest via McAree
41246,32,0,29,18,19860,86040,18,52.6,11.1,13,,,78.6,,332,River Road - York Road
41296,26,1,6,4,81300,91800,3,50.0,7.0,3,,,62.0,,290,Touhy Avenue
41204,29,1,18,10,32700,66540,9,60.2,0.8,9,,,78.8,,384,Narragansett - Ridgeland
41184,32,1,8,7,22020,68460,13,29.2,8.6,5,,,64.6,,669,Western Springs-Indian Head Park
41279,32,1,77,20,18000,86460,19,26.7,11.4,40,,,62.9,,606,Northwest Limited
41194,29,1,40,14,27600,72180,12,34.4,9.5,20,,,115.6,,381,95th Street
41293,32,0,33,15,19500,69360,14,50.3,14.0,16,,,51.3,,802,Aurora-St. Charles
41336,29,1,6,4,40500,64200,7,,,3,,,2.0,,282,Schaumburg - Wrigley Field Express
41192,32,1,53,19,18180,82800,18,40.0,14.4,26,,,108.0,,303,Forest Park Rosemont
41210,32,0,65,20,18360,87000,19,31.6,13.5,32,,,67.0,,215,Crawford - Howard
41179,32,0,58,15,21600,74400,15,30.5,2.0,29,,,39.0,,541,Northeast Elgin
41302,28,1,44,18,19500,91140,20,46.1,15.2,22,,,42.9,,223,Elk Grove - Rosemont CTA Station
41297,29,0,26,13,30600,75360,12,30.0,25.5,25,,,102.8,,364,159th Street
41176,32,1,36,13,21120,64320,12,40.0,0.0,18,,,52.0,,532,Illinois Avenue
41266,28,1,23,12,27120,66780,11,60.0,0.0,11,,,132.7,,331,Cumberland - 5th Avenue
41240,28,0,46,13,26100,68700,12,30.0,0.0,23,,,45.0,,552,North State - Spring Hill Mall
41153,28,0,33,16,24000,77520,15,52.5,12.3,17,,,62.0,,209,Busse Highway
41279,33,0,2,3,57840,65940,2,86.0,,2,,,58.5,,606,Northwest Limited
41226,28,0,47,17,27900,83040,15,41.2,4.8,23,,,70.3,,565,Grand Avenue
41144,32,0,11,6,21480,69240,13,21.2,2.5,5,,,90.0,,462,Southwest Downers Grove
41290,33,1,2,4,60000,69780,3,,,1,,,124.0,,386,South Harlem
41270,29,0,27,8,39600,65340,7,31.2,3.1,14,,,7.0,,905,Schaumburg Trolley
41219,29,0,26,14,31500,77940,13,60.0,0.0,13,,,41.0,,350,Sibley
41190,28,0,36,20,20100,88980,19,60.8,2.9,18,,,135.0,,359,Robbins / South Kedzie Avenue
41171,32,1,54,16,19380,80340,17,31.6,5.6,27,,,58.0,,568,Belvidere
41275,32,0,76,21,17520,87000,19,31.1,14.3,35,,,67.0,,318,West North Avenue
41177,28,0,40,14,23400,71220,13,39.1,13.4,20,,,67.8,,383,South Cicero
41138,32,1,36,13,22500,65400,12,40.0,0.7,19,,,57.3,,521,East Circulator
41185,32,0,14,7,21840,71940,14,21.2,1.7,6,,,2.0,,675,Route 59 Express
41214,32,0,65,20,18000,86520,19,33.6,10.5,34,,,128.0,,379,Midway - Orland Square
41146,29,1,18,7,41400,64200,6,19.5,11.1,18,,,207.0,,411,Niles Local Service
41285,32,0,9,5,25140,63960,11,22.7,4.5,5,,,5.0,,633,Shuttle Bug 3
41274,32,0,43,16,19920,74460,15,38.9,13.8,20,,,154.6,,423,Linden CTA-The Glen-Harlem CTA
41328,32,0,10,6,23040,63900,11,37.0,15.5,5,,,4.4,,635,Lake Cook Shuttle Bug 5
41342,32,0,4,6,60300,87900,8,6.6,2.8,4,,,3.0,,768,Bolingbrook/Burr Ridge - Soldier Field Express
41290,32,0,54,17,16080,72360,16,32.5,8.2,28,,,123.0,,386,South Harlem
41340,28,0,43,11,26100,64440,11,30.0,2.0,21,,,39.9,,547,Wing Park
41337,32,0,8,5,18840,67620,14,42.3,17.9,4,,,44.3,,826,South Lisle
41286,29,1,9,6,32400,84000,14,,,6,,,3.0,,284,Schaumburg - Great America Gurnee Express
41273,28,1,29,15,25800,77820,14,32.0,20.9,25,,,93.6,,529,Randall Road - 5th Street
41275,33,1,2,3,59520,64920,2,,,1,,,62.0,,318,West North Avenue
41274,33,1,7,7,25800,47580,6,40.0,5.6,5,,,103.8,,423,Linden CTA-The Glen-Harlem CTA
41280,32,0,6,8,18300,65940,13,,,3,,,6.0,,755,Plainfield - IMD - West Loop Express
41248,32,0,104,19,18900,83760,18,21.4,8.8,51,,,83.0,,307,Harlem
41217,28,0,10,10,29100,64080,10,,,5,,,105.0,,801,Elgin - Geneva
41219,28,1,32,17,24300,81600,16,60.0,0.0,16,,,40.0,,350,Sibley
41190,29,1,27,16,32760,87120,15,61.6,5.7,13,,,134.0,,359,Robbins / South Kedzie Avenue
41270,28,1,55,12,36000,76200,11,23.7,4.5,27,,,10.0,,905,Schaumburg Trolley
41283,32,0,8,11,40800,86100,13,57.5,3.5,4,,,2.0,,779,Yorktown - Wrigley Field Express
41244,32,0,13,8,18900,70200,14,30.3,10.3,7,,,2.0,,600,Northwest Express
41152,32,0,6,6,21840,69180,13,49.5,4.9,3,,,53.0,,674,Southwest Lombard
41187,32,0,80,18,19320,82560,18,23.3,14.3,68,,,124.5,,301,Roosevelt Road
41177,29,1,18,10,34080,66660,9,60.0,0.0,9,,,80.2,,383,South Cicero
41308,32,1,77,20,16200,82980,19,13.8,13.2,72,,,89.3,,322,Cermak Road - 22nd Street
41291,32,1,52,13,21720,67560,13,23.9,11.6,31,,,67.1,,569,Lewis
41278,32,0,20,10,21480,66840,13,47.1,4.3,10,,,69.0,,573,Green Bay Road
41146,28,0,20,8,41400,66000,7,19.1,10.6,20,,,208.0,,411,Niles Local Service
41141,28,1,20,11,30720,65340,10,60.0,0.0,10,,,61.3,,564,Jackson / 14th
41165,27,1,1,2,9600,11700,1,,,1,,,108.0,,390,Midway CTA - UPS Hodgkins
41244,33,1,2,2,61200,68100,2,85.0,,2,,,2.0,,600,Northwest Express
41155,30,1,2,3,8340,16440,2,,,1,,,87.0,,890,South Suburbs UPS Hodgkins
41145,32,1,11,5,19800,68340,13,26.2,6.1,5,,,23.0,,464,West Downers Grove
41295,32,1,65,18,19020,79740,17,16.7,10.9,61,,,79.2,,357,Lincoln Highway
41239,28,0,19,10,29100,64620,10,60.0,0.0,9,,,46.0,,471,Highland Park-Northbrook Court
41286,28,0,6,4,32400,84000,14,,,3,,,3.0,,284,Schaumburg - Great America Gurnee Express
41187,33,1,3,6,52380,68700,5,,,2,,,155.0,,301,Roosevelt Road
41308,33,0,5,5,54420,69180,4,5.0,0.0,4,,,91.0,,322,Cermak Road - 22nd Street
41137,32,0,26,15,18720,88680,19,52.8,12.8,12,,,68.0,,317,Westchester
41243,28,1,31,9,34680,63360,8,60.0,0.0,16,,,74.5,,505,West Joliet Loop
41151,27,0,2,2,71100,72720,0,,,1,,,42.0,,366,Park Forest - Chicago Heights
41264,27,1,7,8,18360,44940,7,,,3,,,138.7,,358,Torrence
41237,32,0,7,5,19500,67920,13,31.0,22.6,4,,,61.8,,362,South Park Forest
41174,32,1,36,15,19200,70500,14,44.5,15.7,18,,,114.2,,234,Wheeling - Des Plaines
41162,32,1,48,15,18780,70200,14,32.3,19.1,29,,,78.1,,221,Wolf Road
41142,32,0,57,21,16680,87000,20,38.3,15.6,29,,,110.0,,330,Mannheim - LaGrange Roads
41261,32,0,25,8,20880,67800,13,25.6,6.6,12,,,14.9,,610,River Road - Prairie Stone Express
41284,32,1,25,14,20520,65100,12,60.0,0.3,12,,,57.0,,504,South Joliet
41199,28,0,23,13,26700,69000,12,60.1,2.8,11,,,88.9,,319,Grand Avenue
41188,32,0,33,14,20700,66360,13,43.2,17.9,18,,,110.3,,554,Elgin - Woodfield
41175,32,0,82,19,19440,83340,18,25.7,7.0,40,,,15.2,,308,Medical Center
41194,28,0,61,19,18480,82980,18,33.0,8.3,31,,,109.0,,381,95th Street
41164,32,0,9,6,18900,67980,14,44.0,11.3,4,,,74.0,,827,Green Trails-Steeple Run
