route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
11D-IA,S,1,13,17,22920,81600,16,,,13,,,81.0,,11D,PERRYSVILLE - CONNIE DR- DOWNTOWN - IA
11D-IB,S,1,24,20,19500,89400,19,,,24,,,71.0,,11D,PERRYSVILLE - DOWNTOWN - IB
11D-OA,S,0,13,18,23400,84060,17,,,13,,,84.0,,11D,PERRYSVILLE - CONNIE DR- WEST VIEW PLAZA - OA
11D-OB,S,0,24,20,21600,91620,19,,,24,,,73.0,,11D,PERRYSVILLE - WEST VIEW PLAZA - OB
11E-IK,S,1,2,3,38580,56880,5,,,2,,,46.0,,11E,FINEVIEW - CEDAR AV-DOWNTOWN - IK
11E-IL,S,1,8,11,31440,69900,11,,,8,,,50.0,,11E,FINEVIEW - DOWNTOWN-PENN STATION - IL
11E-OC,S,0,2,2,42060,59580,5,,,2,,,17.0,,11E,FINEVIEW - OC
11E-OE,S,0,1,2,71040,72600,0,,,1,,,40.0,,11E,FINEVIEW - OE
11E-OF,S,0,7,8,33360,67980,10,,,7,,,19.0,,11E,FINEVIEW - OF
12A-IC,S,1,14,17,25620,83400,16,,,14,,,65.0,,12A,NORTH HILLS SHOPPER - DOWNTOWN-PASSVANT-MCINTYRE-KANE - IC
12A-ID,S,1,14,17,22500,81300,16,,,14,,,55.0,,12A,NORTH HILLS SHOPPER - DOWNTOWN-NORTHWAY MALL - ID
12A-OC,S,0,13,16,25200,80340,15,,,13,,,65.0,,12A,NORTH HILLS SHOPPER - KANE-MCINTYRE-PASSAVANT-SHOWCASE - OC
12A-OD,S,0,13,15,21600,78060,16,,,13,,,53.0,,12A,NORTH HILLS SHOPPER - NORTHWAY SHOWCASE - OD
12A-OV,S,0,2,2,79200,86340,2,,,2,,,58.0,,12A,NORTH HILLS SHOPPER - SHOWCASE VIA NORTHWAY-KANE-MCINTYRE - OV
12A-OY,S,0,1,2,81300,84420,1,,,1,,,71.0,,12A,NORTH HILLS SHOPPER - VIA NORTHWAY-KANE-MCINTYRE-PASSAVANT - OY
16A-IA,S,1,12,16,24120,78300,15,,,12,,,88.0,,16A,OHIO RIVER BOULEVARD - DOWNTOWN - IA
16A-IZ,S,1,2,4,69960,84000,4,,,2,,,60.0,,16A,OHIO RIVER BOULEVARD - BELLEVUE ONLY - IZ
16A-OB,S,0,12,16,28200,81960,15,,,12,,,91.0,,16A,OHIO RIVER BOULEVARD - AMBRIDGE - OB
16B-I,S,1,30,20,18060,87300,19,38.7,18.8,30,,,62.0,,16B,BRIGHTON - DOWNTOWN - I
16B-IG,S,1,10,16,19740,75300,15,,,10,,,96.0,,16B,BRIGHTON - DOWNTOWN - IG
16B-O,S,0,30,20,19800,89520,19,38.8,19.1,30,,,63.0,,16B,BRIGHTON - AVALON LOOP - O
16B-OG,S,0,10,16,22500,78240,15,,,10,,,96.0,,16B,BRIGHTON - EMSWORTH- CAMP HORNE RD - OG
16D-IB,S,1,20,17,25920,84000,16,,,20,,,29.0,,16D,MANCHESTER - PENNA AV- DOWNTOWN - IB
16D-OB,S,0,20,17,27000,85080,16,,,20,,,38.0,,16D,MANCHESTER - PENNA AV- ISLAND & BEAVER - OB
16F-IH,S,1,18,17,25260,84600,16,,,18,,,70.0,,16F,CITY VIEW - CEDAR AV- DOWNTOWN - IH
16F-OH,S,0,18,18,27600,87180,17,,,18,,,67.0,,16F,CITY VIEW - CEDAR AV- ALLEGHENY SQ-N'VIEW-ROSS - OH
1A-IE,S,1,3,4,18480,29820,3,,,3,,,142.0,,1A,NEW KENSINGTON - DOWNTOWN via MILLVALE - IE
1A-IM,S,1,14,16,28140,81000,15,,,14,,,149.0,,1A,NEW KENSINGTON - PITTSBURGH VIA WATERWORKS & MILLVALE - IM
1A-OE,S,0,4,5,69300,86340,5,,,4,,,134.0,,1A,NEW KENSINGTON - TARENTUM VIA MILLVALE - OE
1A-OM,S,0,13,14,22800,70560,13,,,13,,,139.0,,1A,NEW KENSINGTON - TARENTUM VIA MILLVALE - OM
1D-IK,S,1,2,3,21840,28800,2,,,2,,,114.0,,1D,MOUNT ROYAL - FERGUSON- MILLVALE LOOP-DOWNTOWN - IK
