stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
E00920,S,1,7,86,5TH AVE AT AMBERSON,40.447809,-79.938773
E00970,S,1,10,181,5TH AVE AT BELLEFIELD,40.446719,-79.951811
E00975,S,0,9,175,5TH AVE AT BELLEFIELD,40.446278,-79.951956
E01000,S,0,6,39,5TH AVE AT BIGELOW (PITT),40.444219,-79.954848
E01000,S,1,16,245,5TH AVE AT BIGELOW (PITT),40.444219,-79.954848
E01150,S,0,7,129,5TH AVE AT CRAIG,40.446803,-79.949141
E01180,S,1,3,21,5TH AVE AT DESOTO (CHILDREN'S HOSP),40.442374,-79.957778
E01210,S,0,9,175,5TH AVE AT MCKEE,40.440326,-79.960268
E01210,S,1,6,38,5TH AVE AT MCKEE,40.440326,-79.960268
E01225,S,0,9,175,5TH AVE AT HALKET,40.438979,-79.962128
E01225,S,1,6,38,5TH AVE AT HALKET,40.438979,-79.962128
E01400,S,0,9,175,5TH AVE AT FALEDER MONUMENTS,40.436835,-79.970227
E01400,S,1,6,38,5TH AVE AT FALEDER MONUMENTS,40.436835,-79.970227
E01440,S,0,9,175,5TH AVE AT MOULTRIE,40.437977,-79.974553
E01450,S,0,1,10,5TH AVE AT MOULTRIE FS,40.43812,-79.974579
E01450,S,1,14,270,5TH AVE AT MOULTRIE FS,40.43812,-79.974579
E01470,S,0,6,86,5TH AVE AT NEGLEY,40.449683,-79.929743
E01500,S,0,6,86,5TH AVE AT NEVILLE,40.447001,-79.947494
E01550,S,0,6,39,5TH AVE AT ROBINSON,40.437812,-79.965246
E01550,S,1,12,136,5TH AVE AT ROBINSON,40.437812,-79.965246
E01720,S,0,9,175,5TH AVE OPP TENNYSON,40.445539,-79.95301
E01810,S,1,11,248,5TH AVE AT WASHINGTON,40.438818,-79.990681
E01930,S,0,7,109,5TH AVE OPP COLLEGE,40.451108,-79.925708
E01940,S,0,6,39,5TH AVE OPP CRAFT,40.437977,-79.963853
E01940,S,1,12,148,5TH AVE OPP CRAFT,40.437977,-79.963853
E01960,S,0,1,10,5TH AVE OPP GIST,40.438382,-79.979386
E01960,S,1,14,270,5TH AVE OPP GIST,40.438382,-79.979386
E01990,S,0,7,109,5TH AVE OPP MARYLAND,40.450432,-79.927451
E02040,S,0,1,10,5TH AVE OPP SENECA,40.438199,-79.975867
E02040,S,1,14,270,5TH AVE OPP SENECA,40.438199,-79.975867
E02050,S,0,9,175,5TH AVE OPP THACKERAY,40.443079,-79.956461
E02050,S,1,6,38,5TH AVE OPP THACKERAY,40.443079,-79.956461
E02180,S,0,2,12,6TH ST AT BRINTON,40.387017,-79.757383
E02180,S,1,1,12,6TH ST AT BRINTON,40.387017,-79.757383
E02200,S,0,2,12,6TH ST AT CAVIT,40.387014,-79.759347
E02200,S,1,1,12,6TH ST AT CAVIT,40.387014,-79.759347
E02245,S,1,2,15,6TH ST AT BALDRIDGE,40.405727,-79.863519
E02430,S,0,2,12,7TH ST AT PROSPECT,40.386193,-79.752417
E02430,S,1,1,12,7TH ST AT PROSPECT,40.386193,-79.752417
E02770,S,0,1,11,ABER RD AT GROVE,40.467861,-79.865317
E02770,S,1,1,11,ABER RD AT GROVE,40.467861,-79.865317
E02810,S,0,1,11,ABER RD AT #8141,40.471156,-79.86227
E02810,S,1,1,11,ABER RD AT #8141,40.471156,-79.86227
E02929,S,0,1,20,AIKEN AVE AT KINCAID,40.466314,-79.935529
E03200,S,0,1,25,AIRBRAKE AVE OPP 9TH,40.402514,-79.821338
E03270,S,1,1,25,AIRBRAKE AVE AT 10TH,40.402913,-79.822012
E03280,S,0,3,12,ALCOMA BLVD AT SALTSBURG FS,40.481524,-79.804557
E03310,S,1,1,6,ALLEGHENY RIVER BLVD AT FAGEN'S BUILDING,40.495083,-79.845918
E03350,S,0,2,21,ALLEGHENY RIVER BLVD AT COLLEGE,40.513851,-79.843137
E03550,S,0,2,21,ALLEGHENY RIVER BLVD AT SHELDON FS,40.508316,-79.842597
E03575,S,0,1,6,ALLEGHENY RIVER BLVD AT SPORTS CENTER,40.502573,-79.843538
E03670,S,0,1,6,ALLEGHENY RIVER BLVD AT WILDWOOD,40.503739,-79.843131
E03740,S,1,2,22,ALLEGHENY RIVER BLVD OPP PLUM,40.511929,-79.84352
E03940,S,0,1,13,ALLEQUIPPA ST AT STADIUM,40.444515,-79.963394
E04086,S,1,1,6,ANTHON DR AT ANGE,40.464516,-79.801361
E04180,S,1,1,25,ARDMORE BLVD AT BRADDOCK,40.424665,-79.859114
E04240,S,1,1,25,ARDMORE BLVD AT FAIRFAX,40.422186,-79.854127
E04320,S,1,3,40,ARDMORE BLVD AT MARLBORO FS,40.435878,-79.871672
E04420,S,1,1,25,ARDMORE BLVD OPP WESTINGHOUSE,40.421226,-79.85219
E04480,S,0,2,7,ATKINSON PL AT GAYWOOD,40.456254,-79.855867
E04480,S,1,2,7,ATKINSON PL AT GAYWOOD,40.456254,-79.855867
E04520,S,0,1,20,ATLANTIC AVE AT HILLCREST,40.468269,-79.938233
E04580,S,1,2,20,ATLANTIC AVE AT ROSETTA,40.467319,-79.937777
E04663,S,0,1,25,AVENUE U AT WATKINS,40.394896,-79.804015
E04780,S,0,2,15,BATES ST AT ATWOOD,40.438136,-79.954075
E04850,S,1,5,32,BAUM BLVD AT GRAHAM,40.457523,-79.936845
E04870,S,1,5,32,BAUM BLVD AT LIBERTY,40.456712,-79.939544
E04930,S,1,5,32,BAUM BLVD AT MOREWOOD,40.455051,-79.945186
E05350,S,0,2,14,BEATTY RD AT COOPER,40.45213,-79.752722
E05500,S,0,2,14,BEATTY RD OPP #557,40.451132,-79.756356
E05510,S,1,9,71,BEATTY ST AT EVA,40.461211,-79.927474
E05515,S,1,9,71,BEATTY ST AT BAUM NS,40.460179,-79.928134
E05590,S,1,2,12,BEDFORD AVE OPP CRAWFORD,40.444208,-79.988015
E05620,S,1,2,26,BEDFORD AVE AT FRANCIS,40.451735,-79.970236
E05750,S,1,2,26,BEDFORD AVE AT SOMERS,40.449488,-79.975547
E05760,S,0,2,26,BEDFORD AVE AT SOMERS,40.449327,-79.975557
E05800,S,0,4,38,BEDFORD AVE OPP CASSATT,40.445333,-79.98501
E05880,S,1,1,9,BEECHWOOD BLVD OPP BURCHFIELD,40.425721,-79.919605
E05980,S,0,1,17,BEECHWOOD BLVD AT LILAC,40.422987,-79.927511
E05990,S,0,1,17,BEECHWOOD BLVD AT LORETTA,40.422153,-79.927864
E06010,S,1,3,26,BEECHWOOD BLVD AT MONITOR,40.424705,-79.919958
E06025,S,0,1,9,BEECHWOOD BLVD AT NATIVITY CHURCH,40.427678,-79.936017
E06130,S,0,2,26,BEECHWOOD BLVD AT #3773,40.428046,-79.929327
E06140,S,0,2,26,BEECHWOOD BLVD AT #3825,40.428256,-79.930922
E06215,S,0,1,17,BEECHWOOD BLVD OPP FEDERAL HILL,40.421058,-79.927619
E06240,S,0,2,26,BEECHWOOD BLVD OPP FORWARD,40.427533,-79.92836
E06290,S,1,1,9,BEECHWOOD BLVD OPP #2946,40.422383,-79.917499
E06300,S,1,1,9,BEECHWOOD BLVD OPP #3046,40.420709,-79.920238
E06310,S,1,1,9,BEECHWOOD BLVD OPP #3220,40.418519,-79.92272
E06350,S,1,1,9,BEECHWOOD BLVD OPP SHADY EXT,40.418171,-79.924382
