route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
47S-O,W,0,43,10,19620,68640,14,,,43,,,25.0,,47S,SOUTH HILLS VILLAGE - VIA OVERBROOK - O
47S-I,W,1,51,13,17460,72000,15,,,51,,,25.0,,47S,SOUTH HILLS VILLAGE - DOWNTOWN VIA OVERBROOK - I
42C-I,W,1,32,9,20520,66540,13,9.9,0.7,32,,,27.0,,42C,CASTLE SHANNON - DOWNTOWN VIA BEECHVIEW - I
42C-O,W,0,32,7,18120,64260,13,10.0,0.2,32,,,27.0,,42C,CASTLE SHANNON - CASTLE SHANNON VIA BEECHVIEW - O
052-O,W,0,7,7,20220,62580,12,44.4,5.5,7,,,16.0,,052,ALLENTOWN - S HILLS JUNCTION VIA ALLENTOWN - O
47L-I,W,1,48,19,16500,86280,19,,,48,,,34.0,,47L,LIBRARY - DOWNTOWN VIA OVERBROOK - I
42S-I,W,1,57,19,15600,91140,21,,,57,,,38.0,,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - I
42S-O,W,0,57,19,4920,91920,24,15.8,5.3,57,,,38.0,,42S,S HILLS VILLAGE - S HILLS VILLAGE VIA BEECHVIEW - O
47L-O,U,0,23,20,20160,88560,19,,,23,,,34.0,,47L,LIBRARY - LIBRARY VIA OVERBROOK - O
47L-O,S,0,33,21,20640,90060,19,34.9,0.9,33,,,34.0,,47L,LIBRARY - LIBRARY VIA OVERBROOK - O
052-I,W,1,7,5,21660,64440,12,46.4,5.4,7,,,15.0,,052,ALLENTOWN - GATEWAY CENTER VIA ALLENTOWN - I
47L-IA,W,1,5,4,51840,70020,5,,,5,,,17.0,,44L,LIBRARY - WASHINGTON JUNCTION - IA
42S-OB,W,0,2,4,30600,67680,10,,,2,,,40.0,,42S,S HILLS VILLAGE - S HILLS VILLAGE VIA BEECHVIEW - OB
42S-O,U,0,46,21,3660,89400,24,25.0,0.0,46,,,38.0,,42S,S HILLS VILLAGE - S HILLS VILLAGE VIA BEECHVIEW - O
42S-I,S,1,66,22,17460,92040,21,,,66,,,38.0,,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - I
47L-I,S,1,33,20,18000,87480,19,,,33,,,34.0,,47L,LIBRARY - DOWNTOWN VIA OVERBROOK - I
42S-O,S,0,66,23,3660,90240,24,18.2,2.2,66,,,38.0,,42S,S HILLS VILLAGE - S HILLS VILLAGE VIA BEECHVIEW - O
42S-IB,W,1,2,4,17340,56040,11,,,2,,,40.0,,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - IB
42S-I,U,1,46,20,18720,89880,20,,,46,,,38.0,,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - I
47L-I,U,1,23,20,17520,85980,19,,,23,,,34.0,,47L,LIBRARY - DOWNTOWN VIA OVERBROOK - I
47L-O,W,0,56,20,19260,88860,19,20.3,9.3,56,,,34.0,,47L,LIBRARY - LIBRARY VIA OVERBROOK - O
