stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
P02956,S,1,2,99,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595
P02956,U,1,2,69,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595
P02956,W,1,6,197,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595
P02957,S,0,2,99,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689
P02957,U,0,2,69,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689
P02957,W,0,6,197,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689
P03510,S,1,2,99,SUBWAY AT STEEL PLAZA STATION,40.439814,-79.995081
P03510,U,1,2,69,SUBWAY AT STEEL PLAZA STATION,40.439814,-79.995081
P03510,W,1,6,197,SUBWAY AT STEEL PLAZA STATION,40.439814,-79.995081
P03520,S,0,2,99,SUBWAY AT STEEL PLAZA STATION,40.439807,-79.995172
P03520,U,0,2,69,SUBWAY AT STEEL PLAZA STATION,40.439807,-79.995172
P03520,W,0,6,197,SUBWAY AT STEEL PLAZA STATION,40.439807,-79.995172
P03530,S,1,2,99,SUBWAY AT WOOD ST STATION,40.442166,-79.999602
P03530,U,1,2,69,SUBWAY AT WOOD ST STATION,40.442166,-79.999602
P03530,W,1,6,197,SUBWAY AT WOOD ST STATION,40.442166,-79.999602
P03540,S,0,2,99,SUBWAY AT WOOD ST STATION,40.44213,-79.999645
P03540,U,0,2,69,SUBWAY AT WOOD ST STATION,40.44213,-79.999645
P03540,W,0,6,197,SUBWAY AT WOOD ST STATION,40.44213,-79.999645
P70020,S,0,1,66,WOOD ST STATION BEECHVIEW,40.442066,-79.999402
P70020,S,1,1,66,WOOD ST STATION BEECHVIEW,40.442066,-79.999402
P70020,U,0,1,46,WOOD ST STATION BEECHVIEW,40.442066,-79.999402
P70020,U,1,1,46,WOOD ST STATION BEECHVIEW,40.442066,-79.999402
P70020,W,0,4,98,WOOD ST STATION BEECHVIEW,40.442066,-79.999402
P70020,W,1,4,98,WOOD ST STATION BEECHVIEW,40.442066,-79.999402
P70021,S,0,1,33,WOOD ST STATION OVERBROOK,40.442266,-79.999502
P70021,S,1,1,33,WOOD ST STATION OVERBROOK,40.442266,-79.999502
P70021,U,0,1,23,WOOD ST STATION OVERBROOK,40.442266,-79.999502
P70021,U,1,1,23,WOOD ST STATION OVERBROOK,40.442266,-79.999502
P70021,W,0,2,99,WOOD ST STATION OVERBROOK,40.442266,-79.999502
P70021,W,1,2,99,WOOD ST STATION OVERBROOK,40.442266,-79.999502
S06280,W,1,1,2,BELTZHOOVER AVE AT WARRINGTON FS,40.421419,-79.997428
S06290,W,0,1,2,BELTZHOOVER AVE AT WARRINGTON NS,40.421438,-79.997318
S21700,W,0,1,7,HABERMAN RAMP AT HARWOOD STEPS,40.421565,-80.003714
S21705,W,1,1,7,HABERMAN RAMP OPP HARWOOD STEPS,40.421518,-80.003553
S35470,W,1,1,7,NEW ARLINGTON AVE AT NEWTON FS,40.42648,-79.993255
S35480,W,0,1,7,NEW ARLINGTON AVE OPP NEWTON,40.426356,-79.993126
S35490,W,1,1,7,NEW ARLINGTON AVE AT ROANOKE FS,40.426004,-79.991462
S35500,W,0,1,7,NEW ARLINGTON AVE AT #916,40.427198,-79.994443
S35510,W,1,1,7,NEW ARLINGTON AVE AT #1047,40.423443,-79.989104
S35520,W,0,1,7,NEW ARLINGTON AVE OPP #1047 FS,40.423499,-79.989192
