route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
47S-I,P02956,W,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,47S,SOUTH HILLS VILLAGE - DOWNTOWN VIA OVERBROOK - I
47L-I,P02956,W,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,47L,LIBRARY - DOWNTOWN VIA OVERBROOK - I
42S-IB,P02956,W,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - IB
42S-I,P02956,W,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - I
42C-I,P02956,W,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,42C,CASTLE SHANNON - DOWNTOWN VIA BEECHVIEW - I
052-I,P02956,W,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,052,ALLENTOWN - GATEWAY CENTER VIA ALLENTOWN - I
47L-I,P02956,U,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,47L,LIBRARY - DOWNTOWN VIA OVERBROOK - I
42S-I,P02956,U,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - I
47L-I,P02956,S,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,47L,LIBRARY - DOWNTOWN VIA OVERBROOK - I
42S-I,P02956,S,1,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435245,-79.996595,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - I
47S-O,P02957,W,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,47S,SOUTH HILLS VILLAGE - VIA OVERBROOK - O
47L-O,P02957,W,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,47L,LIBRARY - LIBRARY VIA OVERBROOK - O
42S-OB,P02957,W,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,42S,S HILLS VILLAGE - S HILLS VILLAGE VIA BEECHVIEW - OB
42S-O,P02957,W,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,42S,S HILLS VILLAGE - S HILLS VILLAGE VIA BEECHVIEW - O
42C-O,P02957,W,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,42C,CASTLE SHANNON - CASTLE SHANNON VIA BEECHVIEW - O
052-O,P02957,W,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,052,ALLENTOWN - S HILLS JUNCTION VIA ALLENTOWN - O
47L-O,P02957,U,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,47L,LIBRARY - LIBRARY VIA OVERBROOK - O
42S-O,P02957,U,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,42S,S HILLS VILLAGE - S HILLS VILLAGE VIA BEECHVIEW - O
47L-O,P02957,S,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,47L,LIBRARY - LIBRARY VIA OVERBROOK - O
42S-O,P02957,S,0,,,PRIVATE R/WAY AT FIRST AVENUE STATION,40.435279,-79.996689,42S,S HILLS VILLAGE - S HILLS VILLAGE VIA BEECHVIEW - O
47S-I,P03510,W,1,,,SUBWAY AT STEEL PLAZA STATION,40.439814,-79.995081,47S,SOUTH HILLS VILLAGE - DOWNTOWN VIA OVERBROOK - I
47L-I,P03510,W,1,,,SUBWAY AT STEEL PLAZA STATION,40.439814,-79.995081,47L,LIBRARY - DOWNTOWN VIA OVERBROOK - I
42S-IB,P03510,W,1,,,SUBWAY AT STEEL PLAZA STATION,40.439814,-79.995081,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - IB
42S-I,P03510,W,1,,,SUBWAY AT STEEL PLAZA STATION,40.439814,-79.995081,42S,S HILLS VILLAGE - DOWNTOWN VIA BEECHVIEW - I
42C-I,P03510,W,1,,,SUBWAY AT STEEL PLAZA STATION,40.439814,-79.995081,42C,CASTLE SHANNON - DOWNTOWN VIA BEECHVIEW - I
