route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
11-41,FEB12-BOTH-Saturday-99,0,25,14,21300,65700,12,60.0,2.2,12,15.2,13.2,77.0,918.8318182017543859534,11,25 WAY S &  ROY HANNA DR S/ PSTA TRANSFER FACILITY
11-41,FEB12-BOTH-Saturday-99,1,25,14,21300,65700,12,59.8,1.9,13,18.3,14.9,90.5,876.1191724226804122426,11,25 WAY S &  ROY HANNA DR S/ PSTA TRANSFER FACILITY
1-41,FEB12-BOTH-Saturday-99,0,21,12,26100,66960,11,66.0,15.7,11,24.4,10.6,57.3,995.3817232633279482417,1,GATEWAY MALL/TYRONE SQUARE MALL
1-41,FEB12-BOTH-Saturday-99,1,21,12,26100,66960,11,71.6,10.1,10,21.3,10.3,62.0,891.9775008196721312336,1,GATEWAY MALL/TYRONE SQUARE MALL
14-41,FEB12-BOTH-Saturday-99,0,52,15,20400,71700,14,30.6,2.6,26,16.4,13.0,90.0,769.2776657735522903410,14,WILLIAMS PARK/PALM OF PASADENA HOSPITAL
14-41,FEB12-BOTH-Saturday-99,1,52,15,20400,71700,14,30.6,3.3,26,16.4,12.9,80.0,861.9626277020447907773,14,WILLIAMS PARK/PALM OF PASADENA HOSPITAL
15-41,FEB12-BOTH-Saturday-99,0,29,15,20880,71400,14,60.0,0.0,14,20.1,10.8,67.4,855.4942903225806450237,15,WILLIAMS PARK/GULFPORT CASINO
15-41,FEB12-BOTH-Saturday-99,1,29,15,20880,71400,14,57.5,9.3,15,16.3,10.8,66.6,867.3160116869918698120,15,WILLIAMS PARK/GULFPORT CASINO
18-41,FEB12-BOTH-Saturday-99,0,63,18,18900,81000,17,31.8,7.0,62,17.2,27.6,143.3,1015.9346245254200305645,18,WILLIAMS PARK/PARK STREET TERMIAL
18-41,FEB12-BOTH-Saturday-99,1,63,18,18900,81000,17,15.6,12.2,62,16.1,28.9,141.6,1068.6161352103120761471,18,WILLIAMS PARK/PARK STREET TERMIAL
19-41,FEB12-BOTH-Saturday-99,0,69,18,18600,80400,17,29.1,3.5,35,18.1,36.8,155.7,1255.2894459449473489776,19,ST. PETERSBURG/TARPON SPRINGS
19-41,FEB12-BOTH-Saturday-99,1,69,18,18600,80400,17,29.8,2.6,33,17.6,38.4,147.9,1381.9063490989187023704,19,ST. PETERSBURG/TARPON SPRINGS
20-41,FEB12-BOTH-Saturday-99,0,27,15,19500,69000,14,59.6,1.3,14,19.6,16.1,98.0,875.3200628865979381308,20,25 WAY S & ROY HANNA DR S/TYRONE SQUARE MALL
20-41,FEB12-BOTH-Saturday-99,1,27,15,19500,69000,14,60.0,0.4,13,18.1,16.4,97.5,898.2915261354581673895,20,25 WAY S & ROY HANNA DR S/TYRONE SQUARE MALL
23-41,FEB12-BOTH-Saturday-99,0,49,16,21000,73800,15,31.3,6.4,24,18.3,14.1,93.0,810.8242576086956523023,23,WILLIAMS PARK/TYRONE SQUARE MALL
23-41,FEB12-BOTH-Saturday-99,1,49,16,21000,73800,15,34.9,14.4,25,18.8,14.3,90.2,849.1332462331838566582,23,WILLIAMS PARK/TYRONE SQUARE MALL
30-41,FEB12-BOTH-Saturday-99,0,12,8,24000,68100,12,59.7,0.5,6,17.7,8.3,46.0,975.8933488888888889618,30,NORTHEAST SHOPPING CTR/TYRONE SQUARE MALL
30-41,FEB12-BOTH-Saturday-99,1,12,8,24000,68100,12,60.0,0.0,6,22.7,9.1,45.0,1088.5761454545454544858,30,NORTHEAST SHOPPING CTR/TYRONE SQUARE MALL
32-41,FEB12-BOTH-Saturday-99,0,14,10,32100,61200,8,17.9,12.4,28,10.4,5.1,30.0,0.00000000000000000000000,32,ST. PETERSBURG CIRCULATOR
35-41,FEB12-BOTH-Saturday-99,0,73,18,22200,86100,18,17.0,6.7,63,13.8,11.2,55.1,1067.7474649803536344706,CAT,ST. PETERSBURG PIER/PASS-A-GRILLE BEACH
35-41,FEB12-BOTH-Saturday-99,1,73,18,22200,86100,18,29.1,7.6,36,15.8,11.0,51.1,1157.1220801442041043278,CAT,ST. PETERSBURG PIER/PASS-A-GRILLE BEACH
355-41,FEB12-BOTH-Saturday-99,0,70,18,23400,84900,17,29.0,6.6,35,15.9,5.0,28.0,906.3580222222222220764,CAT,75TH GULF BLVD / ST.PETE BEACH
355-41,FEB12-BOTH-Saturday-99,1,70,18,23400,84900,17,29.2,5.7,35,16.8,4.9,29.3,921.2082609706774520042,CAT,75TH GULF BLVD / ST.PETE BEACH
38-41,FEB12-BOTH-Saturday-99,0,31,15,21600,74700,15,56.0,10.0,32,21.6,14.1,75.0,994.4667253333333334427,38,WILLIAMS PARK/TYRONE SQUARE MALL
38-41,FEB12-BOTH-Saturday-99,1,31,15,21600,74700,15,57.7,5.9,15,20.4,14.8,82.6,958.1798624999999999421,38,WILLIAMS PARK/TYRONE SQUARE MALL
4-41,FEB12-BOTH-Saturday-99,0,70,18,18900,81900,18,15.6,8.4,67,16.8,19.9,118.6,581.2226634252873562351,4,ROY HANNA DR S/GOODWILL/116 AVE/WILLIAMS PARK
4-41,FEB12-BOTH-Saturday-99,1,70,18,18900,81900,18,30.1,2.6,34,18.7,15.9,106.6,793.0225451657843410812,4,ROY HANNA DR S/GOODWILL/116 AVE/WILLIAMS PARK
52-41,FEB12-BOTH-Saturday-99,0,35,17,18000,79080,17,56.3,10.2,18,18.8,28.9,159.8,961.3891178384050365743,52,WILLIAMS PARK/PARK STREET TERMIAL
52-41,FEB12-BOTH-Saturday-99,1,35,17,18000,79080,17,60.0,9.1,17,17.5,29.9,160.5,988.9676822271386430843,52,WILLIAMS PARK/PARK STREET TERMIAL
5-41,FEB12-BOTH-Saturday-99,0,28,15,22500,73500,14,60.0,4.0,14,17.4,13.6,74.0,985.4955424657534246036,5,WILLIAMS PARK/TYRONE SQUARE MALL
5-41,FEB12-BOTH-Saturday-99,1,28,15,22500,73500,14,61.5,5.5,14,17.0,12.3,71.0,928.9870271428571427634,5,WILLIAMS PARK/TYRONE SQUARE MALL
59-41,FEB12-BOTH-Saturday-99,0,31,18,20700,79200,16,31.2,26.9,29,20.3,27.8,120.9,1195.8927771319934816681,59,WILLIAMS PARK/INDIAN ROCKS BEACH
59-41,FEB12-BOTH-Saturday-99,1,31,18,20700,79200,16,61.3,7.6,16,18.6,25.2,109.5,1226.2567402073732719650,59,WILLIAMS PARK/INDIAN ROCKS BEACH
60-41,FEB12-BOTH-Saturday-99,0,31,17,18000,77940,17,16.4,8.5,59,17.2,13.9,68.5,52.3565193488372094473,60,PARK STREET TERMINAL /MULLEN BOOTH FRONTAGE RD
61-41,FEB12-BOTH-Saturday-99,0,28,16,19500,72900,15,59.3,3.9,14,14.5,18.8,117.0,856.3713048029556648824,61,INDIAN ROCKS SHOPPING CTR/DOWNTOWN DUNEDIN
61-41,FEB12-BOTH-Saturday-99,1,28,16,19500,72900,15,58.4,5.1,14,15.5,20.5,134.1,814.6156217811158797720,61,INDIAN ROCKS SHOPPING CTR/DOWNTOWN DUNEDIN
62-41,FEB12-BOTH-Saturday-99,0,16,14,24000,70200,13,60.0,0.0,8,22.9,32.5,133.5,1295.2211792452830188184,62,TYRONE SQUARE MALL/SHOPPES OF BOOT RANCH
62-41,FEB12-BOTH-Saturday-99,1,16,14,24000,70200,13,60.0,0.0,8,22.3,30.7,128.5,1272.3817716666666666345,62,TYRONE SQUARE MALL/SHOPPES OF BOOT RANCH
66-41,FEB12-BOTH-Saturday-99,0,27,15,18600,71400,15,59.5,1.4,13,18.8,32.9,174.4,1001.6728513309671693612,66,INDIAN ROCKS SHOPPING CTR/TARPON SPRINGS
66-41,FEB12-BOTH-Saturday-99,1,27,15,18600,71400,15,60.0,0.0,14,17.5,33.4,194.0,914.9400000000000000612,66,INDIAN ROCKS SHOPPING CTR/TARPON SPRINGS
67-41,FEB12-BOTH-Saturday-99,0,25,13,21600,67500,13,60.0,0.0,12,23.0,17.3,82.0,1124.4543959876543209593,67,PARK STREET TERMINAL/DOWNTOWN OLDSMAR
67-41,FEB12-BOTH-Saturday-99,1,25,13,21600,67500,13,60.2,0.8,13,24.7,20.2,93.0,1160.5931228260869565788,67,PARK STREET TERMINAL/DOWNTOWN OLDSMAR
68-41,FEB12-BOTH-Saturday-99,0,33,17,21600,81900,17,61.3,5.2,16,22.8,8.2,32.9,1353.9554733333333334234,68,TYRONE SQUARE MALL/JOHN'S PASS VILLAGE
68-41,FEB12-BOTH-Saturday-99,1,33,17,21600,81900,17,61.5,5.1,17,21.5,8.3,31.0,1460.9636800000000000000,68,TYRONE SQUARE MALL/JOHN'S PASS VILLAGE
