stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1002,FEB12-BOTH-Saturday-99,1,1,16,GRAND CENTRAL STATION - B,27.770533,-82.676651
1003,FEB12-BOTH-Saturday-99,1,1,15,GRAND CENTRAL STATION - C,27.770443,-82.676591
1004,FEB12-BOTH-Saturday-99,1,1,14,GRAND CENTRAL STATION - D,27.770315,-82.676635
1007,FEB12-BOTH-Saturday-99,0,2,28,GRAND CENTRAL STATION - G,27.770263,-82.676953
1008,FEB12-BOTH-Saturday-99,0,2,57,GRAND CENTRAL STATION - H,27.770435,-82.677148
1011,FEB12-BOTH-Saturday-99,1,1,31,GRAND CENTRAL STATION - K,27.770808,-82.677128
1012,FEB12-BOTH-Saturday-99,1,3,32,GRAND CENTRAL STATION - L,27.770856,-82.676956
1018,FEB12-BOTH-Saturday-99,1,2,37,CENTRAL AVE & 64TH ST S,27.770803,-82.723991
1019,FEB12-BOTH-Saturday-99,1,2,37,CENTRAL AVE & PASADENA AVE S,27.770775,-82.731079
1020,FEB12-BOTH-Saturday-99,1,2,37,CENTRAL AVE & 62ND ST S,27.770809,-82.719978
1029,FEB12-BOTH-Saturday-99,1,4,67,CENTRAL AVE & 38TH ST S,27.770891,-82.685043
1032,FEB12-BOTH-Saturday-99,1,3,53,CENTRAL AVE & 49TH ST S,27.770872,-82.699295
1033,FEB12-BOTH-Saturday-99,1,2,37,CENTRAL AVE & 54TH ST S,27.770847,-82.707329
1037,FEB12-BOTH-Saturday-99,1,2,37,CENTRAL AVE & 60TH ST S,27.770824,-82.715836
1040,FEB12-BOTH-Saturday-99,0,2,37,CENTRAL AVE & 66TH ST N,27.770914,-82.728752
1053,FEB12-BOTH-Saturday-99,0,2,37,CENTRAL AVE & 58TH ST N,27.770956,-82.71196
1059,FEB12-BOTH-Saturday-99,1,6,95,CENTRAL AVE & 35TH ST S,27.770878,-82.680908
1061,FEB12-BOTH-Saturday-99,0,2,37,CENTRAL AVE & 64TH ST N,27.770914,-82.724609
1065,FEB12-BOTH-Saturday-99,0,2,37,CENTRAL AVE & 53RD ST N,27.770979,-82.705177
1067,FEB12-BOTH-Saturday-99,1,2,50,CENTRAL AVE & 28TH ST S,27.770918,-82.670769
1070,FEB12-BOTH-Saturday-99,0,1,14,31ST ST N & 2ND AVE N,27.772585,-82.675407
1072,FEB12-BOTH-Saturday-99,0,3,53,CENTRAL AVE & 49TH ST N,27.771004,-82.699516
