route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
3139,13,0,73,23,14940,93660,22,34.8,11.2,37,19.2,17.9,52.3,1843.3016021613073274638,101,Rainbow
3139,13,1,73,23,14940,93660,22,36.0,11.0,36,18.2,14.1,42.0,1821.1870707317073171692,101,Rainbow
3140,13,0,66,20,18120,88860,20,35.6,10.8,33,16.6,13.5,45.8,1593.7324306495263870148,102,Jones
3140,13,1,66,20,18120,88860,20,34.2,10.5,33,16.9,12.9,43.7,1593.7890312765957445901,102,Jones
3141,13,0,90,26,5640,94440,25,29.6,7.5,45,16.6,18.5,58.1,1710.8188515953307393877,103,Decatur
3141,13,1,90,26,5640,94440,25,29.5,9.0,45,16.8,17.9,58.0,1658.8701436207569253365,103,Decatur
3142,13,0,63,22,17040,90720,20,37.1,11.3,32,18.1,21.2,67.0,1685.0619454545454544858,104,Valley View/Torrey Pines
3142,13,1,63,22,17040,90720,20,35.4,8.1,31,18.1,20.3,62.0,1756.0951851322751322977,104,Valley View/Torrey Pines
3143,13,0,75,23,15120,94800,22,35.3,8.9,37,18.9,11.6,38.5,1638.9420572458543620673,105,Martin L. King
3143,13,1,75,23,15120,94800,22,35.1,8.9,38,18.3,12.2,36.8,1794.2347385011021309465,105,Martin L. King
3145,13,0,152,26,4920,96420,25,18.7,10.0,76,15.8,13.6,34.0,2170.7294848484848486141,109,Maryland
3145,13,1,152,26,4920,96420,25,18.5,7.4,76,15.4,13.0,29.0,2451.2819714285714286183,109,Maryland
3146,13,0,104,26,5520,95280,25,27.4,9.7,51,16.6,18.5,63.0,1579.1426021505376344692,110,Eastern
3146,13,1,104,26,5520,95280,25,26.5,8.8,53,16.1,23.1,72.5,1545.5558784903668514222,110,Eastern
3147,13,0,74,21,15600,89580,21,32.5,9.8,36,17.5,24.7,76.0,1630.7498057756386524020,111,Green Valley/Pecos
3147,13,1,74,21,15600,89580,21,31.5,10.6,38,16.9,21.0,68.3,1646.0591016810007817595,111,Green Valley/Pecos
3148,13,0,94,25,4440,92220,24,30.4,7.3,47,16.8,10.3,27.0,2080.9237730769230768726,113,Las Vegas Blvd North
3148,13,1,94,25,4440,92220,24,30.4,6.2,47,16.5,9.7,27.0,1960.7760769230769231274,113,Las Vegas Blvd North
3149,13,0,94,26,10260,97320,24,29.8,8.6,47,17.9,16.6,53.2,1680.4161593317033415103,115,Nellis/Stephanie
3149,13,1,94,26,10260,97320,24,30.0,8.4,47,18.2,18.5,61.0,1482.9477989365473236434,115,Nellis/Stephanie
3150,13,0,69,22,17280,90720,20,35.1,9.0,34,18.7,11.1,33.0,1838.5596156250000000000,117,Las Vegas Blvd. South/Silverado
3150,13,1,69,22,17280,90720,20,34.9,9.3,35,20.3,11.2,33.6,1806.8616659649122806039,117,Las Vegas Blvd. South/Silverado
3151,13,0,52,22,17640,90960,20,46.7,14.4,26,17.7,19.5,53.8,1947.6594718658892129026,119,Simmons/Koval
3151,13,1,52,22,17640,90960,20,42.0,13.0,26,17.8,19.8,52.7,2015.1645671875000000000,119,Simmons/Koval
3152,13,0,124,26,7320,100440,26,22.6,7.7,62,17.7,22.1,61.7,1681.3092784329349268316,201,Tropicana
3152,13,1,124,26,7320,100440,26,21.4,4.1,62,16.6,18.5,53.1,1879.4061673684210527230,201,Tropicana
3153,13,0,142,26,6480,93960,24,20.1,8.6,70,15.4,17.5,51.2,1840.8624745086869836128,202,Flamingo
3153,13,1,142,26,6480,93960,24,19.7,8.6,72,15.4,18.3,55.4,1778.1768061510974988116,202,Flamingo
3154,13,0,100,23,15600,93600,22,25.5,10.6,50,16.7,26.5,82.9,1703.5204446262823644699,203,Spring Mountain/Twain
3154,13,1,100,23,15600,93600,22,25.0,11.3,50,17.0,29.2,86.4,1799.8251910346441948352,203,Spring Mountain/Twain
3156,13,0,119,26,7380,97920,25,23.0,11.1,61,14.9,16.6,54.9,1610.0544708101422386252,206,Charleston
3156,13,1,119,26,7380,97920,25,23.6,10.5,59,14.7,20.6,61.8,1783.2142667595430482459,206,Charleston
3157,13,0,83,25,4860,92640,24,34.4,9.1,41,18.5,19.4,56.6,1842.5904608333333334427,210,Lake Mead
3157,13,1,83,25,4860,92640,24,35.0,9.2,42,19.0,21.5,63.5,1723.8367752856054835938,210,Lake Mead
3159,13,0,22,12,16140,67620,14,59.2,1.0,11,21.0,15.6,42.8,1447.7704936956521740129,212,Sunset
3159,13,1,22,12,16140,67620,14,57.6,5.8,11,20.9,12.9,34.0,2054.4627757575757575857,212,Sunset
3161,13,0,34,21,20280,91080,20,59.6,0.7,20,17.4,15.3,49.0,-3.24682291666666666665573,214,H Street/D Street
3161,13,1,34,21,20280,91080,20,59.4,1.3,14,15.1,12.3,38.1,88.2595321772639691443,214,H Street/D Street
3162,13,0,43,20,18840,86940,19,56.6,7.0,21,18.9,21.6,59.7,1938.2430268668831168959,217,Warm Springs/Downtown Henderson
3162,13,1,43,20,18840,86940,19,56.9,7.0,20,21.5,24.2,61.0,2129.7410952272727272429,217,Warm Springs/Downtown Henderson
3163,13,0,58,22,17040,90360,20,41.2,10.8,30,20.5,17.5,54.7,1721.2445551488833746768,218,Cheyenne
3163,13,1,58,22,17040,90360,20,41.8,9.8,28,20.1,19.0,50.0,1885.3496469387755103380,218,Cheyenne
3164,13,0,67,21,17100,88200,20,35.3,11.3,34,21.3,13.3,38.7,1861.0293030444964872516,219,Craig Rd
