stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10,13,1,1,13,D @ Madison (N),36.184299,-115.146999
100,13,1,1,15,Alta @ Vassar (W),36.166539,-115.239959
1000,13,0,1,70,Flamingo @ Wynn (E),36.115359,-115.193619
1001,13,1,1,72,Flamingo @ Wynn (W),36.115719,-115.195259
101,13,0,1,14,Alta @ Vassar (E),36.16635,-115.240179
1011,13,1,1,56,Fremont @ 15th (S),36.164466,-115.12978
1014,13,1,1,56,Fremont @ 8th (S),36.167587,-115.136961
1015,13,0,1,56,Fremont @ 9th (W),36.1675,-115.136349
1017,13,0,1,56,Fremont @ Lowes Home Imp (N),36.155329,-115.111948
102,13,1,1,15,Alta @ 7800 Alta (W),36.166609,-115.265078
1020,13,1,1,56,Fremont @ Bruce (S),36.162179,-115.124508
1021,13,0,1,56,Fremont @ Bruce (N),36.16284,-115.125469
1024,13,0,1,56,Fremont @ Eastern (N),36.160138,-115.119198
1025,13,1,1,56,Fremont @ Maryland (S),36.16555,-115.132308
1026,13,0,1,56,Fremont @ Maryland (N),36.1661,-115.1331
103,13,1,1,22,American Pacific @ Gallagher Crest (W),36.04166,-115.038339
1031,13,0,2,88,Fremont @ Sahara (N),36.146234,-115.101723
1033,13,0,1,56,Fremont @ St Louis (N),36.149189,-115.10501
1034,13,1,1,56,Fremont @ St Louis (S),36.148179,-115.10464
1035,13,0,1,16,Sky Pointe @ Eagle Crest (N),36.26803,-115.257348
1036,13,1,1,17,Gibson @ 260 Gibson (W),36.048299,-115.02888
1037,13,0,1,18,Gibson @ 260 Gibson (E),36.047669,-115.029258
1038,13,1,1,17,Gibson @ American Pacific (W),36.042729,-115.029088
1039,13,1,1,17,Gibson @ Auto Show (W),36.045739,-115.02898
1040,13,0,1,18,Gibson @ Auto Show (E),36.044669,-115.029378
1041,13,1,1,17,Gibson @ Villa Serena (W),36.051159,-115.028749
1042,13,0,1,18,Gibson @ Villa Serena (E),36.050649,-115.029139
1045,13,0,1,31,Gowan @ Rio Robles (E),36.224998,-115.102039
1046,13,1,1,50,Grand Canyon @ Desert Inn (N),36.130452,-115.306145
1047,13,1,1,50,Grand Canyon @ Great Bend (W),36.132239,-115.30645
1048,13,1,1,50,Grand Canyon @ Mariner Cove (N),36.136599,-115.305815
1049,13,1,1,50,Grand Canyon @ Lake North (W),36.140328,-115.30606
1056,13,1,1,22,Green Valley @ High View (S),36.066608,-115.08259
1057,13,1,1,22,Green Valley @ La Mancha (S),36.058579,-115.085078
1059,13,1,1,22,Green Valley @ La Mesa (S),36.063299,-115.084319
106,13,1,1,22,American Pacific @ Ocean Spray (W),36.041618,-115.043739
1063,13,1,1,22,Green Valley @ Lone Pine (S),36.060159,-115.085159
1064,13,1,1,22,Green Valley @ Pacific Island (S),36.051589,-115.082658
1066,13,1,1,22,Green Valley @ Robindale (S),36.048559,-115.08259
1068,13,1,1,22,Green Valley @ Sunset (S),36.070349,-115.082598
1069,13,1,1,22,Green Valley @ Warm Springs (S),36.05591,-115.084089
1078,13,0,1,63,Harmon @ Boulder (E),36.108748,-115.05807
1078,13,1,1,69,Harmon @ Boulder (E),36.108748,-115.05807
1094,13,1,1,69,Harmon @ Jimmy Durante (W),36.11028,-115.052089
1096,13,1,1,16,Harmon @ Maryland (E),36.107639,-115.136289
11,13,1,1,14,D @ Monroe (S),36.184607,-115.147156
1118,13,0,1,38,Hillpointe @ Glenside (E),36.198199,-115.290369
1119,13,0,1,38,Hillpointe @ Hills Center (E),36.198109,-115.300038
1120,13,0,1,38,Hillpointe @ Pinewood Hills (E),36.199261,-115.294912
1121,13,1,1,36,Hills Center @ Hillpointe (S),36.197819,-115.30071
1123,13,1,1,36,Hills Center @ Lake Mead (S),36.205558,-115.300018
1126,13,1,1,18,Owens @ Lamb (W),36.188629,-115.0806
1127,13,1,1,30,Washington @ D (W),36.181,-115.147459
1133,13,1,1,19,Horizon @ Arrowhead (W),36.012819,-114.959649
1136,13,0,2,42,Horizon @ College (E),36.012508,-114.961958
1136,13,1,1,9,Horizon @ College (E),36.012508,-114.961958
1137,13,1,2,21,Horizon @ College (W),36.012819,-114.964139
1139,13,1,1,17,Horizon @ Greenway (W),36.012719,-114.977168
114,13,0,1,19,Arizona @ California (W),35.978319,-114.83457
1140,13,1,1,17,Horizon @ Mona (W),36.012739,-114.968158
1143,13,1,1,17,Horizon @ Sierra (W),36.012719,-114.973528
1145,13,1,1,17,Horizon @ Skyline (W),36.012699,-114.981469
1168,13,0,1,33,Jones @ Alfred (N),36.207719,-115.22431
1169,13,0,1,33,Jones @ Alta (N),36.16686,-115.223689
1170,13,1,1,33,Jones @ Alta (S),36.165948,-115.223908
1171,13,0,1,33,Jones @ Carl (N),36.192458,-115.223868
1172,13,1,1,33,Jones @ Carl (S),36.191739,-115.224158
1173,13,0,1,33,Jones @ Carmen (N),36.185019,-115.223848
1174,13,1,1,33,Jones @ Carmen (S),36.184248,-115.224079
1175,13,1,1,33,Jones @ Cartier (S),36.20574,-115.224278
1176,13,0,1,33,Jones @ Charleston (N),36.160528,-115.2238
1177,13,1,1,33,Jones @ Charleston (S),36.158618,-115.224109
1178,13,0,1,33,Jones @ Chelsea (N),36.17579,-115.223928
1179,13,1,1,33,Jones @ Cheyenne (S),36.21631,-115.22589
1180,13,0,1,33,Jones @ Churchfield (N),36.105919,-115.224839
1181,13,1,1,33,Jones @ Churchfield (S),36.104899,-115.225169
1182,13,0,1,33,Jones @ Palmyra (N),36.133665,-115.22485
1183,13,1,1,33,Jones @ Dayton (S),36.16935,-115.224049
1184,13,1,1,33,Jones @ Denver (S),36.17624,-115.224198
1185,13,0,1,33,Jones @ Desert Inn (N),36.129911,-115.224801
1186,13,1,1,33,Jones @ Desert Inn (S),36.128238,-115.225149
1187,13,1,1,33,Jones @ Edna (S),36.135728,-115.225289
1188,13,1,1,33,Jones @ Eldora (S),36.139379,-115.225368
1189,13,1,1,33,Jones @ Elton (S),36.1716,-115.22419
1190,13,0,1,33,Jones @ Eugene (N),36.198979,-115.223709
1191,13,1,1,33,Jones @ Eugene (S),36.198059,-115.223999
1192,13,0,1,33,Jones @ Evergreen (N),36.16362,-115.223748
1193,13,1,1,33,Jones @ Evergreen (S),36.16237,-115.223988
1194,13,0,1,33,Jones @ Fairwood (N),36.17111,-115.22392
1195,13,0,1,33,Jones @ Flamingo (N),36.11549,-115.224748
1196,13,1,1,33,Jones @ Flamingo (S),36.113858,-115.22507
1198,13,0,1,33,Jones @ Granada (N),36.17893,-115.22382
1199,13,1,1,33,Jones @ Gunderson (S),36.109689,-115.225118
