route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
3161,10,13,1,59.6,0.6,D @ Madison (N),36.184299,-115.146999,214,H Street/D Street
3177,100,13,1,58.7,2.1,Alta @ Vassar (W),36.166539,-115.239959,207,Alta/Stewart
3153,1000,13,0,20.1,8.6,Flamingo @ Wynn (E),36.115359,-115.193619,202,Flamingo
3153,1001,13,1,19.7,8.6,Flamingo @ Wynn (W),36.115719,-115.195259,202,Flamingo
3177,101,13,0,59.1,1.5,Alta @ Vassar (E),36.16635,-115.240179,207,Alta/Stewart
3170,1011,13,1,25.4,8.4,Fremont @ 15th (S),36.164466,-115.12978,BHX,Boulder Highway Express
3170,1014,13,1,25.4,8.4,Fremont @ 8th (S),36.167587,-115.136961,BHX,Boulder Highway Express
3170,1015,13,0,25.3,8.3,Fremont @ 9th (W),36.1675,-115.136349,BHX,Boulder Highway Express
3170,1017,13,0,25.3,8.2,Fremont @ Lowes Home Imp (N),36.155329,-115.111948,BHX,Boulder Highway Express
3177,102,13,1,58.7,2.1,Alta @ 7800 Alta (W),36.166609,-115.265078,207,Alta/Stewart
3170,1020,13,1,25.4,8.4,Fremont @ Bruce (S),36.162179,-115.124508,BHX,Boulder Highway Express
3170,1021,13,0,25.3,8.3,Fremont @ Bruce (N),36.16284,-115.125469,BHX,Boulder Highway Express
3170,1024,13,0,25.4,8.3,Fremont @ Eastern (N),36.160138,-115.119198,BHX,Boulder Highway Express
3170,1025,13,1,25.4,8.4,Fremont @ Maryland (S),36.16555,-115.132308,BHX,Boulder Highway Express
3170,1026,13,0,25.3,8.3,Fremont @ Maryland (N),36.1661,-115.1331,BHX,Boulder Highway Express
3149,103,13,1,50.4,8.9,American Pacific @ Gallagher Crest (W),36.04166,-115.038339,115,Nellis/Stephanie
3170,1031,13,0,25.4,8.2,Fremont @ Sahara (N),36.146234,-115.101723,BHX,Boulder Highway Express
3174,1031,13,0,33.2,8.9,Fremont @ Sahara (N),36.146234,-115.101723,HDX,Henderson & Downtown Express
3170,1033,13,0,25.3,8.2,Fremont @ St Louis (N),36.149189,-115.10501,BHX,Boulder Highway Express
3170,1034,13,1,25.4,8.4,Fremont @ St Louis (S),36.148179,-115.10464,BHX,Boulder Highway Express
3175,1035,13,0,57.0,8.0,Sky Pointe @ Eagle Crest (N),36.26803,-115.257348,106,Rancho/Centennial Hills
3162,1036,13,1,59.4,1.2,Gibson @ 260 Gibson (W),36.048299,-115.02888,217,Warm Springs/Downtown Henderson
3162,1037,13,0,59.4,0.9,Gibson @ 260 Gibson (E),36.047669,-115.029258,217,Warm Springs/Downtown Henderson
3162,1038,13,1,59.5,1.0,Gibson @ American Pacific (W),36.042729,-115.029088,217,Warm Springs/Downtown Henderson
3162,1039,13,1,59.4,1.2,Gibson @ Auto Show (W),36.045739,-115.02898,217,Warm Springs/Downtown Henderson
3162,1040,13,0,59.4,0.9,Gibson @ Auto Show (E),36.044669,-115.029378,217,Warm Springs/Downtown Henderson
3162,1041,13,1,59.4,1.2,Gibson @ Villa Serena (W),36.051159,-115.028749,217,Warm Springs/Downtown Henderson
3162,1042,13,0,59.4,0.9,Gibson @ Villa Serena (E),36.050649,-115.029139,217,Warm Springs/Downtown Henderson
3147,1045,13,0,31.2,8.2,Gowan @ Rio Robles (E),36.224998,-115.102039,111,Green Valley/Pecos
3154,1046,13,1,25.0,11.3,Grand Canyon @ Desert Inn (N),36.130452,-115.306145,203,Spring Mountain/Twain
3154,1047,13,1,25.0,11.3,Grand Canyon @ Great Bend (W),36.132239,-115.30645,203,Spring Mountain/Twain
3154,1048,13,1,25.0,11.3,Grand Canyon @ Mariner Cove (N),36.136599,-115.305815,203,Spring Mountain/Twain
3154,1049,13,1,25.0,11.3,Grand Canyon @ Lake North (W),36.140328,-115.30606,203,Spring Mountain/Twain
3147,1056,13,1,54.0,6.7,Green Valley @ High View (S),36.066608,-115.08259,111,Green Valley/Pecos
3147,1057,13,1,54.0,6.7,Green Valley @ La Mancha (S),36.058579,-115.085078,111,Green Valley/Pecos
3147,1059,13,1,54.0,6.7,Green Valley @ La Mesa (S),36.063299,-115.084319,111,Green Valley/Pecos
3149,106,13,1,50.4,8.9,American Pacific @ Ocean Spray (W),36.041618,-115.043739,115,Nellis/Stephanie
3147,1063,13,1,54.0,6.7,Green Valley @ Lone Pine (S),36.060159,-115.085159,111,Green Valley/Pecos
3147,1064,13,1,54.1,6.8,Green Valley @ Pacific Island (S),36.051589,-115.082658,111,Green Valley/Pecos
3147,1066,13,1,54.1,6.8,Green Valley @ Robindale (S),36.048559,-115.08259,111,Green Valley/Pecos
