route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
0,SA,0,158,25,7980,96840,25,17.2,7.4,79,16.9,16.5,59.9,1475.4283982806791316343,0,South Broadway
0,SA,1,158,25,7980,96840,25,17.0,5.5,79,16.8,15.9,60.6,1400.0261755201698512247,0,South Broadway
1,SA,0,36,19,18420,84120,18,59.9,0.8,18,16.0,17.7,72.0,1308.2964394366197182313,1,West 1st Avenue
1,SA,1,36,19,18420,84120,18,59.3,2.5,18,16.4,19.1,76.0,1322.6542186666666665573,1,West 1st Avenue
10,SA,0,70,20,20640,86760,18,30.6,3.9,35,16.0,13.0,58.8,1180.4188151260504201512,10,East 12th Avenue
10,SA,1,70,20,20640,86760,18,30.1,0.7,35,17.7,13.8,54.9,1186.5446692838196284836,10,East 12th Avenue
100,SA,0,22,12,27120,67800,11,59.8,0.7,11,26.1,34.9,107.0,1738.0478443396226414661,100,Kipling Street
100,SA,1,22,12,27120,67800,11,61.1,5.0,11,26.9,31.5,94.6,1774.9407269902912622283,100,Kipling Street
105,SA,0,74,22,17880,92640,21,31.4,7.1,37,19.9,18.4,67.0,1475.3513621212121213712,105,Havana Street
105,SA,1,74,22,17880,92640,21,31.5,7.0,37,21.4,19.4,70.0,1481.7138652173913042765,105,Havana Street
11,SA,0,54,20,19320,87120,19,39.8,13.9,27,17.8,28.3,118.7,1259.6310133689839572755,11,Mississippi Avenue
11,SA,1,54,20,19320,87120,19,39.0,13.8,27,18.0,26.3,114.3,1226.4675199803793329353,11,Mississippi Avenue
112,SA,0,24,13,28980,72000,12,59.9,0.3,12,27.6,12.3,38.0,1753.9959972972972973239,112,West 112th Avenue
112,SA,1,24,13,28980,72000,12,60.0,0.0,12,27.6,12.3,40.0,1649.0221871794871793694,112,West 112th Avenue
12,SA,0,60,22,16140,90300,21,38.2,13.3,29,19.3,32.0,111.0,1533.4797454545454544858,12,Downing Street
12,SA,1,60,22,16140,90300,21,37.1,12.3,31,18.9,32.1,115.0,1467.7064228070175438136,12,Downing Street
120X,SA,0,45,15,26400,85500,16,36.1,12.0,22,47.2,15.7,3.0,41474.457343181817287,120X,Wagon Road / Thornton Express
120X,SA,1,45,15,26400,85500,16,36.1,12.0,23,43.8,16.1,6.0,16935.4435495652173914470,120X,Wagon Road / Thornton Express
121,SA,0,75,20,19320,89040,19,30.8,5.0,37,25.1,16.0,62.0,1385.5716786885245902231,121,Peoria Street
121,SA,1,75,20,19320,89040,19,30.0,0.5,38,23.9,16.0,61.0,1405.9631833333333334427,121,Peoria Street
130,SA,0,61,18,15720,78720,18,34.1,10.3,31,26.9,12.1,38.0,1717.1778567567567568543,130,Yale / Buckley
130,SA,1,61,18,15720,78720,18,33.1,9.2,30,29.0,12.1,38.0,1721.9486081081081080283,130,Yale / Buckley
133,SA,0,58,18,18600,80640,17,34.2,10.6,29,30.9,14.9,45.0,1789.2858931818181817287,133,Hampden/Tower
133,SA,1,58,18,18600,80640,17,34.2,10.6,29,27.9,14.9,45.0,1779.3757818181818182713,133,Hampden/Tower
135,SA,0,34,18,19500,81720,17,59.9,0.2,17,28.6,13.8,33.0,2260.7320375000000000000,135,Smoky Hill Road
135,SA,1,34,18,19500,81720,17,59.9,0.2,17,27.3,13.6,33.0,2208.6769218750000000000,135,Smoky Hill Road
139,SA,0,28,16,21300,72720,14,60.0,0.8,14,27.9,13.5,41.0,1780.8857875000000000000,139,Quincy Avenue
139,SA,1,28,16,21300,72720,14,59.9,0.8,14,26.7,13.2,44.0,1614.2291093023255814335,139,Quincy Avenue
