stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10008,SA,0,1,16,W 100th Ave & Ura Ln,39.877913,-105.011188
10009,SA,1,1,16,W 100th Ave & Ura Ln,39.878006,-105.011309
10013,SA,0,1,26,100th Ave & York St,39.877727,-104.958489
10016,SA,0,1,16,W 104th Ave & Croke Dr,39.885319,-105.000391
10019,SA,0,1,29,W 104th Ave & Huron St,39.88505,-104.996082
10019,SA,1,1,27,W 104th Ave & Huron St,39.88505,-104.996082
10021,SA,1,1,16,W 104th Ave & Livingston Dr,39.885038,-105.002857
10022,SA,0,1,16,W 104th Ave & Livingston Dr,39.885307,-105.003771
10023,SA,0,1,29,W 104th Ave & Melody Dr,39.88504,-104.992627
10023,SA,1,2,58,W 104th Ave & Melody Dr,39.88504,-104.992627
10025,SA,0,1,16,W 104th Ave & Quivas St,39.885344,-105.006939
10028,SA,0,1,16,W 106th Ave & Huron St,39.888627,-104.994739
10028,SA,1,3,60,W 106th Ave & Huron St,39.888627,-104.994739
10030,SA,0,1,12,W 10th Ave & Allison St,39.732929,-105.085499
10033,SA,1,1,11,W 10th Ave & Balsam St,39.732989,-105.089003
10038,SA,1,1,11,W 10th Ave & Decatur St,39.733039,-105.022107
10039,SA,0,1,12,W 10th Ave & Depew St,39.733,-105.057679
10044,SA,0,1,12,W 10th Ave & Federal Blvd,39.732946,-105.024758
10047,SA,0,1,12,W 10th Ave & Flower St,39.732813,-105.099179
10048,SA,0,1,12,W 10th Ave & Gray St,39.733052,-105.061044
10050,SA,0,1,12,W 10th Ave & Hooker St,39.732913,-105.028345
10057,SA,0,1,12,W 10th Ave & Kendall St,39.733051,-105.065219
10060,SA,0,1,12,W 10th Ave & Julian St,39.732914,-105.030539
10061,SA,1,1,11,W 10th Ave & Knox Ct,39.732994,-105.032475
10062,SA,0,1,22,E 10th Ave & Leyden St,39.731631,-104.914705
10067,SA,1,1,11,W 10th Ave & Meade St,39.733018,-105.035629
10068,SA,0,1,22,E 10th Ave & Monaco Pkwy,39.731643,-104.912577
10069,SA,1,1,22,E 10th Ave & Monaco Pkwy,39.731712,-104.912685
10071,SA,1,1,11,W 10th Ave & Perry St,39.733045,-105.039675
10072,SA,0,1,12,W 10th Ave & Pierce St,39.733081,-105.072247
10073,SA,1,1,11,W 10th Ave & Raleigh St,39.733078,-105.042204
10074,SA,1,1,11,W 10th Ave & Teller St,39.733069,-105.0763
10076,SA,0,1,12,W 10th Ave & Sheridan Blvd,39.733072,-105.052504
10077,SA,0,1,12,W 10th Ave & Stuart St,39.732976,-105.042225
10078,SA,0,1,12,W 10th Ave & Teller St,39.73299,-105.076477
10080,SA,0,1,12,W 10th Ave & Wadsworth Blvd,39.732909,-105.080126
10081,SA,1,1,11,W 10th Ave & Winona Ct,39.733125,-105.047719
10084,SA,1,1,11,W 10th Ave & Xavier St,39.733152,-105.050763
10090,SA,0,1,21,W 112th Ave & Federal Blvd,39.899746,-105.025765
10090,SA,1,1,12,W 112th Ave & Federal Blvd,39.899746,-105.025765
10091,SA,0,1,12,W 112th Ave & Federal Blvd,39.899515,-105.027084
10091,SA,1,1,20,W 112th Ave & Federal Blvd,39.899515,-105.027084
10094,SA,0,1,12,W 112th Ave & Sheridan Blvd,39.899623,-105.051659
10095,SA,0,1,12,W 112th Ave & Vrain St,39.899599,-105.045178
10097,SA,1,4,82,14th St & Walnut St (NB) Alght Stop,40.017065,-105.2768
10102,SA,0,1,22,11th Ave & Dayton St,39.7328,-104.874946
10103,SA,1,1,22,11th Ave & Dayton St,39.7329,-104.875945
10108,SA,1,1,22,11th Ave & Galena St,39.732905,-104.870217
10115,SA,1,1,22,11th Ave & Hanover St,39.732901,-104.868165
10116,SA,0,1,22,11th Ave & Havana St,39.732808,-104.865539
10118,SA,0,1,22,11th Ave & Jamaica St,39.732821,-104.862129
10119,SA,1,1,22,11th Ave & Jamaica St,39.732921,-104.862899
10120,SA,0,1,22,11th Ave & Joliet St,39.732828,-104.860061
10123,SA,0,1,22,11th Ave & Lima St,39.732851,-104.855621
10125,SA,0,1,22,11th Ave & Magnolia St,39.73285,-104.911162
10126,SA,1,1,22,11th Ave & Moline St,39.732953,-104.854503
10133,SA,1,1,22,11th Ave & Oneida St,39.732925,-104.907762
10136,SA,1,1,22,11th Ave & Peoria St,39.733022,-104.847893
10140,SA,1,1,22,11th Ave & Quebec St,39.732932,-104.903873
10158,SA,0,1,29,E 120th Ave & Washington St,39.914235,-104.979087
10160,SA,0,1,35,12th Ave & Corona St,39.7351,-104.973595
10161,SA,1,1,35,12th Ave & Downing St,39.73519,-104.973475
10162,SA,0,1,35,12th Ave & Elizabeth St,39.735096,-104.956006
10163,SA,1,1,35,12th Ave & Elizabeth St,39.735186,-104.956081
10164,SA,0,1,35,12th Ave & Emerson St,39.735096,-104.976159
10167,SA,1,1,35,12th Ave & Fillmore St,39.735169,-104.95261
10168,SA,0,1,35,12th Ave & Grant St,39.735227,-104.983287
10169,SA,1,1,35,12th Ave & Grant St,39.735332,-104.984014
10170,SA,0,1,35,12th Ave & Humboldt St,39.735125,-104.968576
10174,SA,1,1,35,12th Ave & Josephine St,39.735086,-104.959123
10175,SA,0,1,35,12th Ave & Madison St,39.735067,-104.945899
10176,SA,1,1,35,12th Ave & Madison St,39.735165,-104.946462
10177,SA,0,1,35,12th Ave & Pennsylvania St,39.735102,-104.980599
10179,SA,0,1,35,12th Ave & Race St,39.735005,-104.963223
10180,SA,1,1,35,12th Ave & Race St,39.735091,-104.963763
10181,SA,0,1,35,12th Ave & Steele St,39.735064,-104.948897
10182,SA,1,1,35,12th Ave & Steele St,39.735188,-104.949863
10185,SA,1,1,35,12th Ave & Vine St,39.735088,-104.962561
10187,SA,1,1,35,12th Ave & Washington St,39.735237,-104.97904
10188,SA,0,1,35,12th Ave & Gilpin St,39.736056,-104.966469
10189,SA,1,1,35,12th Ave & High St,39.736106,-104.966278
10190,SA,0,1,35,12th Ave & York St,39.734996,-104.95948
10201,SA,0,1,27,W 13th Ave & Broadway,39.736911,-104.98786
10201,SA,1,1,11,W 13th Ave & Broadway,39.736911,-104.98786
10208,SA,1,1,37,13th Ave & Eagle St,39.735604,-104.816316
10209,SA,1,1,11,W 13th Ave & Elati St,39.736913,-104.994377
10210,SA,0,1,38,13th Ave & Fraser St,39.735476,-104.811966
10211,SA,1,1,35,13th Ave & Garfield St,39.736801,-104.94427
10212,SA,1,1,37,13th Ave & Granby St,39.735689,-104.81114
10224,SA,1,1,18,W 14th Ave & Federal Blvd,39.73805,-105.025753
10228,SA,0,1,12,W 14th Ave & Galapago St,39.738407,-104.996035
10230,SA,0,1,18,W 14th Ave & Irving St,39.739044,-105.028152
10236,SA,0,1,12,W 14th Ave & Newland St,39.738444,-105.069056
10238,SA,0,1,12,W 14th Ave & Pierce St,39.738443,-105.071531
10272,SA,1,2,32,Tejon St & W 31st Ave,39.761142,-105.011056
10273,SA,0,2,32,16th St & Boulder St,39.758852,-105.010098
10277,SA,0,1,32,17th Ave & Broadway,39.743228,-104.987267
10280,SA,0,1,32,17th Ave & Clarkson St,39.743193,-104.977204
10281,SA,0,1,32,17th Ave & Cook St,39.743684,-104.947424
10284,SA,0,1,32,E 17th Ave & The Esplanade,39.743726,-104.956224
10285,SA,1,1,32,17th Ave & Esplanade St,39.743882,-104.956448
10288,SA,0,1,32,17th Ave & Fillmore St,39.743715,-104.953279
10289,SA,1,1,32,17th Ave & Fillmore St,39.743905,-104.95435
10292,SA,1,1,32,17th Ave & Garfield St,39.743835,-104.944028
10294,SA,0,1,32,17th Ave & Gaylord St,39.743159,-104.961209
10298,SA,1,1,32,17th Ave & Harrison St,39.743831,-104.941757
10308,SA,1,1,32,17th Ave & Madison St,39.743839,-104.946356
10315,SA,0,1,32,17th Ave & Pearl St,39.743198,-104.979407
10320,SA,0,1,32,17th Ave & Race St,39.743153,-104.963147
10322,SA,0,1,32,17th Ave & Sherman St,39.743181,-104.984488
10336,SA,1,1,32,E 18th Ave & Downing St,39.744891,-104.973807
10338,SA,1,1,32,18th Ave & Emerson St,39.7449,-104.976504
10339,SA,1,1,32,18th Ave & Franklin St,39.744875,-104.968741
10341,SA,1,1,32,18th Ave & High St,39.744857,-104.965151
10342,SA,1,1,32,18th Ave & Pennsylvania St,39.744913,-104.981639
10343,SA,1,2,48,E 18th Ave & Sherman St,39.744958,-104.985181
10344,SA,1,1,32,18th Ave & Vine St,39.744856,-104.962481
10357,SA,0,1,15,19th Ave & Grant St,39.746128,-104.983247
10360,SA,0,1,15,19th Ave & Sherman St,39.746124,-104.984501
10366,SA,1,1,14,19th St & Avocado Rd,40.055499,-105.272821
10369,SA,0,1,14,19th St & Elder Ave,40.030053,-105.27257
10372,SA,0,1,14,19th St & Floral Dr,40.031812,-105.272579
10374,SA,1,1,14,19th St & Forest Ave,40.032302,-105.272726
10375,SA,0,1,14,19th St & Glenwood Dr,40.033385,-105.272603
10379,SA,0,1,14,19th St & Joslin Ct,40.037437,-105.272633
10381,SA,0,1,14,19th St & Kalmia Ave,40.040319,-105.272678
10384,SA,0,1,14,19th St & Norwood Ave,40.044277,-105.272691
10385,SA,1,1,14,19th St & Norwood Ave,40.043772,-105.272825
10388,SA,0,1,14,19th St & Poplar Ave,40.047039,-105.272685
