route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
6,10007,SA,1,60.0,1.0,W 100th Ave & Pecos St,39.878638,-105.006153,6,East 6th Avenue / North Pecos
6,10008,SA,0,60.5,3.3,W 100th Ave & Ura Ln,39.877913,-105.011188,6,East 6th Avenue / North Pecos
6,10009,SA,1,60.0,1.0,W 100th Ave & Ura Ln,39.878006,-105.011309,6,East 6th Avenue / North Pecos
92,10013,SA,0,36.0,12.2,100th Ave & York St,39.877727,-104.958489,92,92nd Avenue
6,10014,SA,1,60.0,1.0,W 104th Ave & Croke Dr,39.885039,-104.999657,6,East 6th Avenue / North Pecos
6,10016,SA,0,60.5,3.3,W 104th Ave & Croke Dr,39.885319,-105.000391,6,East 6th Avenue / North Pecos
12,10019,SA,0,38.2,13.3,W 104th Ave & Huron St,39.88505,-104.996082,12,Downing Street
88,10019,SA,1,41.5,14.9,W 104th Ave & Huron St,39.88505,-104.996082,88,Northglenn/Commerce City/Stapleton
6,10020,SA,0,60.5,3.3,W 104th Ave & Huron St,39.885332,-104.997422,6,East 6th Avenue / North Pecos
6,10021,SA,1,60.0,1.0,W 104th Ave & Livingston Dr,39.885038,-105.002857,6,East 6th Avenue / North Pecos
6,10022,SA,0,60.5,3.3,W 104th Ave & Livingston Dr,39.885307,-105.003771,6,East 6th Avenue / North Pecos
12,10023,SA,0,38.2,13.3,W 104th Ave & Melody Dr,39.88504,-104.992627,12,Downing Street
12,10023,SA,1,37.1,12.3,W 104th Ave & Melody Dr,39.88504,-104.992627,12,Downing Street
88,10023,SA,1,41.5,14.9,W 104th Ave & Melody Dr,39.88504,-104.992627,88,Northglenn/Commerce City/Stapleton
6,10024,SA,1,60.0,1.0,W 104th Ave & Quivas St,39.88507,-105.007153,6,East 6th Avenue / North Pecos
6,10025,SA,0,60.5,3.3,W 104th Ave & Quivas St,39.885344,-105.006939,6,East 6th Avenue / North Pecos
12,10028,SA,1,37.1,12.4,W 106th Ave & Huron St,39.888627,-104.994739,12,Downing Street
6,10028,SA,0,60.6,3.2,W 106th Ave & Huron St,39.888627,-104.994739,6,East 6th Avenue / North Pecos
6,10028,SA,1,60.0,1.0,W 106th Ave & Huron St,39.888627,-104.994739,6,East 6th Avenue / North Pecos
8,10028,SA,1,60.0,0.0,W 106th Ave & Huron St,39.888627,-104.994739,8,North Broadway / Huron
9,10030,SA,0,60.0,0.0,W 10th Ave & Allison St,39.732929,-105.085499,9,West 10th Avenue
9,10031,SA,1,60.0,0.4,W 10th Ave & Allison St,39.733007,-105.08554,9,West 10th Avenue
9,10033,SA,1,60.0,0.4,W 10th Ave & Balsam St,39.732989,-105.089003,9,West 10th Avenue
9,10036,SA,0,60.0,0.0,W 10th Ave & Carr St,39.732897,-105.090526,9,West 10th Avenue
9,10037,SA,1,60.0,0.4,W 10th Ave & Carr St,39.733003,-105.090597,9,West 10th Avenue
9,10038,SA,1,59.9,0.3,W 10th Ave & Decatur St,39.733039,-105.022107,9,West 10th Avenue
9,10039,SA,0,60.0,0.0,W 10th Ave & Depew St,39.733,-105.057679,9,West 10th Avenue
9,10040,SA,1,60.0,0.4,W 10th Ave & Depew St,39.73313,-105.057576,9,West 10th Avenue
9,10042,SA,1,60.0,0.4,W 10th Ave & Estes St,39.732962,-105.095034,9,West 10th Avenue
9,10043,SA,0,60.0,0.0,W 10th Ave & Estes St,39.732796,-105.095023,9,West 10th Avenue
9,10044,SA,0,59.9,0.3,W 10th Ave & Federal Blvd,39.732946,-105.024758,9,West 10th Avenue
9,10045,SA,1,59.9,0.3,W 10th Ave & Federal Blvd,39.732985,-105.025626,9,West 10th Avenue
9,10047,SA,0,60.0,0.0,W 10th Ave & Flower St,39.732813,-105.099179,9,West 10th Avenue
9,10048,SA,0,60.0,0.0,W 10th Ave & Gray St,39.733052,-105.061044,9,West 10th Avenue
9,10049,SA,1,60.0,0.4,W 10th Ave & Gray St,39.73312,-105.061687,9,West 10th Avenue
9,10050,SA,0,59.9,0.3,W 10th Ave & Hooker St,39.732913,-105.028345,9,West 10th Avenue
9,10051,SA,1,59.9,0.3,W 10th Ave & Hooker St,39.732976,-105.02897,9,West 10th Avenue
9,10055,SA,1,60.0,0.4,W 10th Ave & Jay St,39.733117,-105.065174,9,West 10th Avenue
10,10056,SA,0,30.0,0.3,Jersey St & E 10th Ave,39.731453,-104.919403,10,East 12th Avenue
9,10057,SA,0,60.0,0.0,W 10th Ave & Kendall St,39.733051,-105.065219,9,West 10th Avenue
9,10060,SA,0,59.9,0.3,W 10th Ave & Julian St,39.732914,-105.030539,9,West 10th Avenue
9,10061,SA,1,59.9,0.3,W 10th Ave & Knox Ct,39.732994,-105.032475,9,West 10th Avenue
10,10062,SA,0,30.0,0.3,E 10th Ave & Leyden St,39.731631,-104.914705,10,East 12th Avenue
10,10063,SA,1,30.1,0.6,E 10th Ave & Leyden St,39.731722,-104.915604,10,East 12th Avenue
9,10066,SA,0,59.9,0.3,W 10th Ave & Meade St,39.732915,-105.036005,9,West 10th Avenue
9,10067,SA,1,59.9,0.3,W 10th Ave & Meade St,39.733018,-105.035629,9,West 10th Avenue
10,10068,SA,0,30.0,0.3,E 10th Ave & Monaco Pkwy,39.731643,-104.912577,10,East 12th Avenue
10,10069,SA,1,30.1,0.6,E 10th Ave & Monaco Pkwy,39.731712,-104.912685,10,East 12th Avenue
9,10070,SA,0,59.9,0.3,W 10th Ave & Perry St,39.732948,-105.038991,9,West 10th Avenue
9,10071,SA,1,59.9,0.3,W 10th Ave & Perry St,39.733045,-105.039675,9,West 10th Avenue
9,10072,SA,0,60.0,0.0,W 10th Ave & Pierce St,39.733081,-105.072247,9,West 10th Avenue
9,10073,SA,1,59.9,0.3,W 10th Ave & Raleigh St,39.733078,-105.042204,9,West 10th Avenue
9,10074,SA,1,60.0,0.4,W 10th Ave & Teller St,39.733069,-105.0763,9,West 10th Avenue
9,10075,SA,1,60.0,0.4,W 10th Ave & Sheridan Blvd,39.733142,-105.053777,9,West 10th Avenue
9,10076,SA,0,60.0,0.0,W 10th Ave & Sheridan Blvd,39.733072,-105.052504,9,West 10th Avenue
9,10077,SA,0,59.9,0.3,W 10th Ave & Stuart St,39.732976,-105.042225,9,West 10th Avenue
9,10078,SA,0,60.0,0.0,W 10th Ave & Teller St,39.73299,-105.076477,9,West 10th Avenue
9,10079,SA,1,60.0,0.4,W 10th Ave & Wadsworth Blvd,39.733058,-105.081999,9,West 10th Avenue
9,10080,SA,0,60.0,0.0,W 10th Ave & Wadsworth Blvd,39.732909,-105.080126,9,West 10th Avenue
9,10081,SA,1,60.0,0.4,W 10th Ave & Winona Ct,39.733125,-105.047719,9,West 10th Avenue
9,10082,SA,0,59.9,0.3,W 10th Ave & Winona Ct,39.733019,-105.046716,9,West 10th Avenue
9,10083,SA,0,59.9,0.3,W 10th Ave & Wolff St,39.73304,-105.04949,9,West 10th Avenue
9,10084,SA,1,60.0,0.4,W 10th Ave & Xavier St,39.733152,-105.050763,9,West 10th Avenue
112,10090,SA,1,60.0,0.0,W 112th Ave & Federal Blvd,39.899746,-105.025765,112,West 112th Avenue
31,10090,SA,0,61.3,6.9,W 112th Ave & Federal Blvd,39.899746,-105.025765,31,Federal Blvd
112,10091,SA,0,59.9,0.3,W 112th Ave & Federal Blvd,39.899515,-105.027084,112,West 112th Avenue
31,10091,SA,1,60.0,2.1,W 112th Ave & Federal Blvd,39.899515,-105.027084,31,Federal Blvd
112,10094,SA,0,59.9,0.3,W 112th Ave & Sheridan Blvd,39.899623,-105.051659,112,West 112th Avenue
112,10095,SA,0,59.9,0.3,W 112th Ave & Vrain St,39.899599,-105.045178,112,West 112th Avenue
112,10096,SA,1,60.0,0.0,W 112th Ave & Vrain St,39.899835,-105.046329,112,West 112th Avenue
204,10097,SA,1,59.9,0.2,14th St & Walnut St (NB) Alght Stop,40.017065,-105.2768,204,Table Mesa / Moorhead / North 19th
208,10097,SA,1,60.0,0.0,14th St & Walnut St (NB) Alght Stop,40.017065,-105.2768,208,Iris / Valmont
225,10097,SA,1,31.2,6.1,14th St & Walnut St (NB) Alght Stop,40.017065,-105.2768,225,Boulder / Lafayette via Baseline
JUMP,10097,SA,1,30.4,2.0,14th St & Walnut St (NB) Alght Stop,40.017065,-105.2768,JUMP,Boulder / Lafayette via Arapahoe
10,10099,SA,1,30.2,0.7,E 11th Ave & Boston St,39.732902,-104.880341,10,East 12th Avenue
10,10100,SA,0,29.9,0.4,11th Ave & Boston St,39.732758,-104.880085,10,East 12th Avenue
10,10102,SA,0,29.9,0.4,11th Ave & Dayton St,39.7328,-104.874946,10,East 12th Avenue
10,10103,SA,1,30.2,0.7,11th Ave & Dayton St,39.7329,-104.875945,10,East 12th Avenue
10,10105,SA,0,29.9,0.4,11th Ave & Elmira St,39.7328,-104.872388,10,East 12th Avenue
10,10106,SA,1,30.2,0.7,11th Ave & Elmira St,39.732931,-104.873352,10,East 12th Avenue
10,10108,SA,1,30.2,0.7,11th Ave & Galena St,39.732905,-104.870217,10,East 12th Avenue
10,10109,SA,0,29.9,0.4,11th Ave & Galena St,39.732805,-104.869976,10,East 12th Avenue
10,10112,SA,0,29.9,0.4,11th Ave & Geneva St,39.732808,-104.867715,10,East 12th Avenue
10,10115,SA,1,30.2,0.7,11th Ave & Hanover St,39.732901,-104.868165,10,East 12th Avenue
10,10116,SA,0,29.9,0.4,11th Ave & Havana St,39.732808,-104.865539,10,East 12th Avenue
10,10117,SA,1,30.2,0.7,11th Ave & Havana St,39.732905,-104.865599,10,East 12th Avenue
10,10118,SA,0,29.9,0.5,11th Ave & Jamaica St,39.732821,-104.862129,10,East 12th Avenue
10,10119,SA,1,30.2,0.7,11th Ave & Jamaica St,39.732921,-104.862899,10,East 12th Avenue
10,10120,SA,0,29.9,0.5,11th Ave & Joliet St,39.732828,-104.860061,10,East 12th Avenue
10,10121,SA,1,30.2,0.7,11th Ave & Joliet St,39.732928,-104.860536,10,East 12th Avenue
10,10122,SA,1,30.2,0.7,11th Ave & Lansing St,39.73294,-104.856945,10,East 12th Avenue
10,10123,SA,0,29.9,0.5,11th Ave & Lima St,39.732851,-104.855621,10,East 12th Avenue
10,10125,SA,0,30.0,0.3,11th Ave & Magnolia St,39.73285,-104.911162,10,East 12th Avenue
10,10126,SA,1,30.2,0.7,11th Ave & Moline St,39.732953,-104.854503,10,East 12th Avenue
10,10127,SA,0,29.9,0.5,11th Ave & Moline St,39.732853,-104.85463,10,East 12th Avenue
10,10128,SA,1,30.1,0.6,11th Ave & Niagara St,39.732922,-104.910869,10,East 12th Avenue
10,10129,SA,0,29.9,0.5,11th Ave & Nome St,39.73286,-104.849883,10,East 12th Avenue
10,10130,SA,1,30.2,0.7,11th Ave & Nome St,39.732965,-104.851321,10,East 12th Avenue
10,10132,SA,0,30.0,0.3,11th Ave & Oneida St,39.732858,-104.908263,10,East 12th Avenue
10,10133,SA,1,30.1,0.6,11th Ave & Oneida St,39.732925,-104.907762,10,East 12th Avenue
10,10136,SA,1,30.2,0.7,11th Ave & Peoria St,39.733022,-104.847893,10,East 12th Avenue
10,10137,SA,0,30.0,0.3,11th Ave & Pontiac St,39.732853,-104.905209,10,East 12th Avenue
