route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
101C,SA,0,3,4,4530,29610,7,31.0,,3,32.2,9.1,8.0,5994.9963285714285713817,101,Light Rail C Line
101D,SA,0,153,27,3390,94320,25,18.4,6.5,74,29.4,17.6,16.5,5929.7719298880275625171,101,Light Rail D Line
101D,SA,1,153,27,3390,94320,25,18.2,9.6,78,30.0,17.5,16.0,6082.5584066666666665573,101,Light Rail D Line
101E,SA,0,140,25,6180,93390,24,19.4,11.9,66,35.6,23.5,17.9,7279.3165629032258065257,101,Light Rail E Line
101E,SA,1,140,25,6180,93390,24,19.2,11.7,74,35.5,23.1,17.4,7333.9351164473684210699,101,Light Rail E Line
101H,SA,1,143,25,4770,91650,24,18.9,8.6,75,35.1,18.9,13.4,7965.0902862808145765684,101,Light Rail H Line
101H,SA,0,143,25,4770,91650,24,18.9,8.1,68,35.3,19.4,13.9,7836.3276945330296126890,101,Light Rail H Line
101C,SU,0,3,4,4530,29610,7,31.0,,3,32.2,9.1,8.0,5994.9963285714285713817,101,Light Rail C Line
101D,SU,0,153,27,3390,94320,25,18.4,6.6,74,29.4,17.6,16.5,5929.7719298880275625171,101,Light Rail D Line
101D,SU,1,153,27,3390,94320,25,18.2,9.6,78,30.0,17.5,16.0,6082.5584066666666665573,101,Light Rail D Line
101E,SU,0,140,25,6180,93390,24,19.5,12.1,66,35.6,23.5,17.9,7279.3165629032258065257,101,Light Rail E Line
101E,SU,1,140,25,6180,93390,24,19.2,11.7,74,35.5,23.1,17.4,7333.9351164473684210699,101,Light Rail E Line
101H,SU,1,143,25,4770,91650,24,18.9,8.6,75,35.1,18.9,13.4,7965.0902862808145765684,101,Light Rail H Line
101H,SU,0,143,25,4770,91650,24,18.9,8.1,68,35.3,19.4,13.9,7836.3276945330296126890,101,Light Rail H Line
101C,WK,1,42,12,19110,73530,15,25.7,6.9,23,37.3,15.3,11.1,7820.6732729613733904129,101,Light Rail C Line
101C,WK,0,42,12,19110,73530,15,26.4,6.5,19,36.7,15.1,10.9,7754.9629201058201059694,101,Light Rail C Line
101D,WK,1,197,24,12480,94335,23,13.2,6.5,102,31.3,16.9,14.9,6355.6146583451202262508,101,Light Rail D Line
101D,WK,0,197,24,12480,94335,23,13.5,6.2,94,30.0,17.2,15.6,6125.6180239020878329710,101,Light Rail D Line
101E,WK,1,114,23,11700,93390,23,21.1,8.2,59,35.5,22.8,17.0,7452.1756601272534465498,101,Light Rail E Line
101E,WK,0,114,23,11700,93390,23,23.1,12.6,55,35.4,23.1,17.7,7262.3657664122137403403,101,Light Rail E Line
101F,WK,1,76,15,15570,74850,16,16.9,5.3,40,32.1,22.7,17.9,7064.6311885756676559246,101,Light Rail F Line
101F,WK,0,76,15,15570,74850,16,16.9,5.4,36,33.6,23.1,18.0,7087.1529999999999999807,101,Light Rail F Line
101H,WK,0,151,23,13020,91650,22,17.1,6.6,73,34.4,19.4,13.9,7834.8046275715800634792,101,Light Rail H Line
101H,WK,1,151,23,13020,91650,22,16.4,5.3,78,34.5,18.9,13.4,7989.6843543478260868424,101,Light Rail H Line
