stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
23041,SA,0,4,211,Hwy I-25 & Broadway Stn,39.701958,-104.990075
23042,SA,0,4,209,Alameda Station,39.708706,-104.993143
23043,SA,0,4,209,10th & Osage Station,39.732222,-105.005654
23044,SA,0,2,141,Colfax at Auraria Station,39.7402,-105.001847
23046,SA,0,2,141,16th & California Station,39.744949,-104.992337
23047,SA,0,2,141,18th & California Station,39.746813,-104.989945
23048,SA,0,1,72,20th & Welton Station,39.748043,-104.986559
23049,SA,0,1,72,25th & Welton Stn,39.753209,-104.979957
23050,SA,0,1,72,29th & Welton Station,39.756723,-104.975372
23051,SA,0,1,72,30th & Downing Station,39.758988,-104.97345
23051,SA,1,1,72,30th & Downing Station,39.758988,-104.97345
23052,SA,1,1,72,29th & Welton Station,39.756946,-104.975407
23053,SA,1,1,72,25th & Welton Stn,39.753397,-104.980039
23054,SA,1,1,72,20th & Welton Station,39.7481,-104.986756
23055,SA,1,2,141,18th & Stout Station,39.748027,-104.990439
23056,SA,1,2,141,16th & Stout Station,39.746065,-104.992913
23058,SA,1,2,141,Colfax at Auraria Station,39.740512,-105.000881
23059,SA,1,3,209,10th & Osage Station,39.731664,-105.005549
23060,SA,1,3,209,Alameda Station,39.708196,-104.992785
23061,SA,1,3,209,Hwy I-25 & Broadway Stn,39.701418,-104.990111
23708,SA,0,1,72,27th & Welton Station,39.754823,-104.977835
23709,SA,1,1,72,27th & Welton Station,39.754975,-104.977929
24882,SA,0,2,77,Evans Station,39.678143,-104.992653
24890,SA,0,1,71,Englewood Station,39.655904,-104.999736
24892,SA,0,1,71,Oxford - City of Sheridan Station,39.64339,-105.00457
24894,SA,0,1,71,Littleton / Downtown Station,39.612258,-105.014684
24896,SA,0,1,71,Littleton / Mineral Ave Station,39.580413,-105.024812
25427,SA,0,2,68,Auraria West Station,39.742027,-105.010937
25428,SA,0,2,68,Sports Authority Field at Mile High Station,39.743543,-105.013526
