route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
101C,23041,SA,0,31.0,,Hwy I-25 & Broadway Stn,39.701958,-104.990075,101,Light Rail C Line
101D,23041,SA,0,18.4,6.6,Hwy I-25 & Broadway Stn,39.701958,-104.990075,101,Light Rail D Line
101E,23041,SA,0,19.4,11.9,Hwy I-25 & Broadway Stn,39.701958,-104.990075,101,Light Rail E Line
101H,23041,SA,0,18.9,8.1,Hwy I-25 & Broadway Stn,39.701958,-104.990075,101,Light Rail H Line
101C,23042,SA,0,31.0,,Alameda Station,39.708706,-104.993143,101,Light Rail C Line
101D,23042,SA,0,18.4,6.5,Alameda Station,39.708706,-104.993143,101,Light Rail D Line
101E,23042,SA,0,18.7,10.4,Alameda Station,39.708706,-104.993143,101,Light Rail E Line
101H,23042,SA,0,18.3,6.5,Alameda Station,39.708706,-104.993143,101,Light Rail H Line
101C,23043,SA,0,31.0,,10th & Osage Station,39.732222,-105.005654,101,Light Rail C Line
101D,23043,SA,0,18.4,6.5,10th & Osage Station,39.732222,-105.005654,101,Light Rail D Line
101E,23043,SA,0,18.7,10.5,10th & Osage Station,39.732222,-105.005654,101,Light Rail E Line
101H,23043,SA,0,18.3,6.5,10th & Osage Station,39.732222,-105.005654,101,Light Rail H Line
101D,23044,SA,0,18.4,6.5,Colfax at Auraria Station,39.7402,-105.001847,101,Light Rail D Line
101H,23044,SA,0,18.3,6.5,Colfax at Auraria Station,39.7402,-105.001847,101,Light Rail H Line
101D,23046,SA,0,18.4,6.7,16th & California Station,39.744949,-104.992337,101,Light Rail D Line
101H,23046,SA,0,18.3,6.5,16th & California Station,39.744949,-104.992337,101,Light Rail H Line
101D,23047,SA,0,18.4,6.7,18th & California Station,39.746813,-104.989945,101,Light Rail D Line
101H,23047,SA,0,18.4,6.5,18th & California Station,39.746813,-104.989945,101,Light Rail H Line
101D,23048,SA,0,18.1,6.4,20th & Welton Station,39.748043,-104.986559,101,Light Rail D Line
101D,23049,SA,0,18.1,6.4,25th & Welton Stn,39.753209,-104.979957,101,Light Rail D Line
101D,23050,SA,0,18.1,6.4,29th & Welton Station,39.756723,-104.975372,101,Light Rail D Line
101D,23051,SA,0,18.1,6.3,30th & Downing Station,39.758988,-104.97345,101,Light Rail D Line
101D,23051,SA,1,17.9,6.3,30th & Downing Station,39.758988,-104.97345,101,Light Rail D Line
101D,23052,SA,1,17.9,6.3,29th & Welton Station,39.756946,-104.975407,101,Light Rail D Line
101D,23053,SA,1,17.9,6.3,25th & Welton Stn,39.753397,-104.980039,101,Light Rail D Line
101D,23054,SA,1,17.9,6.3,20th & Welton Station,39.7481,-104.986756,101,Light Rail D Line
101D,23055,SA,1,17.9,6.3,18th & Stout Station,39.748027,-104.990439,101,Light Rail D Line
101H,23055,SA,1,19.0,8.3,18th & Stout Station,39.748027,-104.990439,101,Light Rail H Line
101D,23056,SA,1,18.0,6.3,16th & Stout Station,39.746065,-104.992913,101,Light Rail D Line
101H,23056,SA,1,19.0,8.3,16th & Stout Station,39.746065,-104.992913,101,Light Rail H Line
