route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
001,1_merged_430962,0,91,17,18540,76020,16,20.4,2.0,46,21.2,14.1,44.0,1706.0208069767441859931,1,GREENBACK
001,1_merged_430962,1,91,17,18540,76020,16,20.4,2.5,45,18.9,14.3,45.0,1701.4147477272727272429,1,GREENBACK
002,1_merged_430962,0,26,15,19740,68940,14,60.0,1.3,13,20.5,13.8,75.0,981.8747202702702702348,2,RIVERSIDE
002,1_merged_430962,1,26,15,19740,68940,14,60.0,0.2,13,21.9,14.3,71.0,1074.2228357142857141451,2,RIVERSIDE
003,1_merged_430962,0,8,4,22500,63600,11,20.0,8.6,4,23.4,15.6,44.0,1897.0207883720930231261,3,RIVERSIDE EXPRESS
003,1_merged_430962,1,8,4,22500,63600,11,15.0,0.0,4,26.0,15.6,41.0,2052.2244875000000000000,3,RIVERSIDE EXPRESS
005,1_merged_430962,0,29,15,21780,73500,14,60.0,0.0,15,21.7,7.9,24.4,1754.2983535612535611040,5,MEADOWVIEW - VALLEY HI
005,1_merged_430962,1,29,15,21780,73500,14,60.0,2.4,14,22.3,8.0,24.6,1734.8734909090909089716,5,MEADOWVIEW - VALLEY HI
006,1_merged_430962,0,27,14,22620,71880,14,60.0,0.0,14,20.4,13.9,70.0,1063.2579782608695651318,6,LAND PARK
006,1_merged_430962,1,27,14,22620,71880,14,60.4,1.4,13,21.4,13.2,61.0,1153.2386900000000000000,6,LAND PARK
007,1_merged_430962,0,6,4,22140,64020,12,30.0,0.0,3,22.9,13.8,36.0,2031.7076914285714286183,7,POCKET EXPRESS
007,1_merged_430962,1,6,4,22140,64020,12,30.0,0.0,3,24.4,13.0,31.0,2287.0319866666666665573,7,POCKET EXPRESS
011,1_merged_430962,0,35,13,22080,65700,12,41.6,14.9,17,19.9,12.1,32.2,2007.5382406779661016115,11,TRUXEL ROAD
011,1_merged_430962,1,35,13,22080,65700,12,39.0,14.0,18,20.8,11.9,30.4,2099.9340966037735850109,11,TRUXEL ROAD
013,1_merged_430962,0,31,17,19080,76920,16,61.0,14.9,15,17.7,9.1,21.0,2372.5895300000000000000,13,NORTHGATE
013,1_merged_430962,1,31,17,19080,76920,16,60.6,13.0,16,19.2,9.0,21.0,2329.8873150000000000000,13,NORTHGATE
014,1_merged_430962,0,30,16,20880,75000,15,61.0,15.0,15,20.9,12.6,40.2,1676.7338462585034013784,14,NORWOOD
014,1_merged_430962,1,30,16,20880,75000,15,60.8,14.0,15,20.6,12.0,38.1,1688.7218642728904846201,14,NORWOOD
015,1_merged_430962,0,56,17,20640,75960,15,31.7,6.6,58,22.6,14.9,43.2,1814.1823031948881790259,15,RIO LINDA BLVD - O ST
015,1_merged_430962,1,56,17,20640,75960,15,32.4,9.9,54,20.5,14.1,42.3,1752.5710234881682735910,15,RIO LINDA BLVD - O ST
016,1_merged_430962,0,23,12,25260,66000,11,60.0,0.0,11,18.6,6.2,20.0,1689.4041684210526314408,16,DEL PASO HEIGHTS - NORWOOD AVE
016,1_merged_430962,1,23,12,25260,66000,11,60.0,0.0,12,17.7,5.6,20.0,1499.8314421052631578602,16,DEL PASO HEIGHTS - NORWOOD AVE
019,1_merged_430962,0,28,16,20700,73020,15,60.3,4.6,14,24.6,26.3,86.0,1624.8631399999999999035,19,RIO LINDA
019,1_merged_430962,1,28,16,20700,73020,15,59.6,1.9,14,25.5,26.2,85.0,1635.4066380952380951756,19,RIO LINDA
021,1_merged_430962,0,66,18,16680,77940,17,30.0,1.3,34,20.5,15.8,42.4,2006.7361411095305832764,21,SUNRISE - CITRUS HEIGHTS
021,1_merged_430962,1,66,18,16680,77940,17,15.5,12.2,61,22.2,16.5,43.7,1989.4916205017921147365,21,SUNRISE - CITRUS HEIGHTS
022,1_merged_430962,0,24,14,27180,74820,13,61.2,11.7,12,21.4,9.7,27.7,1892.6858625000000000000,22,ARDEN
022,1_merged_430962,1,24,14,27180,74820,13,62.6,8.9,12,25.2,10.9,28.3,2067.7522201219512195282,22,ARDEN
023,1_merged_430962,0,61,17,18420,77760,16,32.1,14.3,30,20.4,20.9,69.6,1592.5250554638173870878,23,EL CAMINO
023,1_merged_430962,1,61,17,18420,77760,16,29.1,12.2,31,21.7,21.3,67.0,1690.0878409090909089716,23,EL CAMINO
024,1_merged_430962,0,20,11,27660,63180,10,61.6,5.0,10,30.3,6.1,18.0,1844.9641999999999999614,24,MADISON - GREENBACK
024,1_merged_430962,1,20,11,27660,63180,10,61.7,5.3,10,21.0,7.0,22.0,1721.5563238095238096488,24,MADISON - GREENBACK
025,1_merged_430962,0,29,15,21360,71100,14,56.1,15.6,14,19.4,20.1,66.6,1600.6331723612622414209,25,MARCONI
025,1_merged_430962,1,29,15,21360,71100,14,52.5,16.2,15,20.4,21.6,71.0,1617.9642171428571427634,25,MARCONI
026,1_merged_430962,0,52,14,22020,69240,13,30.0,0.0,26,20.6,11.0,30.0,1988.0597241379310345167,26,FULTON
026,1_merged_430962,1,52,14,22020,69240,13,30.0,0.0,26,20.4,10.9,30.0,1972.1412172413793103222,26,FULTON
028,1_merged_430962,0,33,15,19080,69720,14,52.6,12.7,16,21.3,10.6,28.0,2045.1323629629629628779,28,FAIR OAKS - FOLSOM BLV
028,1_merged_430962,1,33,15,19080,69720,14,46.8,15.3,17,20.8,10.1,35.0,1542.8323500000000000386,28,FAIR OAKS - FOLSOM BLV
029,1_merged_430962,0,4,4,22920,64740,12,30.0,,2,25.4,20.3,53.0,2056.9283057692307693822,29,ARDEN - CALIFORNIA AVE
029,1_merged_430962,1,4,4,22920,64740,12,30.0,,2,22.7,20.4,53.0,2069.5917038461538462548,29,ARDEN - CALIFORNIA AVE
030,1_merged_430962,0,90,17,20100,76440,16,19.0,7.6,49,14.4,6.2,31.0,1092.9995300000000000000,30,J ST
030,1_merged_430962,1,90,17,20100,76440,16,22.2,8.6,41,13.6,6.6,30.0,1192.0212413793103448389,30,J ST
031,1_merged_430962,0,29,13,22620,66600,12,51.5,17.9,15,18.7,6.7,34.0,1072.4236830303030303428,31,J ST - RIVER PARK
031,1_merged_430962,1,29,13,22620,66600,12,52.7,18.9,14,13.4,7.1,31.0,1231.0749466666666665573,31,J ST - RIVER PARK
033,1_merged_430962,0,60,12,22560,63900,11,22.7,4.5,30,13.2,1.7,6.8,1488.8934268571428572366,33,DOS RIOS
033,1_merged_430962,1,60,12,22560,63900,11,22.7,4.6,30,18.6,2.2,6.2,2046.9460464516129030988,33,DOS RIOS
034,1_merged_430962,0,27,14,18600,67620,14,60.1,0.5,14,16.8,10.2,48.0,1137.9555127659574468853,34,McKINLEY
034,1_merged_430962,1,27,14,18600,67620,14,59.5,1.3,13,17.2,9.8,45.8,1140.7012742710120067834,34,McKINLEY
038,1_merged_430962,0,31,16,19560,75300,15,60.0,1.7,15,15.6,10.6,46.7,1202.8652976676384840358,38,P/Q STREETS
038,1_merged_430962,1,31,16,19560,75300,15,58.8,4.2,16,15.3,11.0,56.5,1030.0507369369369367921,38,P/Q STREETS
047,1_merged_430962,0,24,15,20700,70080,14,68.1,7.8,12,16.3,7.9,23.0,1810.8435545454545455142,47,PHOENIX PARK
047,1_merged_430962,1,24,15,20700,70080,14,68.1,7.8,12,18.0,8.1,26.0,1605.8132680000000000000,47,PHOENIX PARK
051,1_merged_430962,0,111,17,19500,77640,16,16.3,5.1,57,16.5,10.8,52.0,1109.5184000000000000772,51,BROADWAY - STOCKTON
051,1_merged_430962,1,111,17,19500,77640,16,16.7,5.5,54,16.2,11.9,58.0,1074.0962889502762430823,51,BROADWAY - STOCKTON
054,1_merged_430962,0,31,16,20640,72240,14,53.7,13.3,15,18.4,10.7,37.0,1564.8911777777777779236,54,CENTER PARKWAY
054,1_merged_430962,1,31,16,20640,72240,14,49.4,14.8,16,18.8,10.9,38.0,1547.1422486486486484979,54,CENTER PARKWAY
055,1_merged_430962,0,26,14,21600,68700,13,58.8,10.7,14,19.4,9.6,30.2,1693.2101875305623470920,55,SCOTTSDALE
055,1_merged_430962,1,26,14,21600,68700,13,57.6,8.0,12,19.5,10.3,33.0,1677.3292250000000000000,55,SCOTTSDALE
056,1_merged_430962,0,63,17,20340,78300,16,28.0,0.0,62,18.4,11.3,37.0,1608.2841270270270270891,56,POCKET - CRC
056,1_merged_430962,1,63,17,20340,78300,16,28.0,0.0,64,20.9,12.5,41.0,1600.3677682926829269333,56,POCKET - CRC
061,1_merged_430962,0,32,17,18180,77460,16,60.0,1.1,16,18.8,12.4,45.0,1481.0881409090909089716,61,FRUITRIDGE
061,1_merged_430962,1,32,17,18180,77460,16,60.0,0.3,16,19.6,13.9,47.0,1589.4661847826086957235,61,FRUITRIDGE
062,1_merged_430962,0,60,17,20460,77400,16,30.0,0.0,31,16.7,13.7,69.0,1055.4591000000000001351,62,FREEPORT
062,1_merged_430962,1,60,17,20460,77400,16,30.0,0.0,29,16.2,12.9,60.0,1150.0739152542372880633,62,FREEPORT
065,1_merged_430962,0,28,15,21360,71040,14,60.0,0.0,14,25.3,9.9,23.0,2345.3631954545454544858,65,FRANKLIN SOUTH
065,1_merged_430962,1,28,15,21360,71040,14,60.0,0.4,14,25.1,10.0,26.0,2098.8819480000000000000,65,FRANKLIN SOUTH
067,1_merged_430962,0,57,18,18720,79200,17,29.9,9.4,60,18.3,15.7,55.0,1504.2967418181818182713,67,FRANKLIN
067,1_merged_430962,1,57,18,18720,79200,17,29.3,9.3,54,18.2,15.8,52.0,1574.6780923076923078185,67,FRANKLIN
068,1_merged_430962,0,57,17,19440,78540,16,29.4,8.9,58,17.2,15.6,59.0,1393.1181610169491525813,68,44TH ST
068,1_merged_430962,1,57,17,19440,78540,16,29.9,9.7,56,17.6,14.6,55.0,1379.4397781818181817287,68,44TH ST
072,1_merged_430962,0,62,17,21240,77220,16,31.1,9.7,31,19.1,8.9,31.6,1525.4658581664910431930,72,ROSEMONT - LINCOLN VILLAGE
072,1_merged_430962,1,62,17,21240,77220,16,28.5,9.7,31,17.6,8.5,30.4,1527.9581024122807016738,72,ROSEMONT - LINCOLN VILLAGE
