stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1000,1_merged_430962,0,1,1,SLP DR & 43RD AVE (SB),38.515701,-121.514778
1000,1_merged_430962,1,2,16,SLP DR & 43RD AVE (SB),38.515701,-121.514778
1001,1_merged_430962,0,1,1,SLP DR & 43RD AVE (SB),38.513393,-121.51548
1001,1_merged_430962,1,2,16,SLP DR & 43RD AVE (SB),38.513393,-121.51548
1002,1_merged_430962,0,1,1,SLP DR & 47TH AVE (SB),38.510285,-121.515625
1002,1_merged_430962,1,2,16,SLP DR & 47TH AVE (SB),38.510285,-121.515625
1003,1_merged_430962,0,1,1,SLP DR & SILVER LAKE DR (SB),38.508082,-121.51501
1003,1_merged_430962,1,2,16,SLP DR & SILVER LAKE DR (SB),38.508082,-121.51501
1005,1_merged_430962,1,1,13,13TH ST & FAY CIR (SB),38.505657,-121.513634
1006,1_merged_430962,1,1,13,13TH ST & FAY CIR (SB),38.504677,-121.515678
1007,1_merged_430962,1,1,13,13TH ST & SAN CLEMENTE WAY (NB),38.503059,-121.516525
1008,1_merged_430962,1,1,13,56TH AVE & HAVENHURST DR (WB),38.501419,-121.518089
1009,1_merged_430962,1,1,13,HAVENHURST DR & FLINTWOOD WAY (NB),38.502339,-121.518772
1010,1_merged_430962,1,1,13,HAVENHURST DR & GREENHAVEN DR (WB),38.504456,-121.520996
1011,1_merged_430962,1,1,13,GREENHAVEN DR & GREENWAY CIR (SB),38.502735,-121.522163
1012,1_merged_430962,1,1,13,GREENHAVEN DR & GREENSTAR WAY (SB),38.499268,-121.523644
1013,1_merged_430962,1,1,13,GREENHAVEN DR & PARK RANCH WAY (SB),38.497456,-121.523254
1014,1_merged_430962,0,1,1,GREENHAVEN DR & FLORIN RD (SB),38.495548,-121.523918
1014,1_merged_430962,1,1,13,GREENHAVEN DR & FLORIN RD (SB),38.495548,-121.523918
1016,1_merged_430962,0,1,1,GREENHAVEN DR & WINDBRIDGE DR (SB),38.491509,-121.521614
1016,1_merged_430962,1,1,13,GREENHAVEN DR & WINDBRIDGE DR (SB),38.491509,-121.521614
1017,1_merged_430962,0,1,1,GREENHAVEN DR & LA FLEUR WAY (SB),38.490265,-121.518112
1017,1_merged_430962,1,1,13,GREENHAVEN DR & LA FLEUR WAY (SB),38.490265,-121.518112
102,1_merged_430962,0,1,15,OLMSTEAD DR & FAIRBANKS AVE (NB),38.625807,-121.460055
1022,1_merged_430962,0,1,14,HAVENHURST DR & GREENHAVEN DR (EB),38.504372,-121.520905
1023,1_merged_430962,0,1,14,HAVENHURST DR & WESTMORELAND WAY (SB),38.502701,-121.519112
1024,1_merged_430962,0,1,14,56TH AVE & HAVENHURST DR (EB),38.501264,-121.518373
1025,1_merged_430962,0,1,14,13TH ST & 56TH AVE (NB),38.501734,-121.516085
1026,1_merged_430962,0,1,14,13TH ST & SAN CLEMENTE WAY (NB),38.503126,-121.516358
1027,1_merged_430962,0,1,14,13TH ST & GAGLE WAY (NB),38.504337,-121.515757
1028,1_merged_430962,0,1,14,13TH ST & TUGGLE WAY (EB),38.505628,-121.513255
1029,1_merged_430962,0,2,17,SLP DR & 13TH ST (WB),38.50732,-121.511863
103,1_merged_430962,1,1,16,NORTHGATE BLVD & WINTER GARDEN AVE (NB),38.625807,-121.475353
1030,1_merged_430962,0,2,17,SLP DR & SILVER LAKE DR (NB),38.508604,-121.515149
