route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
507,6_merged_430967,1,66,19,17400,80700,18,30.0,0.1,33,28.3,26.5,27.0,5364.4101728754365542748,Gold,Folsom - Amtrak
533,1_merged_430965,0,127,19,15360,82020,19,16.4,4.4,63,25.1,19.9,24.7,4424.3836090543259557080,Blue,Meadowview - Watt/I-80
507,1_merged_430962,1,127,20,13800,80700,19,16.2,4.0,64,27.2,23.9,25.9,5037.6560559045226131659,Gold,Folsom - Amtrak
533,7_merged_430963,1,66,18,18120,81120,18,30.0,0.0,33,25.3,20.3,25.0,4441.6127375000000000000,Blue,Meadowview - Watt/I-80
507,6_merged_430964,1,66,19,17400,80700,18,30.0,0.5,33,28.3,26.5,27.0,5364.4101728754365542748,Gold,Folsom - Amtrak
507,7_merged_430966,0,66,19,17400,80700,18,30.0,0.0,33,27.7,24.7,26.1,5196.7655848851269650422,Gold,Folsom - Amtrak
507,7_merged_430963,1,66,19,17400,80700,18,29.9,0.1,33,27.7,25.1,26.4,5196.7012073897497019703,Gold,Folsom - Amtrak
533,1_merged_430962,1,127,19,15360,82020,19,16.1,4.0,64,25.3,20.3,25.0,4441.6127375000000000000,Blue,Meadowview - Watt/I-80
533,7_merged_430966,0,66,18,18120,81120,18,30.0,0.0,33,25.2,20.0,24.8,4427.1335486624203820026,Blue,Meadowview - Watt/I-80
533,6_merged_430964,1,68,19,16140,81120,18,30.0,0.0,34,25.3,20.3,25.0,4441.6127375000000000000,Blue,Meadowview - Watt/I-80
507,1_merged_430965,0,127,20,13800,80700,19,16.2,4.1,63,27.2,23.6,25.6,5059.2302876208897485544,Gold,Folsom - Amtrak
533,6_merged_430967,1,68,19,16140,81120,18,30.0,0.0,34,25.3,20.3,25.0,4441.6127375000000000000,Blue,Meadowview - Watt/I-80
507,1_merged_430965,1,127,20,13800,80700,19,16.2,4.0,64,27.2,23.9,25.9,5037.6560559045226131659,Gold,Folsom - Amtrak
533,6_merged_430967,0,68,19,16140,81120,18,30.0,0.5,34,25.2,20.0,24.8,4427.2743315203955501125,Blue,Meadowview - Watt/I-80
173,1_merged_430962,0,1,2,23580,26700,1,,,1,20.9,18.1,15.0,6772.7105071428571427634,173,Square
533,6_merged_430964,0,68,19,16140,81120,18,30.1,0.6,34,25.2,20.0,24.8,4427.2743315203955501125,Blue,Meadowview - Watt/I-80
533,7_merged_430966,1,66,18,18120,81120,18,30.0,0.0,33,25.3,20.3,25.0,4441.6127375000000000000,Blue,Meadowview - Watt/I-80
170,1_merged_430962,0,4,5,21240,32940,3,48.3,17.0,4,19.8,16.5,16.0,5752.8179066666666665573,170,Eastside
533,1_merged_430962,0,127,19,15360,82020,19,16.4,4.4,63,25.1,19.9,24.7,4424.3836090543259557080,Blue,Meadowview - Watt/I-80
507,7_merged_430963,0,66,19,17400,80700,18,30.0,0.0,33,27.7,24.7,26.1,5196.7655848851269650422,Gold,Folsom - Amtrak
507,7_merged_430966,1,66,19,17400,80700,18,30.0,0.1,33,27.7,25.1,26.4,5196.7012073897497019703,Gold,Folsom - Amtrak
172,1_merged_430962,0,4,5,21000,32760,3,48.3,20.2,4,22.1,18.8,17.0,6177.4257875000000000000,172,Central
507,6_merged_430964,0,66,19,17400,80700,18,30.0,0.0,33,28.3,26.1,26.7,5366.3493685950413223493,Gold,Folsom - Amtrak
533,7_merged_430963,0,66,18,18120,81120,18,30.0,0.0,33,25.2,20.0,24.8,4427.1335486624203820026,Blue,Meadowview - Watt/I-80
171,1_merged_430962,0,3,3,21600,30240,2,50.0,14.1,3,23.6,17.3,15.0,6484.2637357142857141451,171,Westside
507,1_merged_430962,0,127,20,13800,80700,19,16.2,4.1,63,27.2,23.6,25.6,5059.2302876208897485544,Gold,Folsom - Amtrak
507,6_merged_430967,0,66,19,17400,80700,18,30.0,0.0,33,28.3,26.1,26.7,5366.3493685950413223493,Gold,Folsom - Amtrak
533,1_merged_430965,1,127,19,15360,82020,19,16.1,4.0,64,25.3,20.3,25.0,4441.6127375000000000000,Blue,Meadowview - Watt/I-80
