route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
170,119,1_merged_430962,0,48.3,17.0,9TH ST & L ST (SB),38.578034,-121.49604,170,Eastside
171,119,1_merged_430962,0,50.0,14.1,9TH ST & L ST (SB),38.578034,-121.49604,171,Westside
172,119,1_merged_430962,0,48.3,20.2,9TH ST & L ST (SB),38.578034,-121.49604,172,Central
173,119,1_merged_430962,0,,,9TH ST & L ST (SB),38.578034,-121.49604,173,Square
170,121,1_merged_430962,0,48.3,17.0,9TH ST & N ST (SB),38.576031,-121.496941,170,Eastside
171,121,1_merged_430962,0,50.0,14.1,9TH ST & N ST (SB),38.576031,-121.496941,171,Westside
172,121,1_merged_430962,0,48.3,20.2,9TH ST & N ST (SB),38.576031,-121.496941,172,Central
173,121,1_merged_430962,0,,,9TH ST & N ST (SB),38.576031,-121.496941,173,Square
170,1838,1_merged_430962,0,48.3,17.0,P ST & 9TH ST (WB),38.574202,-121.497961,170,Eastside
171,1838,1_merged_430962,0,50.0,14.1,P ST & 9TH ST (WB),38.574202,-121.497961,171,Westside
172,1838,1_merged_430962,0,48.3,20.2,P ST & 9TH ST (WB),38.574202,-121.497961,172,Central
173,1838,1_merged_430962,0,,,P ST & 9TH ST (WB),38.574202,-121.497961,173,Square
170,413,1_merged_430962,0,48.3,17.0,J ST & 4TH ST (EB),38.582261,-121.501131,170,Eastside
171,413,1_merged_430962,0,50.0,14.1,J ST & 4TH ST (EB),38.582261,-121.501131,171,Westside
172,413,1_merged_430962,0,48.3,20.2,J ST & 4TH ST (EB),38.582261,-121.501131,172,Central
173,413,1_merged_430962,0,,,J ST & 4TH ST (EB),38.582261,-121.501131,173,Square
170,415,1_merged_430962,0,48.3,17.0,J ST & 8TH ST (EB),38.580997,-121.496433,170,Eastside
171,415,1_merged_430962,0,50.0,14.1,J ST & 8TH ST (EB),38.580997,-121.496433,171,Westside
172,415,1_merged_430962,0,48.3,20.2,J ST & 8TH ST (EB),38.580997,-121.496433,172,Central
173,415,1_merged_430962,0,,,J ST & 8TH ST (EB),38.580997,-121.496433,173,Square
170,418,1_merged_430962,0,48.3,17.0,J ST & 11TH ST (EB),38.579758,-121.491717,170,Eastside
171,418,1_merged_430962,0,50.0,14.1,J ST & 11TH ST (EB),38.579758,-121.491717,171,Westside
172,418,1_merged_430962,0,48.3,20.2,J ST & 11TH ST (EB),38.579758,-121.491717,172,Central
173,418,1_merged_430962,0,,,J ST & 11TH ST (EB),38.579758,-121.491717,173,Square
170,456,1_merged_430962,0,48.3,17.0,P ST & 5TH ST (WB),38.575611,-121.503319,170,Eastside
171,456,1_merged_430962,0,50.0,14.1,P ST & 5TH ST (WB),38.575611,-121.503319,171,Westside
172,456,1_merged_430962,0,48.3,20.2,P ST & 5TH ST (WB),38.575611,-121.503319,172,Central
173,456,1_merged_430962,0,,,P ST & 5TH ST (WB),38.575611,-121.503319,173,Square
170,4763,1_merged_430962,0,48.3,17.0,J ST & 14TH ST (EB),38.578794,-121.487986,170,Eastside
