route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
1002,1,0,118,16,18000,74760,16,15.3,3.9,59,9.3,6.5,39.0,907.3001105263157896291,2,CLEMENT
1002,1,1,118,16,18000,74760,16,14.8,3.9,61,9.2,6.4,38.5,906.2980039295392954712,2,CLEMENT
1003,1,0,128,19,23580,86760,18,16.0,4.7,65,8.8,4.1,27.0,824.2124384615384615637,3,JACKSON
1003,1,1,128,19,23580,86760,18,16.0,5.1,63,9.3,4.7,32.0,794.7217032258064515494,3,JACKSON
1006,1,0,192,21,19200,91560,20,12.9,4.9,93,10.6,7.2,47.5,820.6709077144757259607,6,PARNASSUS
1006,1,1,192,21,19200,91560,20,13.4,5.3,93,10.4,7.7,49.0,839.0634655845580171337,6,PARNASSUS
1010,1,0,91,16,18360,74640,16,19.0,2.9,43,9.8,9.5,63.9,798.5143756746765248798,10,Townsend
1010,1,1,91,16,18360,74640,16,18.9,2.6,48,10.7,9.0,64.6,749.7061372504091652711,10,Townsend
1012,1,0,102,20,19440,86880,19,21.6,3.6,49,10.9,8.7,47.0,997.7235695652173914470,12,FOLSOM/PACIFIC
1012,1,1,102,20,19440,86880,19,20.8,3.5,53,10.2,7.7,43.0,963.4812738095238096488,12,FOLSOM/PACIFIC
1028,1,0,183,21,18360,90900,20,12.8,3.6,91,18.2,14.7,36.4,2199.0330517091361092279,28,19TH AVENUE
1028,1,1,183,21,18360,90900,20,12.3,2.9,108,17.3,14.2,39.0,1968.0716020501138951596,28,19TH AVENUE
1029,1,0,46,8,24300,63060,11,11.8,1.4,26,15.3,13.2,14.0,5349.7966923076923078185,28L,19TH AVENUE Limited
1029,1,1,46,8,24300,63060,11,11.7,2.6,20,14.8,13.0,15.0,4895.9550714285714286183,28L,19TH AVENUE Limited
1030,1,0,432,22,17340,91920,21,5.7,4.2,205,8.4,5.1,33.8,807.3301808205704649252,30,STOCKTON
1030,1,1,432,22,17340,91920,21,7.3,4.6,191,8.2,4.6,26.5,957.3319295471146821053,30,STOCKTON
1031,1,0,23,7,24600,67260,12,11.8,2.4,13,15.4,8.7,19.0,2564.5754222222222220764,31AX,BALBOA A EXPRESS
1031,1,1,23,7,24600,67260,12,10.0,0.0,10,13.9,8.9,23.0,2137.7057227272727272429,31AX,BALBOA A EXPRESS
1032,1,0,24,7,24120,67260,12,13.7,4.0,12,12.1,6.0,16.0,2112.4609133333333334427,31BX,BALBOA B EXPRESS
1032,1,1,24,7,24120,67260,12,10.2,0.6,12,13.0,6.0,17.0,1994.3558500000000000000,31BX,BALBOA B EXPRESS
1033,1,0,23,7,24300,67140,12,15.0,4.3,10,13.5,7.1,17.0,2354.0559812500000000000,1AX,CALIFORNIA A EXPRESS
1033,1,1,23,7,24300,67140,12,9.9,0.2,13,13.3,7.4,18.0,2309.9591000000000000193,1AX,CALIFORNIA A EXPRESS
1034,1,0,27,7,24240,67080,12,13.7,3.9,10,10.6,4.8,15.0,1817.5099500000000000000,1BX,CALIFORNIA B EXPRESS
1034,1,1,27,7,24240,67080,12,8.0,1.5,17,10.8,5.1,15.0,1934.3135500000000000000,1BX,CALIFORNIA B EXPRESS
1038,1,0,26,8,24600,70200,13,14.5,3.8,15,14.4,8.2,13.0,3626.6806916666666665573,38AX,GEARY A EXPRESS
1038,1,1,26,8,24600,70200,13,10.2,0.6,11,14.3,8.3,15.0,3143.3151785714285713817,38AX,GEARY A EXPRESS
1039,1,0,25,8,24360,69600,13,14.8,3.3,14,12.9,6.5,16.0,2295.2126133333333334427,38BX,GEARY B EXPRESS
1039,1,1,25,8,24360,69600,13,10.6,1.1,11,12.5,6.7,19.0,1958.1919388888888889618,38BX,GEARY B EXPRESS
1045,1,0,204,21,19980,91080,20,11.9,3.4,103,10.1,4.9,28.9,932.5839940828402365385,45,UNION- STOCKTON
1045,1,1,204,21,19980,91080,20,12.0,3.6,101,10.0,5.4,29.9,990.2678729729729729109,45,UNION- STOCKTON
1071,1,0,141,21,20340,90600,20,13.9,5.1,67,11.7,10.7,57.0,1005.6675125000000000000,71,HAIGHT-NORIEGA
1071,1,1,141,21,20340,90600,20,14.0,5.6,74,11.1,10.2,59.0,929.9485379310344829057,71,HAIGHT-NORIEGA
1072,1,0,25,9,24540,68880,12,10.1,0.6,15,10.6,10.7,52.0,1104.2623666666666667117,71L,HAIGHT-NORIEGA LIMITED
1072,1,1,25,9,24540,68880,12,10.1,0.3,10,11.4,10.5,53.0,1068.5964615384615384363,71L,HAIGHT-NORIEGA LIMITED
1080,1,1,1,1,25500,26580,0,,,1,7.8,2.3,6.0,2461.8655400000000000000,80X,GATEWAY EXPRESS
1081,1,1,6,4,24300,33720,3,28.6,12.3,6,9.7,2.6,8.0,1938.9772571428571427634,81X,CALTRAIN EXPRESS
1082,1,0,24,8,21840,66420,12,15.8,2.0,12,10.1,3.4,9.0,2211.1889375000000000000,82X,LEVI PLAZA  EXPRESS
1082,1,1,24,8,21840,66420,12,16.4,9.9,12,10.7,3.2,11.0,1696.3098100000000000000,82X,LEVI PLAZA  EXPRESS
1102,1,0,2,3,88920,104160,4,,,1,18.5,11.7,45.0,1375.7158431818181817287,K-OWL,
1102,1,1,2,3,88920,104160,4,,,1,17.7,8.3,29.0,1547.2375750000000000000,K-OWL,
1103,1,0,16,5,90120,105960,4,33.2,12.0,8,18.6,10.6,47.4,1203.9969981132075470460,L-OWL,
1103,1,1,16,5,90120,105960,4,30.0,0.0,8,18.4,11.6,50.0,1245.4943836734693875944,L-OWL,
1105,1,0,17,6,89340,106380,5,30.0,0.0,8,15.3,12.0,56.0,1144.8124854545454544858,N-OWL,
1105,1,1,17,6,89340,106380,5,30.0,0.0,9,16.3,12.0,56.0,1146.7512581818181817287,N-OWL,
