stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
3003,1,1,1,48,2nd St & Brannan St,37.781827,-122.391945
3004,1,0,1,43,2nd St & Brannan St,37.781854,-122.392232
3008,1,0,2,92,2nd St & Folsom St,37.785318,-122.396562
3009,1,1,1,48,2nd St & Harrison St,37.784532,-122.395325
3010,1,0,1,43,2nd St & Harrison St,37.784095,-122.395016
3011,1,0,2,92,2nd St & Howard St,37.786559,-122.398109
3012,1,0,1,22,2nd St & Market St,37.789067,-122.401306
3012,1,1,1,24,2nd St & Market St,37.789067,-122.401306
3013,1,0,2,92,2nd St & Stevenson St,37.78862,-122.40065
3015,1,0,1,43,2nd St & Townsend St,37.780622,-122.390685
3016,1,0,1,10,3rd St & 4th St,37.772618,-122.389786
3018,1,0,1,52,Bacon St & San Bruno Ave,37.727739,-122.40324
3019,1,1,1,53,Bacon St & San Bruno Ave,37.727645,-122.403269
3020,1,0,1,52,Bacon St & Somerset St,37.72667,-122.40746
3021,1,1,1,52,Bacon St & Somerset St,37.72654,-122.40766
3023,1,0,1,91,BOWLEY ST & GIBSON RD,37.790249,-122.482263
3024,1,0,2,150,Baker St & Greenwich St,37.797606,-122.445693
3025,1,0,3,104,Battery St & Broadway,37.798311,-122.401093
3026,1,0,1,12,Battery St & Filbert St,37.80216,-122.40184
3029,1,0,1,12,Battery St & Green St,37.80055,-122.40151
3030,1,0,3,104,Battery St & Jackson St,37.79686,-122.40077
3031,1,1,2,125,Bay St & Midway St,37.806094,-122.409161
3032,1,0,2,100,Balboa St & 4th Ave,37.777396,-122.461751
3033,1,1,2,100,Balboa St & 4th Ave,37.777262,-122.461969
3034,1,0,2,100,Balboa St & 6th Ave,37.777289,-122.464158
3035,1,1,2,100,Balboa St & 6th Ave,37.777173,-122.463849
3036,1,0,2,100,Balboa St & 8th Ave,37.777199,-122.466038
3037,1,1,2,100,Balboa St & 8th Ave,37.777065,-122.466256
3038,1,0,2,100,Balboa St & 10th Ave,37.777101,-122.46817
3039,1,1,2,100,Balboa St & 10th Ave,37.776967,-122.468388
3040,1,0,2,100,Balboa St & 12th Ave,37.777002,-122.470313
3041,1,1,2,100,Balboa St & 12th Ave,37.776868,-122.470531
3042,1,1,1,10,Balboa St & 14th Ave,37.77678,-122.4727
3043,1,0,2,101,Balboa St & 17th Ave,37.77676,-122.475769
3044,1,1,2,98,Balboa St & 17th Ave,37.776626,-122.475987
3045,1,0,2,101,Balboa St & 19th Ave,37.776662,-122.477912
3046,1,1,2,98,Balboa St & 19th Ave,37.776528,-122.47813
3047,1,0,2,101,Balboa St & 21st Ave,37.776563,-122.480056
3048,1,1,2,98,Balboa St & 21st Ave,37.776429,-122.480273
3049,1,0,2,101,Balboa St & 23rd Ave,37.77647,-122.48219
3050,1,1,2,98,Balboa St & 23rd Ave,37.77633,-122.482417
