route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
1010,3003,1,1,18.9,2.6,2nd St & Brannan St,37.781827,-122.391945,10,Townsend
1010,3004,1,0,19.0,3.1,2nd St & Brannan St,37.781854,-122.392232,10,Townsend
1010,3008,1,0,19.1,3.1,2nd St & Folsom St,37.785318,-122.396562,10,Townsend
1012,3008,1,0,21.6,3.6,2nd St & Folsom St,37.785318,-122.396562,12,FOLSOM/PACIFIC
1010,3009,1,1,18.9,2.6,2nd St & Harrison St,37.784532,-122.395325,10,Townsend
1010,3010,1,0,19.0,3.1,2nd St & Harrison St,37.784095,-122.395016,10,Townsend
1010,3011,1,0,19.0,3.0,2nd St & Howard St,37.786559,-122.398109,10,Townsend
1012,3011,1,0,21.6,3.6,2nd St & Howard St,37.786559,-122.398109,12,FOLSOM/PACIFIC
1900,3012,1,0,16.5,2.8,2nd St & Market St,37.789067,-122.401306,9,SAN Bruno
1900,3012,1,1,15.6,2.9,2nd St & Market St,37.789067,-122.401306,9,SAN Bruno
1010,3013,1,0,19.0,3.0,2nd St & Stevenson St,37.78862,-122.40065,10,Townsend
1012,3013,1,0,21.6,3.6,2nd St & Stevenson St,37.78862,-122.40065,12,FOLSOM/PACIFIC
1010,3015,1,0,19.0,3.1,2nd St & Townsend St,37.780622,-122.390685,10,Townsend
7813,3016,1,0,30.0,0.0,3rd St & 4th St,37.772618,-122.389786,91,OWL
7802,3018,1,0,21.7,3.7,Bacon St & San Bruno Ave,37.727739,-122.40324,54,FELTON
7802,3019,1,1,21.3,4.4,Bacon St & San Bruno Ave,37.727645,-122.403269,54,FELTON
7802,3020,1,0,21.6,3.7,Bacon St & Somerset St,37.72667,-122.40746,54,FELTON
7802,3021,1,1,21.7,3.7,Bacon St & Somerset St,37.72654,-122.40766,54,FELTON
7786,3023,1,0,12.0,4.1,BOWLEY ST & GIBSON RD,37.790249,-122.482263,29,SUNSET
1045,3024,1,0,11.9,3.4,Baker St & Greenwich St,37.797606,-122.445693,45,UNION- STOCKTON
7795,3024,1,0,10.2,5.4,Baker St & Greenwich St,37.797606,-122.445693,41,UNION
1010,3025,1,0,19.0,3.0,Battery St & Broadway,37.798311,-122.401093,10,Townsend
1012,3025,1,0,21.6,3.6,Battery St & Broadway,37.798311,-122.401093,12,FOLSOM/PACIFIC
1082,3025,1,0,15.8,2.0,Battery St & Broadway,37.798311,-122.401093,82X,LEVI PLAZA  EXPRESS
1082,3026,1,0,15.8,2.0,Battery St & Filbert St,37.80216,-122.40184,82X,LEVI PLAZA  EXPRESS
1082,3029,1,0,15.8,2.0,Battery St & Green St,37.80055,-122.40151,82X,LEVI PLAZA  EXPRESS
1010,3030,1,0,19.0,3.0,Battery St & Jackson St,37.79686,-122.40077,10,Townsend
1012,3030,1,0,21.6,3.6,Battery St & Jackson St,37.79686,-122.40077,12,FOLSOM/PACIFIC
1082,3030,1,0,15.8,2.0,Battery St & Jackson St,37.79686,-122.40077,82X,LEVI PLAZA  EXPRESS
1109,3031,1,1,8.2,0.9,Bay St & Midway St,37.806094,-122.409161,8BX,Bayshore B Express
1110,3031,1,1,9.7,2.7,Bay St & Midway St,37.806094,-122.409161,8X,Bayshore Express
1032,3032,1,0,13.7,4.0,Balboa St & 4th Ave,37.777396,-122.461751,31BX,BALBOA B EXPRESS
7788,3032,1,0,14.4,3.4,Balboa St & 4th Ave,37.777396,-122.461751,31,BALBOA
1032,3033,1,1,10.2,0.6,Balboa St & 4th Ave,37.777262,-122.461969,31BX,BALBOA B EXPRESS
7788,3033,1,1,14.3,3.6,Balboa St & 4th Ave,37.777262,-122.461969,31,BALBOA
1032,3034,1,0,13.7,4.0,Balboa St & 6th Ave,37.777289,-122.464158,31BX,BALBOA B EXPRESS
7788,3034,1,0,14.4,3.4,Balboa St & 6th Ave,37.777289,-122.464158,31,BALBOA
1032,3035,1,1,10.2,0.6,Balboa St & 6th Ave,37.777173,-122.463849,31BX,BALBOA B EXPRESS
7788,3035,1,1,14.3,3.6,Balboa St & 6th Ave,37.777173,-122.463849,31,BALBOA
1032,3036,1,0,13.7,4.0,Balboa St & 8th Ave,37.777199,-122.466038,31BX,BALBOA B EXPRESS
7788,3036,1,0,14.4,3.4,Balboa St & 8th Ave,37.777199,-122.466038,31,BALBOA
1032,3037,1,1,10.2,0.6,Balboa St & 8th Ave,37.777065,-122.466256,31BX,BALBOA B EXPRESS
7788,3037,1,1,14.3,3.6,Balboa St & 8th Ave,37.777065,-122.466256,31,BALBOA
1032,3038,1,0,13.7,4.0,Balboa St & 10th Ave,37.777101,-122.46817,31BX,BALBOA B EXPRESS
7788,3038,1,0,14.4,3.4,Balboa St & 10th Ave,37.777101,-122.46817,31,BALBOA
1032,3039,1,1,10.2,0.6,Balboa St & 10th Ave,37.776967,-122.468388,31BX,BALBOA B EXPRESS
7788,3039,1,1,14.3,3.6,Balboa St & 10th Ave,37.776967,-122.468388,31,BALBOA
1032,3040,1,0,13.7,4.0,Balboa St & 12th Ave,37.777002,-122.470313,31BX,BALBOA B EXPRESS
7788,3040,1,0,14.4,3.4,Balboa St & 12th Ave,37.777002,-122.470313,31,BALBOA
1032,3041,1,1,10.2,0.6,Balboa St & 12th Ave,37.776868,-122.470531,31BX,BALBOA B EXPRESS
7788,3041,1,1,14.3,3.6,Balboa St & 12th Ave,37.776868,-122.470531,31,BALBOA
1031,3042,1,1,10.0,0.0,Balboa St & 14th Ave,37.77678,-122.4727,31AX,BALBOA A EXPRESS
1031,3043,1,0,11.8,2.4,Balboa St & 17th Ave,37.77676,-122.475769,31AX,BALBOA A EXPRESS
7788,3043,1,0,14.4,3.4,Balboa St & 17th Ave,37.77676,-122.475769,31,BALBOA
1031,3044,1,1,10.0,0.0,Balboa St & 17th Ave,37.776626,-122.475987,31AX,BALBOA A EXPRESS
7788,3044,1,1,14.3,3.6,Balboa St & 17th Ave,37.776626,-122.475987,31,BALBOA
1031,3045,1,0,11.8,2.4,Balboa St & 19th Ave,37.776662,-122.477912,31AX,BALBOA A EXPRESS
7788,3045,1,0,14.4,3.4,Balboa St & 19th Ave,37.776662,-122.477912,31,BALBOA
1031,3046,1,1,10.0,0.0,Balboa St & 19th Ave,37.776528,-122.47813,31AX,BALBOA A EXPRESS
7788,3046,1,1,14.3,3.6,Balboa St & 19th Ave,37.776528,-122.47813,31,BALBOA
1031,3047,1,0,11.8,2.4,Balboa St & 21st Ave,37.776563,-122.480056,31AX,BALBOA A EXPRESS
7788,3047,1,0,14.4,3.4,Balboa St & 21st Ave,37.776563,-122.480056,31,BALBOA
1031,3048,1,1,10.0,0.0,Balboa St & 21st Ave,37.776429,-122.480273,31AX,BALBOA A EXPRESS
7788,3048,1,1,14.3,3.6,Balboa St & 21st Ave,37.776429,-122.480273,31,BALBOA
1031,3049,1,0,11.8,2.4,Balboa St & 23rd Ave,37.77647,-122.48219,31AX,BALBOA A EXPRESS
7788,3049,1,0,14.4,3.4,Balboa St & 23rd Ave,37.77647,-122.48219,31,BALBOA
1031,3050,1,1,10.0,0.0,Balboa St & 23rd Ave,37.77633,-122.482417,31AX,BALBOA A EXPRESS
7788,3050,1,1,14.3,3.6,Balboa St & 23rd Ave,37.77633,-122.482417,31,BALBOA
1031,3051,1,0,11.8,2.4,Balboa St & 25th Ave,37.776356,-122.484606,31AX,BALBOA A EXPRESS
7788,3051,1,0,14.4,3.4,Balboa St & 25th Ave,37.776356,-122.484606,31,BALBOA
1031,3052,1,1,10.0,0.0,Balboa St & 25th Ave,37.77624,-122.484296,31AX,BALBOA A EXPRESS
7788,3052,1,1,14.3,3.6,Balboa St & 25th Ave,37.77624,-122.484296,31,BALBOA
1031,3053,1,0,11.8,2.4,Balboa St & 28th Ave,37.776222,-122.487551,31AX,BALBOA A EXPRESS
7788,3053,1,0,14.4,3.4,Balboa St & 28th Ave,37.776222,-122.487551,31,BALBOA
1031,3054,1,1,10.0,0.0,Balboa St & 28th Ave,37.776088,-122.487769,31AX,BALBOA A EXPRESS
7788,3054,1,1,14.3,3.6,Balboa St & 28th Ave,37.776088,-122.487769,31,BALBOA
1031,3055,1,0,11.8,2.4,Balboa St & 30th Ave,37.776114,-122.489958,31AX,BALBOA A EXPRESS
7788,3055,1,0,14.4,3.4,Balboa St & 30th Ave,37.776114,-122.489958,31,BALBOA
1031,3056,1,1,10.0,0.0,Balboa St & 30th Ave,37.775989,-122.489912,31AX,BALBOA A EXPRESS
7788,3056,1,1,14.3,3.6,Balboa St & 30th Ave,37.775989,-122.489912,31,BALBOA
1031,3057,1,0,11.8,2.4,Balboa St & 32nd Ave,37.776024,-122.491838,31AX,BALBOA A EXPRESS
7788,3057,1,0,14.4,3.4,Balboa St & 32nd Ave,37.776024,-122.491838,31,BALBOA
1031,3058,1,1,10.0,0.0,Balboa St & 32nd Ave,37.77589,-122.492056,31AX,BALBOA A EXPRESS
7788,3058,1,1,14.3,3.6,Balboa St & 32nd Ave,37.77589,-122.492056,31,BALBOA
1031,3059,1,1,10.0,0.0,Balboa St & 34th Ave,37.775791,-122.494199,31AX,BALBOA A EXPRESS
