route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
1093,1,1,276,23,11520,93420,23,9.1,3.2,138,14.0,10.9,33.9,1700.3258320846187748819,N,JUDAH
1093,1,0,276,23,11520,93420,23,9.5,5.4,137,14.4,10.9,34.9,1659.0236547145606157120,N,JUDAH
1094,1,0,232,25,10200,94740,23,11.3,3.7,115,15.1,8.3,24.6,1850.2555988950276242677,J,CHURCH
1094,1,1,232,25,10200,94740,23,11.4,8.0,117,13.8,8.2,25.7,1744.9747733795493934688,J,CHURCH
1196,1,0,288,22,14700,93180,22,10.1,3.6,122,14.5,14.5,34.7,2273.8166424883106322574,KT,INGLESIDE/THIRD
1196,1,1,288,22,14700,93180,22,10.4,2.8,122,15.1,15.0,35.9,2271.9603062979410577755,KT,INGLESIDE/THIRD
1197,1,0,30,4,26940,36360,3,9.5,1.6,15,22.7,3.8,7.0,3322.9421166666666665573,S,CASTRO SHUTTLE
1197,1,1,30,4,26940,36360,3,9.5,2.1,15,18.9,3.8,7.0,3322.9421166666666665573,S,CASTRO SHUTTLE
1198,1,1,244,22,15720,92160,21,10.1,3.9,122,16.3,9.5,29.3,1771.9082368909512762551,L,TARAVAL
1198,1,0,244,22,15720,92160,21,10.2,3.8,122,16.8,9.7,29.3,1801.2356869829331788964,L,TARAVAL
1199,1,0,212,22,15240,92340,21,11.6,3.8,104,16.2,11.4,28.0,2223.8131925925925926412,M,OCEAN VIEW
1199,1,1,212,22,15240,92340,21,11.1,3.9,108,15.0,11.1,27.7,2203.1778291666666665573,M,OCEAN VIEW
7820,1,0,398,23,17220,94800,22,6.7,2.9,175,9.5,6.3,27.8,1241.9196033945986497749,F,MARKET & WHARVES
7820,1,1,398,23,17220,94800,22,6.7,3.0,197,8.8,6.3,28.8,1196.3253990415913200575,F,MARKET & WHARVES
1093,2,1,214,22,16980,93240,21,11.5,3.5,106,14.5,11.0,34.2,1698.5811883347421808278,N,JUDAH
1093,2,0,214,22,16980,93240,21,11.6,3.5,107,14.8,11.0,35.1,1662.7966949342825848027,N,JUDAH
1094,2,0,156,23,15660,94620,22,16.0,4.2,78,15.0,8.2,24.6,1846.7629137724550898459,J,CHURCH
1094,2,1,156,23,15660,94620,22,15.6,3.4,78,14.2,8.1,25.6,1745.8857200000000000000,J,CHURCH
1196,2,0,228,24,10200,92880,23,13.8,6.2,98,14.8,14.2,34.2,2261.2599579622839184286,KT,INGLESIDE/THIRD
1196,2,1,228,24,10200,92880,23,13.1,3.8,99,15.6,14.9,35.4,2289.9254067473602883320,KT,INGLESIDE/THIRD
1198,2,1,196,22,16500,91980,21,12.5,4.4,98,16.7,9.6,29.4,1779.0920846347607053624,L,TARAVAL
1198,2,0,196,22,16500,91980,21,12.6,4.4,98,17.0,9.7,29.4,1802.8103261964735515348,L,TARAVAL
1199,2,0,165,22,15180,91800,21,14.6,4.5,81,16.7,11.2,27.8,2209.7400371599815583448,M,OCEAN VIEW
1199,2,1,165,22,15180,91800,21,14.5,4.0,84,15.6,10.9,27.4,2183.7455731707317074051,M,OCEAN VIEW
7820,2,0,398,23,17280,94860,22,6.7,2.9,175,9.5,6.3,27.8,1241.9196033945986497749,F,MARKET & WHARVES
7820,2,1,398,23,17280,94860,22,6.7,3.0,197,8.8,6.3,28.8,1196.3253990415913200575,F,MARKET & WHARVES
1093,3,1,172,20,24660,93300,19,13.1,3.4,84,14.8,10.6,33.1,1695.5123038350217077840,N,JUDAH
1093,3,0,172,20,24660,93300,19,13.3,3.0,86,15.0,10.7,34.0,1664.0742332981344597175,N,JUDAH
1094,3,0,150,22,18300,94620,21,16.6,4.4,75,15.1,8.0,24.2,1825.0166517241379309666,J,CHURCH
1094,3,1,150,22,18300,94620,21,15.8,4.7,75,14.3,8.0,25.3,1728.0676427397260274467,J,CHURCH
1196,3,0,185,23,13140,92880,22,16.7,4.4,78,14.7,13.7,33.2,2239.0719938482113004284,KT,INGLESIDE/THIRD
1196,3,1,185,23,13140,92880,22,16.0,5.9,81,15.6,14.4,34.6,2261.4270187500000000085,KT,INGLESIDE/THIRD
1198,3,1,170,21,18360,91980,20,14.1,4.5,85,16.7,9.2,28.8,1738.9605080304311072585,L,TARAVAL
1198,3,0,170,21,18360,91980,20,14.2,4.1,85,17.1,9.3,28.8,1763.1227294590025358768,L,TARAVAL
1199,3,0,129,20,23520,92340,19,16.7,4.1,64,17.1,11.2,27.7,2205.9625059649122806039,M,OCEAN VIEW
1199,3,1,129,20,23520,92340,19,16.4,3.0,65,16.0,11.1,27.6,2198.0706336805555555191,M,OCEAN VIEW
7820,3,0,398,23,17280,94860,22,6.7,2.9,175,9.5,6.3,27.8,1241.9196033945986497749,F,MARKET & WHARVES
7820,3,1,398,23,17280,94860,22,6.7,3.0,197,8.9,6.3,28.8,1196.3253990415913200575,F,MARKET & WHARVES
