route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
7820,3092,1,0,6.6,3.0,Beach St & Mason St,37.807407,-122.414125,F,MARKET & WHARVES
7820,3095,1,0,6.7,2.9,Beach St & Stockton St,37.807841,-122.41081,F,MARKET & WHARVES
1093,3212,1,1,9.1,3.2,9th Ave & Irving St,37.763913,-122.466241,N,JUDAH
1198,3266,1,0,10.2,3.8,15th Ave & Taraval St,37.743124,-122.471297,L,TARAVAL
1198,3267,1,1,10.1,3.9,15th Ave & Taraval St,37.743069,-122.471405,L,TARAVAL
1198,3268,1,0,10.2,3.8,15th Ave & Ulloa St,37.741525,-122.471192,L,TARAVAL
1198,3269,1,1,10.1,3.9,15th Ave & Ulloa St,37.741484,-122.4713,L,TARAVAL
7820,3308,1,0,16.2,7.8,Church St & 18th St,37.76281,-122.4285,F,MARKET & WHARVES
7820,3311,1,0,7.1,3.5,17th St & Castro St,37.76252,-122.434866,F,MARKET & WHARVES
7820,3311,1,1,6.7,3.0,17th St & Castro St,37.76252,-122.434866,F,MARKET & WHARVES
7820,3318,1,0,16.2,7.8,17th St & Noe St,37.762645,-122.432991,F,MARKET & WHARVES
1199,3358,1,0,11.6,3.8,19th Ave & Holloway Ave,37.721074,-122.475233,M,OCEAN VIEW
1199,3361,1,1,11.1,3.9,19th Ave & Junipero Serra Blvd,37.716889,-122.472275,M,OCEAN VIEW
1199,3376,1,0,11.6,3.8,19th Ave & Randolph St,37.7162,-122.47167,M,OCEAN VIEW
1199,3385,1,1,11.1,3.9,19th Ave & Randolph St,37.714282,-122.469618,M,OCEAN VIEW
1199,3387,1,0,11.6,3.8,19th Ave & Randolph St,37.714443,-122.469998,M,OCEAN VIEW
1199,3403,1,0,11.6,3.8,19th Ave & Winston Dr,37.727017,-122.474937,M,OCEAN VIEW
1094,3537,1,1,11.4,8.0,30th St & Dolores St,37.742304,-122.424026,J,CHURCH
7820,3537,1,1,18.5,10.2,30th St & Dolores St,37.742304,-122.424026,F,MARKET & WHARVES
1094,3538,1,0,11.3,3.7,30th St & Dolores St,37.74217,-122.424457,J,CHURCH
7820,3538,1,0,16.0,7.7,30th St & Dolores St,37.74217,-122.424457,F,MARKET & WHARVES
1198,3599,1,1,10.1,3.9,46th Ave & Taraval St,37.741685,-122.504534,L,TARAVAL
1198,3600,1,0,10.2,3.8,46th Ave & Ulloa St,37.739998,-122.504579,L,TARAVAL
1198,3601,1,1,10.1,3.9,46th Ave & Ulloa St,37.739829,-122.504407,L,TARAVAL
1198,3602,1,0,10.2,3.8,46th Ave & Vicente St,37.738142,-122.50444,L,TARAVAL
1198,3603,1,1,10.1,3.9,46th Ave & Vicente St,37.737973,-122.504268,L,TARAVAL
1199,3715,1,1,11.1,3.9,Broad St & Capitol Ave,37.713191,-122.458921,M,OCEAN VIEW
1199,3716,1,0,11.6,3.8,Broad St & Capitol Ave,37.713152,-122.459159,M,OCEAN VIEW
1199,3717,1,1,11.1,3.9,Broad St & Orizaba Ave,37.713178,-122.462331,M,OCEAN VIEW
1199,3718,1,1,11.2,3.9,Broad St & Plymouth Ave,37.713222,-122.455927,M,OCEAN VIEW
1199,3719,1,0,11.6,3.8,Broad St & Plymouth Ave,37.713161,-122.45618,M,OCEAN VIEW
1093,3909,1,0,9.1,3.1,Carl St & Cole St,37.765863,-122.449804,N,JUDAH
1093,3911,1,1,9.1,3.2,Carl St & Cole St,37.765745,-122.450131,N,JUDAH
1093,3912,1,0,9.1,3.1,Carl St & Hillway Ave,37.765003,-122.456561,N,JUDAH
1093,3913,1,1,9.1,3.2,Carl St & Hillway Ave,37.764932,-122.456512,N,JUDAH
1093,3914,1,0,9.1,3.1,Carl St & Stanyan St,37.765495,-122.45259,N,JUDAH
1093,3915,1,1,9.1,3.2,Carl St & Stanyan St,37.765371,-122.452928,N,JUDAH
1094,3984,1,0,11.3,3.7,Church St & 16th St,37.764621,-122.428722,J,CHURCH
1094,3985,1,1,11.4,8.0,Church St & 16th St,37.764382,-122.428609,J,CHURCH
7820,3985,1,1,,,Church St & 16th St,37.764382,-122.428609,F,MARKET & WHARVES
7820,3986,1,1,18.6,10.1,Church St & 17th St,37.76281,-122.4285,F,MARKET & WHARVES
1094,3987,1,0,11.3,3.7,Church St & 18th St,37.761467,-122.428416,J,CHURCH
7820,3987,1,0,16.1,7.7,Church St & 18th St,37.761467,-122.428416,F,MARKET & WHARVES
1094,3994,1,1,11.4,8.0,Church St & 22nd St,37.754785,-122.427659,J,CHURCH
7820,3994,1,1,18.5,10.1,Church St & 22nd St,37.754785,-122.427659,F,MARKET & WHARVES
1094,3995,1,0,11.3,3.7,Church St & 24th St,37.7518,-122.427497,J,CHURCH
7820,3995,1,0,16.1,7.7,Church St & 24th St,37.7518,-122.427497,F,MARKET & WHARVES
1094,3996,1,1,11.5,8.0,Church St & 24th St,37.751591,-122.42735,J,CHURCH
7820,3996,1,1,18.5,10.1,Church St & 24th St,37.751591,-122.42735,F,MARKET & WHARVES
1094,3997,1,0,11.3,3.7,Church St & 27th St,37.746985,-122.427073,J,CHURCH
7820,3997,1,0,16.1,7.7,Church St & 27th St,37.746985,-122.427073,F,MARKET & WHARVES
1094,3998,1,1,11.5,8.0,Church St & 27th St,37.746781,-122.426893,J,CHURCH
7820,3998,1,1,18.5,10.1,Church St & 27th St,37.746781,-122.426893,F,MARKET & WHARVES
1094,3999,1,1,11.5,8.0,Church St & 29th St,37.743587,-122.426585,J,CHURCH
7820,3999,1,1,18.5,10.1,Church St & 29th St,37.743587,-122.426585,F,MARKET & WHARVES
1094,4000,1,1,11.5,8.0,Church St & 30th St,37.742222,-122.426459,J,CHURCH
7820,4000,1,1,18.5,10.1,Church St & 30th St,37.742222,-122.426459,F,MARKET & WHARVES
1094,4001,1,0,11.3,3.7,Church St & 30th St,37.742097,-122.426528,J,CHURCH
7820,4001,1,0,16.1,7.7,Church St & 30th St,37.742097,-122.426528,F,MARKET & WHARVES
1094,4002,1,0,11.3,3.7,Church St & Clipper St,37.749388,-122.427289,J,CHURCH
7820,4002,1,0,16.1,7.7,Church St & Clipper St,37.749388,-122.427289,F,MARKET & WHARVES
1094,4003,1,1,11.5,8.0,Church St & Clipper St,37.749182,-122.427122,J,CHURCH
7820,4003,1,1,18.5,10.1,Church St & Clipper St,37.749182,-122.427122,F,MARKET & WHARVES
1094,4004,1,0,11.3,3.7,Church St & Day St,37.742811,-122.426654,J,CHURCH
7820,4004,1,0,16.1,7.7,Church St & Day St,37.742811,-122.426654,F,MARKET & WHARVES
1094,4006,1,1,11.4,8.0,Church St & Duboce Ave,37.769302,-122.429087,J,CHURCH
1093,4447,1,0,9.1,3.1,Duboce Ave & Church St,37.769472,-122.429408,N,JUDAH
1093,4448,1,1,9.1,3.2,Duboce Ave & Church St,37.769409,-122.4294,N,JUDAH
7820,4501,1,1,6.7,3.0,The Embarcadero & Bay St,37.806945,-122.406278,F,MARKET & WHARVES
7820,4502,1,0,6.7,2.9,The Embarcadero & Bay St,37.806629,-122.40603,F,MARKET & WHARVES
7820,4503,1,1,6.7,3.0,THE EMBARCADERO & BROADWAY,37.799552,-122.397869,F,MARKET & WHARVES
7820,4504,1,0,6.7,2.9,THE EMBARCADERO & BROADWAY,37.798901,-122.397434,F,MARKET & WHARVES
1093,4506,1,1,9.0,2.7,The Embarcadero & Brannan St,37.784359,-122.388138,N,JUDAH
1094,4506,1,1,30.0,,The Embarcadero & Brannan St,37.784359,-122.388138,J,CHURCH
1196,4506,1,1,11.1,3.2,The Embarcadero & Brannan St,37.784359,-122.388138,KT,INGLESIDE/THIRD
1093,4509,1,1,9.0,2.6,The Embarcadero & Folsom St,37.790481,-122.389692,N,JUDAH
1094,4509,1,1,29.0,,The Embarcadero & Folsom St,37.790481,-122.389692,J,CHURCH
1196,4509,1,1,11.1,3.1,The Embarcadero & Folsom St,37.790481,-122.389692,KT,INGLESIDE/THIRD
1093,4510,1,0,9.4,3.2,The Embarcadero & Folsom St,37.790749,-122.389841,N,JUDAH
1196,4510,1,0,10.9,3.4,The Embarcadero & Folsom St,37.790749,-122.389841,KT,INGLESIDE/THIRD
7820,4513,1,1,6.7,3.0,THE EMBARCADERO/Ferry Building,37.795105,-122.393861,F,MARKET & WHARVES
7820,4515,1,1,6.7,3.0,The Embarcadero & Greenwich St,37.803263,-122.401113,F,MARKET & WHARVES
7820,4516,1,0,6.7,2.9,The Embarcadero & Greenwich St,37.80296,-122.401029,F,MARKET & WHARVES
7820,4517,1,1,6.7,3.0,The Embarcadero & Green St,37.801264,-122.399369,F,MARKET & WHARVES
7820,4518,1,0,6.7,2.9,The Embarcadero & Green St,37.800605,-122.39892,F,MARKET & WHARVES
7820,4529,1,0,6.7,2.9,The Embarcadero & Sansome St,37.805022,-122.403314,F,MARKET & WHARVES
7820,4530,1,1,6.7,3.0,The Embarcadero & Stockton St,37.808351,-122.410287,F,MARKET & WHARVES
7820,4532,1,1,6.7,3.0,The Embarcadero & Washington St,37.797085,-122.39567,F,MARKET & WHARVES
7820,4534,1,0,6.7,2.9,The Embarcadero & Washington St,37.796355,-122.395181,F,MARKET & WHARVES
7820,4726,1,0,6.7,2.9,Don Chee Way/Steuart St,37.794105,-122.393874,F,MARKET & WHARVES
7820,4727,1,1,6.7,3.0,Don Chee Way/Steuart St,37.7939,-122.39345,F,MARKET & WHARVES
1094,4787,1,1,11.4,8.0,San Jose Ave/Glen Park Station,37.732525,-122.433416,J,CHURCH
7820,4787,1,1,18.5,10.2,San Jose Ave/Glen Park Station,37.732525,-122.433416,F,MARKET & WHARVES
1094,4788,1,0,11.3,3.7,San Jose Ave/Glen Park Station,37.732401,-122.433855,J,CHURCH
7820,4788,1,0,16.0,7.7,San Jose Ave/Glen Park Station,37.732401,-122.433855,F,MARKET & WHARVES
1093,5118,1,0,9.1,3.1,Irving St & 2nd Ave,37.764441,-122.458643,N,JUDAH
1093,5119,1,0,9.1,3.1,Irving St & 4th Ave,37.764299,-122.460824,N,JUDAH
1093,5120,1,1,9.1,3.2,Irving St & 4th Ave,37.764226,-122.461061,N,JUDAH
1093,5121,1,0,9.1,3.1,Irving St & 7th Ave,37.764155,-122.464034,N,JUDAH
1093,5122,1,1,9.1,3.2,Irving St & 7th Ave,37.764092,-122.464282,N,JUDAH
1093,5123,1,0,9.1,3.1,Irving St & 9th Ave,37.764106,-122.466165,N,JUDAH
1093,5124,1,1,9.1,3.2,Irving St & Arguello Blvd,37.764366,-122.458024,N,JUDAH
7820,5174,1,1,6.7,3.0,Jefferson St & Powell St,37.808594,-122.413357,F,MARKET & WHARVES
7820,5175,1,1,6.7,3.0,Jefferson St & Taylor St,37.80832,-122.415514,F,MARKET & WHARVES
7820,5184,1,0,6.7,2.9,Jones St & Beach St,37.807248,-122.417366,F,MARKET & WHARVES
7820,5184,1,1,6.7,3.0,Jones St & Beach St,37.807248,-122.417366,F,MARKET & WHARVES
1093,5193,1,0,9.1,3.1,Judah St & 9th Ave,37.762227,-122.466688,N,JUDAH
1093,5194,1,1,9.1,3.2,Judah St & 9th Ave,37.762139,-122.466312,N,JUDAH
1093,5195,1,0,9.1,3.1,Judah St & 12th Ave,37.762069,-122.469324,N,JUDAH
1093,5196,1,1,9.1,3.2,Judah St & 12th Ave,37.761988,-122.469526,N,JUDAH
1093,5197,1,1,9.1,3.2,Judah St & 15th Ave,37.761848,-122.472777,N,JUDAH
1093,5198,1,0,9.1,3.1,Judah St & 16th Ave,37.761913,-122.473781,N,JUDAH
1093,5199,1,0,9.1,3.1,Judah St & 19th Ave,37.76174,-122.476825,N,JUDAH
1093,5200,1,1,9.1,3.2,Judah St & 19th Ave,37.761655,-122.477194,N,JUDAH
1093,5201,1,1,9.1,3.2,Judah St & 22nd Ave,37.761534,-122.479855,N,JUDAH
1093,5202,1,0,9.0,3.1,Judah St & 23rd Ave,37.761547,-122.481164,N,JUDAH
1093,5203,1,0,9.0,3.1,Judah St & 25th Ave,37.761452,-122.4833,N,JUDAH
1093,5204,1,1,9.1,3.2,Judah St & 25th Ave,37.761373,-122.48356,N,JUDAH
1093,5205,1,0,9.0,3.1,Judah St & 28th Ave,37.76131,-122.48651,N,JUDAH
1093,5206,1,1,9.1,3.2,Judah St & 28th Ave,37.761232,-122.486763,N,JUDAH
1093,5207,1,0,9.0,3.1,Judah St & 31st Ave,37.761172,-122.489719,N,JUDAH
1093,5208,1,1,9.1,3.2,Judah St & 31st Ave,37.761105,-122.4895,N,JUDAH
1093,5209,1,0,9.0,3.1,Judah St & 34th Ave,37.761028,-122.49293,N,JUDAH
1093,5210,1,1,9.1,3.2,Judah St & 34th Ave,37.760955,-122.493199,N,JUDAH
1093,5211,1,0,9.0,3.2,Judah St & 40th Ave,37.760743,-122.499359,N,JUDAH
1093,5212,1,1,9.1,3.2,Judah St & 40th Ave,37.760679,-122.499154,N,JUDAH
1093,5213,1,0,9.0,3.2,Judah St & 43rd Ave,37.760598,-122.502574,N,JUDAH
1093,5214,1,1,9.0,3.2,Judah St & 43rd Ave,37.760518,-122.502839,N,JUDAH
