route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
10425,1,0,59,21,16500,89400,20,35.8,16.7,31,30.3,34.3,39.4,4699.7377894869638352014,124,Chesterbrook to 13th & Market
10425,1,1,59,21,16500,89400,20,40.4,15.8,28,29.8,34.7,46.5,4027.9710686567164179888,124,Chesterbrook to 13th & Market
10426,1,0,25,16,20400,74460,15,69.7,16.6,12,29.1,24.9,53.0,2501.1315384615384615637,127,Trenton TC to Oxford Valley Mall
10426,1,1,25,16,20400,74460,15,70.8,16.6,13,28.4,24.2,54.0,2401.4072339622641508753,127,Trenton TC to Oxford Valley Mall
10427,1,0,21,15,21900,72180,14,72.0,13.3,11,26.3,31.8,63.0,2695.9077370967741934743,128,Neshaminy to Oxford Valley Mall
10427,1,1,21,15,21900,72180,14,70.2,12.0,10,25.0,31.5,70.0,2408.3063057971014491232,128,Neshaminy to Oxford Valley Mall
10428,1,0,34,19,20640,83400,17,60.2,5.6,17,26.7,33.5,77.8,2299.1802348659003832637,129,Frankford-Knights to Oxford Valley
10428,1,1,34,19,20640,83400,17,59.9,1.2,17,24.5,33.8,80.0,2256.6967189873417722848,129,Frankford-Knights to Oxford Valley
10429,1,0,32,19,19920,85080,18,60.1,3.8,16,23.4,29.9,63.9,2481.2453350546176763906,130,BCCC to Frankford & Knights
10429,1,1,32,19,19920,85080,18,60.0,6.3,16,24.7,29.6,67.3,2337.2409142318567390681,130,BCCC to Frankford & Knights
10430,1,0,40,13,21600,68340,13,38.1,14.3,20,16.4,7.6,23.0,1831.9493327272727272429,131,Audubon to Norristown TC
10430,1,1,40,13,21600,68340,13,38.3,15.2,20,18.2,8.7,26.8,1540.9025744186046511399,131,Audubon to Norristown TC
10431,1,0,32,20,17400,83220,18,61.6,6.7,16,24.7,19.2,43.0,2412.3474380952380951756,132,Telford to Montgomery Mall
10431,1,1,32,20,17400,83220,18,61.0,6.2,16,25.2,19.7,53.0,1997.6116115384615384363,132,Telford to Montgomery Mall
10432,1,0,8,9,23640,64380,11,65.3,9.5,4,26.3,6.6,21.0,1737.0762350000000000000,133,Frankford & Knights to Bensalem
10432,1,1,8,9,23640,64380,11,60.0,0.0,4,25.2,6.7,26.0,1409.5963440000000000000,133,Frankford & Knights to Bensalem
10434,1,0,32,20,16380,82980,19,62.5,11.0,15,25.5,25.8,45.5,2982.2806673652694609246,139,Limerick to King of Prussia
10434,1,1,32,20,16380,82980,19,64.9,13.3,17,27.2,24.5,54.6,2411.7961848684210525107,139,Limerick to King of Prussia
10435,1,0,12,13,34200,87540,15,90.0,0.0,4,41.2,28.8,8.0,21736.5312571428571427634,150,Parx Casino to Plymouth Meeting
10435,1,1,12,13,34200,87540,15,65.0,19.3,8,41.6,28.6,4.0,50395.285066666665573,150,Parx Casino to Plymouth Meeting
10436,1,0,38,13,22320,68160,13,41.2,13.9,19,26.0,4.3,10.0,2343.1443777777777779236,201,Ft Wash Office Ctr to Fort Wash Sta
10436,1,1,38,13,22320,68160,13,41.3,13.3,19,24.3,4.0,10.0,2294.6949444444444444809,201,Ft Wash Office Ctr to Fort Wash Sta
10437,1,0,32,13,23220,66180,12,42.2,15.3,14,31.4,9.1,18.6,2740.7473390243902437744,206,Great Valley Corp Ctr to Paoli Sta
10437,1,1,32,13,23220,66180,12,39.8,16.2,18,28.5,8.6,18.7,2572.9849622641509435448,206,Great Valley Corp Ctr to Paoli Sta
10438,1,0,33,18,21600,84060,17,57.5,11.4,17,17.7,11.6,45.0,1388.3547113636363636118,90,Plymouth Meeting to Norristown TC
10438,1,1,33,18,21600,84060,17,60.0,5.0,16,17.7,12.0,51.0,1259.0640640000000000000,90,Plymouth Meeting to Norristown TC
10440,1,0,11,17,21300,79200,16,13.6,22.2,10,29.5,41.4,93.6,2334.1608876068376067675,92,Exton To King of Prussia
10440,1,1,11,17,21300,79200,16,62.5,7.7,6,28.2,34.2,79.3,2303.2452459574468085246,92,Exton To King of Prussia
