stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10,1,1,2,170,Roosevelt Blvd & Woodward St,40.071366,-75.038257
1003,1,0,1,77,Oak Lane Rd & Cheltenham Av,40.054585,-75.125175
1006,1,0,1,157,Frankford Av & Princeton Av,40.034863,-75.044581
1007,1,0,1,157,Frankford Av & Knorr St,40.032445,-75.050919
1008,1,0,2,90,Cottman Av & Oxford Av,40.061413,-75.083716
101,1,0,4,220,Pier 70 WalMart & Home Depot,39.925729,-75.14167
101,1,1,4,221,Pier 70 WalMart & Home Depot,39.925729,-75.14167
1019,1,1,2,64,State Rd & Rhawn St,40.031372,-75.021653
10200,1,0,1,72,Manayunk Av & Hermit St,40.021716,-75.212431
10205,1,0,1,72,Manayunk Av & Monastery Av,40.028893,-75.218238
10206,1,0,1,72,Manayunk Av & Pennsdale St,40.026122,-75.215681
10207,1,0,1,72,Manayunk Av & Rector St,40.026792,-75.216187
1023,1,1,1,78,Cottman Av & Roosevelt Blvd,40.044209,-75.053978
1024,1,1,2,91,Cottman Av & Bustleton Av - FS,40.04777,-75.060014
1025,1,1,1,13,Cottman Av & Loretto Av,40.052255,-75.067665
10259,1,0,7,386,Market St & 11th St - MBNS,39.951668,-75.159208
10264,1,1,3,292,Market St & 13th St,39.952056,-75.161309
1027,1,0,1,58,Cottman Av & Whitaker Av - FS,40.057601,-75.07691
1027,1,1,2,91,Cottman Av & Whitaker Av - FS,40.057601,-75.07691
10275,1,0,7,432,Market St & 19th St,39.953229,-75.171791
10275,1,1,2,58,Market St & 19th St,39.953229,-75.171791
10282,1,0,2,61,Market St & 23rd St,39.95408,-75.177681
10282,1,1,3,115,Market St & 23rd St,39.95408,-75.177681
1029,1,0,1,46,Central Av & Cottman Av - FS,40.06547,-75.090027
1030,1,1,1,78,Oak Lane Rd & Cheltenham Av,40.054948,-75.124584
1032,1,0,1,60,Bridge St & Thompson St,40.004174,-75.06714
10329,1,0,4,358,Market St & 6th St,39.950605,-75.150592
10331,1,0,4,358,Market St & 7th St,39.950805,-75.152185
10340,1,0,5,363,Market St & 9th St,39.95125,-75.155667
1037,1,1,1,60,Richmond St & Westmoreland St - FS,39.984198,-75.099104
1041,1,0,1,59,Wyoming Av & 5th St,40.022724,-75.133325
1045,1,1,1,59,Wyoming Av & Broad St,40.024543,-75.148129
10485,1,0,1,19,McNulty Rd & Southampton Rd,40.109646,-74.98666
10485,1,1,2,19,McNulty Rd & Southampton Rd,40.109646,-74.98666
105,1,0,1,99,Oregon Av & 24th St,39.919705,-75.188106
105,1,1,1,48,Oregon Av & 24th St,39.919705,-75.188106
1051,1,0,1,13,Willow Grove Av & Wyndmoor St - FS,40.073805,-75.197617
