route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
10430,1,0,4,3,29220,42780,4,,,2,18.1,8.9,25.0,1951.8669000000000000000,131,Audubon to Norristown TC
10430,1,1,4,3,29220,42780,4,,,2,18.6,7.4,24.0,1699.3725521739130434212,131,Audubon to Norristown TC
10440,1,0,28,18,21300,80340,16,33.6,33.5,27,28.3,41.4,93.6,2334.4515366412213739356,92,Exton To King of Prussia
10440,1,1,28,18,21300,80340,16,62.1,20.4,14,27.3,35.2,80.6,2337.0053473070017954847,92,Exton To King of Prussia
10443,1,0,3,3,54540,63000,2,,,1,10.8,4.9,10.0,2687.2483666666666665573,95,Swedeland to Willow Grove Park Mall
10443,1,1,3,3,54540,63000,2,,,2,19.5,8.6,12.0,3985.1324272727272727571,95,Swedeland to Willow Grove Park Mall
10444,1,0,4,5,73800,87180,4,,,2,25.9,21.6,47.0,2472.3618869565217391447,96,Lansdale to Norristown TC
10444,1,1,4,5,73800,87180,4,,,2,29.1,20.4,40.5,2709.2006101265822784644,96,Lansdale to Norristown TC
10465,1,0,144,22,15900,92280,21,17.7,12.3,72,20.4,9.8,30.9,1727.3479023687877381518,101,Media to 69th St Trans Center
10465,1,1,144,22,15900,92280,21,17.4,12.3,72,19.4,9.8,29.0,1841.9195316129032257747,101,Media to 69th St Trans Center
10467,1,0,122,22,16380,93540,21,20.7,12.7,61,16.9,6.6,25.7,1401.9117245195493703529,102,Sharon Hill to 69th St Trans Center
10467,1,1,122,22,16380,93540,21,20.6,12.2,61,15.5,6.5,21.8,1662.0333400315208824407,102,Sharon Hill to 69th St Trans Center
10489,1,0,238,23,15600,96660,23,13.4,10.6,119,36.4,15.8,17.6,5045.0172484525621513193,NHSL,Norristown TC to 69th St TC
10489,1,1,238,23,15600,96660,23,14.2,10.7,119,37.4,15.8,18.5,4780.6409913461538462548,NHSL,Norristown TC to 69th St TC
10500,1,0,280,25,1020,89160,24,10.7,7.8,140,12.5,7.4,37.4,1078.5701146897093480399,10,13th-Market to 63rd-Malvern
10500,1,1,280,25,1020,89160,24,10.7,7.7,140,13.9,7.5,38.3,1053.5155130368098160415,10,13th-Market to 63rd-Malvern
10502,1,0,230,23,16200,93720,22,10.9,5.4,115,13.0,8.6,48.7,948.8118134257570228852,11,13th-Market to Darby Trans Cntr
10502,1,1,230,23,16200,93720,22,10.9,5.4,115,13.7,8.7,47.9,974.4198416867469878767,11,13th-Market to Darby Trans Cntr
10504,1,0,292,25,480,88920,25,10.2,7.7,146,14.1,7.9,41.4,1028.8557575593220338705,13,13th-Market to Yeadon-Darby
10504,1,1,292,25,480,88920,25,10.1,7.6,146,15.2,7.9,42.8,1002.3272004593175853337,13,13th-Market to Yeadon-Darby
10532,1,0,306,25,60,88500,25,9.9,7.1,153,14.5,8.9,46.6,1026.7409129998566717960,36,13th-Market to 80th-Eastwick
10532,1,1,306,25,60,88500,25,9.9,7.4,153,14.9,8.9,43.7,1099.4231871150605180017,36,13th-Market to 80th-Eastwick
10610,1,0,192,26,1800,91440,25,14.8,6.1,96,13.1,8.6,45.0,1021.8674500000000000000,15,63rd-Girard to Richmond-Westmorelnd
10610,1,1,192,26,1800,91440,25,14.8,5.8,96,12.2,8.2,41.0,1087.5120575000000000000,15,63rd-Girard to Richmond-Westmorelnd
10619,1,0,7,9,52500,82440,8,,,4,28.5,25.4,45.5,3015.9947359550561797974,93,Pottstown to Norristown TC
10619,1,1,7,9,52500,82440,8,,,3,31.6,30.6,65.0,2517.7317421875000000000,93,Pottstown to Norristown TC
10802,1,0,70,11,22800,69060,13,13.0,7.2,35,16.0,3.8,10.6,2109.7407847761194031075,34,Angora To Center City
10802,1,1,70,11,22800,69060,13,13.0,7.3,35,16.1,4.8,10.5,2658.6447009036144577325,34,Angora To Center City
10434,5,0,17,17,26100,83640,16,89.0,1.7,8,27.8,25.6,46.0,2935.8433569444444444809,139,Limerick to King of Prussia
10434,5,1,17,17,26100,83640,16,88.0,2.8,9,28.3,24.5,54.7,2412.4405016563146998901,139,Limerick to King of Prussia
10440,5,0,20,16,25200,80640,15,29.3,39.6,19,31.8,36.1,84.9,2247.7264320754716982494,92,Exton To King of Prussia
10440,5,1,20,16,25200,80640,15,90.0,0.0,10,33.0,37.2,88.7,2241.9563092360319271807,92,Exton To King of Prussia
10465,5,0,68,22,19800,93600,21,35.4,12.3,34,22.4,11.1,35.0,1726.2016499999999998456,101,Media to 69th St Trans Center
10465,5,1,68,22,19800,93600,21,35.4,12.0,34,21.3,11.1,33.0,1830.8287593750000000000,101,Media to 69th St Trans Center
10467,5,0,70,21,18180,90720,20,34.1,10.2,35,19.1,6.6,26.0,1400.5276600000000000000,102,Sharon Hill to 69th St Trans Center
10467,5,1,70,21,18180,90720,20,34.3,8.9,35,18.6,6.6,22.0,1662.3264619047619048244,102,Sharon Hill to 69th St Trans Center
10489,5,0,110,23,17100,95640,22,23.6,9.7,55,38.0,17.3,21.8,4387.3586539807524058973,NHSL,Norristown TC to 69th St TC
10489,5,1,110,23,17100,95640,22,23.5,8.6,55,38.8,17.3,21.8,4387.3589410323709535243,NHSL,Norristown TC to 69th St TC
10500,5,0,146,25,1020,89160,24,19.5,6.3,73,13.3,7.6,38.0,1083.8118432432432431457,10,13th-Market to 63rd-Malvern
10500,5,1,146,25,1020,89160,24,19.5,6.3,73,14.4,7.7,39.0,1055.1868684210526314408,10,13th-Market to 63rd-Malvern
10502,5,0,132,23,16200,93720,22,19.0,5.6,66,15.0,8.6,48.9,948.0872737575182020367,11,13th-Market to Darby Trans Cntr
10502,5,1,132,23,16200,93720,22,19.0,5.6,66,15.7,8.7,48.0,974.9177361702127659016,11,13th-Market to Darby Trans Cntr
10504,5,0,144,25,480,88920,25,19.8,6.7,72,15.0,7.9,41.8,1027.1953922448979593042,13,13th-Market to Yeadon-Darby
10504,5,1,144,25,480,88920,25,19.8,6.7,72,15.1,8.0,43.2,1007.5082118577075098088,13,13th-Market to Yeadon-Darby
10532,5,0,152,25,60,88380,25,18.8,5.7,76,15.6,9.0,47.3,1023.2861864734299518207,36,13th-Market to 80th-Eastwick
10532,5,1,152,25,60,88380,25,18.8,5.8,76,15.9,9.0,44.5,1091.2809265336959806599,36,13th-Market to 80th-Eastwick
10610,5,0,148,26,1800,91440,25,19.3,6.2,74,13.5,8.6,45.0,1021.8674500000000000000,15,63rd-Girard to Richmond-Westmorelnd
10610,5,1,148,26,1800,91440,25,19.3,5.9,74,13.4,8.2,41.0,1087.5120575000000000000,15,63rd-Girard to Richmond-Westmorelnd
10619,5,0,1,2,24300,25740,0,,,1,35.9,14.4,30.0,2616.5296172413793103222,93,Pottstown to Norristown TC
10465,7,0,64,20,21600,93000,20,36.4,12.7,32,22.7,11.1,35.0,1726.2016499999999998456,101,Media to 69th St Trans Center
10465,7,1,64,20,21600,93000,20,36.4,12.7,32,21.5,11.1,33.0,1830.8287593750000000000,101,Media to 69th St Trans Center
10467,7,0,70,21,18600,90240,20,33.6,9.4,35,19.4,6.6,26.0,1400.5276600000000000000,102,Sharon Hill to 69th St Trans Center
10467,7,1,70,21,18600,90240,20,33.6,8.3,35,19.0,6.6,22.0,1662.3264619047619048244,102,Sharon Hill to 69th St Trans Center
10489,7,0,82,23,17100,95700,22,31.3,9.1,41,39.8,17.2,21.7,4386.6247329799764428303,NHSL,Norristown TC to 69th St TC
10489,7,1,82,23,17100,95700,22,31.2,7.4,41,40.2,17.2,21.7,4386.6251194346289751514,NHSL,Norristown TC to 69th St TC
10500,7,0,132,25,1020,89160,24,23.8,5.4,66,13.4,7.3,37.0,1075.3866911616161617189,10,13th-Market to 63rd-Malvern
10500,7,1,132,25,1020,89160,24,23.8,5.4,66,15.1,7.4,37.8,1052.4961925925925926412,10,13th-Market to 63rd-Malvern
10502,7,0,124,23,16200,93720,22,23.3,5.0,62,15.3,8.4,47.4,952.7182951719346994566,11,13th-Market to Darby Trans Cntr
10502,7,1,124,23,16200,93720,22,23.2,5.2,62,14.9,8.4,46.7,967.3351229357798164656,11,13th-Market to Darby Trans Cntr
10504,7,0,126,25,480,88920,25,24.7,6.2,63,15.8,7.8,41.0,1029.6212862698412699923,13,13th-Market to Yeadon-Darby
10504,7,1,126,25,480,88920,25,24.7,6.4,63,16.3,7.9,42.7,999.2734157093952071826,13,13th-Market to Yeadon-Darby
10532,7,0,130,25,60,88380,25,23.9,5.3,65,16.1,8.8,46.4,1026.0846702170963365198,36,13th-Market to 80th-Eastwick
10532,7,1,130,25,60,88380,25,24.0,5.4,65,16.6,8.8,43.6,1086.8051915162454874120,36,13th-Market to 80th-Eastwick
10610,7,0,146,26,1800,91440,25,19.5,6.0,73,13.5,8.6,45.0,1021.8674500000000000000,15,63rd-Girard to Richmond-Westmorelnd
10610,7,1,146,26,1800,91440,25,19.5,5.7,73,13.4,8.2,41.0,1087.5120575000000000000,15,63rd-Girard to Richmond-Westmorelnd
