stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
10011,1,0,1,61,Magnolia Av Station,39.919383,-75.28701
10011,5,0,1,35,Magnolia Av Station,39.919383,-75.28701
10011,7,0,1,35,Magnolia Av Station,39.919383,-75.28701
10909,5,0,1,8,North Gulph Rd & Freedom Busn Ctr,40.092369,-75.415918
10910,5,0,1,8,North Gulph Rd & Guthrie Rd,40.089896,-75.413304
11055,1,1,1,11,North Warner Rd & North Gulph Rd,40.08503,-75.400883
11055,5,1,1,10,North Warner Rd & North Gulph Rd,40.08503,-75.400883
12048,1,0,1,61,Providence Rd Station,39.921554,-75.288705
12048,5,0,1,35,Providence Rd Station,39.921554,-75.288705
12048,7,0,1,35,Providence Rd Station,39.921554,-75.288705
14656,1,1,1,6,Island Av & Woodland Av,39.917394,-75.246491
14964,1,0,1,14,Swedesford Rd & South Warner Rd,40.081951,-75.403321
14964,5,0,1,10,Swedesford Rd & South Warner Rd,40.081951,-75.403321
14965,1,0,1,14,North Warner Rd & North Gulph Rd,40.085146,-75.400812
14965,5,0,1,10,North Warner Rd & North Gulph Rd,40.085146,-75.400812
14984,5,1,1,9,North Gulph Rd & Guthrie Rd - MBFS,40.089575,-75.412878
14998,1,1,1,11,Market St & High St,39.959675,-75.604554
14998,5,1,1,9,Market St & High St,39.959675,-75.604554
15178,1,1,1,2,Conshohocken Station,40.071908,-75.308114
15271,1,0,1,140,Lansdowne Av & 60th St,39.975833,-75.240354
15271,5,0,1,73,Lansdowne Av & 60th St,39.975833,-75.240354
15271,7,0,1,66,Lansdowne Av & 60th St,39.975833,-75.240354
15319,1,0,2,133,Fairfield Av Station,39.960792,-75.263625
15319,5,0,2,69,Fairfield Av Station,39.960792,-75.263625
15319,7,0,2,67,Fairfield Av Station,39.960792,-75.263625
15322,1,0,2,133,Congress Av Station,39.953029,-75.279066
15322,5,0,2,69,Congress Av Station,39.953029,-75.279066
15322,7,0,2,67,Congress Av Station,39.953029,-75.279066
15325,1,0,1,61,Garrettford Station,39.944034,-75.295864
15325,5,0,1,35,Garrettford Station,39.944034,-75.295864
15325,7,0,1,35,Garrettford Station,39.944034,-75.295864
15326,1,0,1,61,Drexel Manor Station,39.942196,-75.296564
15326,5,0,1,35,Drexel Manor Station,39.942196,-75.296564
15326,7,0,1,35,Drexel Manor Station,39.942196,-75.296564
15327,1,0,1,61,Marshall Rd Station,39.939912,-75.296532
15327,5,0,1,35,Marshall Rd Station,39.939912,-75.296532
15327,7,0,1,35,Marshall Rd Station,39.939912,-75.296532
15328,1,0,1,61,Creek Rd Station,39.935002,-75.295373
15328,5,0,1,35,Creek Rd Station,39.935002,-75.295373
15328,7,0,1,35,Creek Rd Station,39.935002,-75.295373
15329,1,0,1,61,Penn St Station,39.928733,-75.292079
15329,5,0,1,35,Penn St Station,39.928733,-75.292079
15329,7,0,1,35,Penn St Station,39.928733,-75.292079
15330,1,0,1,61,Springfield Rd Station,39.927163,-75.292743
15330,5,0,1,35,Springfield Rd Station,39.927163,-75.292743
15330,7,0,1,35,Springfield Rd Station,39.927163,-75.292743
15333,1,0,1,57,Andrews Av Station,39.911461,-75.28188
15333,5,0,1,35,Andrews Av Station,39.911461,-75.28188
15333,7,0,1,35,Andrews Av Station,39.911461,-75.28188
15339,1,1,1,61,Creek Rd Station,39.935091,-75.295278
15339,5,1,1,35,Creek Rd Station,39.935091,-75.295278
15339,7,1,1,35,Creek Rd Station,39.935091,-75.295278
15340,1,1,1,61,Marshall Rd Station,39.939965,-75.29645
15340,5,1,1,35,Marshall Rd Station,39.939965,-75.29645
15340,7,1,1,35,Marshall Rd Station,39.939965,-75.29645
15344,1,1,2,133,Congress Av Station,39.952895,-75.279019
15344,5,1,2,69,Congress Av Station,39.952895,-75.279019
15344,7,1,2,67,Congress Av Station,39.952895,-75.279019
15349,1,0,1,72,Huey Av Station,39.947445,-75.297581
15349,5,0,1,34,Huey Av Station,39.947445,-75.297581
15349,7,0,1,32,Huey Av Station,39.947445,-75.297581
15355,1,0,1,68,Saxer Av Station,39.928727,-75.333669
15355,5,0,1,34,Saxer Av Station,39.928727,-75.333669
15355,7,0,1,32,Saxer Av Station,39.928727,-75.333669
15358,1,0,1,51,Pine Ridge Station,39.914908,-75.369887
15358,5,0,1,34,Pine Ridge Station,39.914908,-75.369887
15358,7,0,1,32,Pine Ridge Station,39.914908,-75.369887
15366,1,1,1,51,Pine Ridge Station,39.9148,-75.369922
15366,5,1,1,34,Pine Ridge Station,39.9148,-75.369922
15366,7,1,1,32,Pine Ridge Station,39.9148,-75.369922
15370,1,1,1,68,Saxer Av Station,39.928638,-75.333598
15370,5,1,1,34,Saxer Av Station,39.928638,-75.333598
15370,7,1,1,32,Saxer Av Station,39.928638,-75.333598
15376,1,1,1,72,Huey Av Station,39.947374,-75.29764
15376,5,1,1,34,Huey Av Station,39.947374,-75.29764
15376,7,1,1,32,Huey Av Station,39.947374,-75.29764
15379,1,0,1,51,Monroe St Station,39.917753,-75.387566
15379,5,0,1,34,Monroe St Station,39.917753,-75.387566
15379,7,0,1,32,Monroe St Station,39.917753,-75.387566
15380,1,1,1,51,Monroe St Station,39.917681,-75.387743
15380,5,1,1,34,Monroe St Station,39.917681,-75.387743
15380,7,1,1,32,Monroe St Station,39.917681,-75.387743
15497,1,0,2,133,69th Street Transportation Center,39.962064,-75.260244
15497,1,1,2,133,69th Street Transportation Center,39.962064,-75.260244
15497,5,0,2,69,69th Street Transportation Center,39.962064,-75.260244
15497,5,1,2,69,69th Street Transportation Center,39.962064,-75.260244
15497,7,0,2,67,69th Street Transportation Center,39.962064,-75.260244
15497,7,1,2,67,69th Street Transportation Center,39.962064,-75.260244
