route_id,stop_id,service_id,direction_id,avghdwy,stdev_hdwy,stop_name,stop_lat,stop_lon,route_short_name,route_long_name
10467,10011,1,0,21.3,12.4,Magnolia Av Station,39.919383,-75.28701,102,Sharon Hill to 69th St Trans Center
10440,11055,1,1,77.2,9.5,North Warner Rd & North Gulph Rd,40.08503,-75.400883,92,Exton To King of Prussia
10467,12048,1,0,21.3,12.4,Providence Rd Station,39.921554,-75.288705,102,Sharon Hill to 69th St Trans Center
10802,14656,1,1,51.7,26.6,Island Av & Woodland Av,39.917394,-75.246491,34,Angora To Center City
10440,14964,1,0,62.3,17.8,Swedesford Rd & South Warner Rd,40.081951,-75.403321,92,Exton To King of Prussia
10440,14965,1,0,62.4,17.7,North Warner Rd & North Gulph Rd,40.085146,-75.400812,92,Exton To King of Prussia
10440,14998,1,1,70.8,11.3,Market St & High St,39.959675,-75.604554,92,Exton To King of Prussia
10443,15178,1,1,,,Conshohocken Station,40.071908,-75.308114,95,Swedeland to Willow Grove Park Mall
10500,15271,1,0,10.7,7.8,Lansdowne Av & 60th St,39.975833,-75.240354,10,13th-Market to 63rd-Malvern
10465,15319,1,0,17.7,12.3,Fairfield Av Station,39.960792,-75.263625,101,Media to 69th St Trans Center
10467,15319,1,0,20.7,12.7,Fairfield Av Station,39.960792,-75.263625,102,Sharon Hill to 69th St Trans Center
10465,15322,1,0,17.9,12.2,Congress Av Station,39.953029,-75.279066,101,Media to 69th St Trans Center
10467,15322,1,0,20.7,12.6,Congress Av Station,39.953029,-75.279066,102,Sharon Hill to 69th St Trans Center
10467,15325,1,0,21.0,12.5,Garrettford Station,39.944034,-75.295864,102,Sharon Hill to 69th St Trans Center
10467,15326,1,0,20.7,12.7,Drexel Manor Station,39.942196,-75.296564,102,Sharon Hill to 69th St Trans Center
10467,15327,1,0,21.0,12.5,Marshall Rd Station,39.939912,-75.296532,102,Sharon Hill to 69th St Trans Center
10467,15328,1,0,21.0,12.5,Creek Rd Station,39.935002,-75.295373,102,Sharon Hill to 69th St Trans Center
10467,15329,1,0,21.3,12.4,Penn St Station,39.928733,-75.292079,102,Sharon Hill to 69th St Trans Center
10467,15330,1,0,21.0,12.6,Springfield Rd Station,39.927163,-75.292743,102,Sharon Hill to 69th St Trans Center
10467,15333,1,0,22.1,12.0,Andrews Av Station,39.911461,-75.28188,102,Sharon Hill to 69th St Trans Center
10467,15339,1,1,20.6,12.2,Creek Rd Station,39.935091,-75.295278,102,Sharon Hill to 69th St Trans Center
10467,15340,1,1,20.6,12.2,Marshall Rd Station,39.939965,-75.29645,102,Sharon Hill to 69th St Trans Center
10465,15344,1,1,17.4,12.3,Congress Av Station,39.952895,-75.279019,101,Media to 69th St Trans Center
10467,15344,1,1,20.6,12.2,Congress Av Station,39.952895,-75.279019,102,Sharon Hill to 69th St Trans Center
10465,15349,1,0,17.9,12.2,Huey Av Station,39.947445,-75.297581,101,Media to 69th St Trans Center
10465,15355,1,0,19.4,11.9,Saxer Av Station,39.928727,-75.333669,101,Media to 69th St Trans Center
10465,15358,1,0,24.2,10.9,Pine Ridge Station,39.914908,-75.369887,101,Media to 69th St Trans Center
10465,15366,1,1,24.2,10.8,Pine Ridge Station,39.9148,-75.369922,101,Media to 69th St Trans Center
10465,15370,1,1,18.3,12.3,Saxer Av Station,39.928638,-75.333598,101,Media to 69th St Trans Center
10465,15376,1,1,17.2,12.4,Huey Av Station,39.947374,-75.29764,101,Media to 69th St Trans Center
10465,15379,1,0,24.2,10.9,Monroe St Station,39.917753,-75.387566,101,Media to 69th St Trans Center
10465,15380,1,1,24.2,10.8,Monroe St Station,39.917681,-75.387743,101,Media to 69th St Trans Center
10465,15497,1,0,17.7,12.3,69th Street Transportation Center,39.962064,-75.260244,101,Media to 69th St Trans Center
10465,15497,1,1,17.4,12.3,69th Street Transportation Center,39.962064,-75.260244,101,Media to 69th St Trans Center
10467,15497,1,0,20.7,12.7,69th Street Transportation Center,39.962064,-75.260244,102,Sharon Hill to 69th St Trans Center
10467,15497,1,1,20.6,12.2,69th Street Transportation Center,39.962064,-75.260244,102,Sharon Hill to 69th St Trans Center
10619,1562,1,0,,,Ridge Pk & Trooper Rd - MBNS,40.142039,-75.389436,93,Pottstown to Norristown TC
10619,1563,1,0,,,Ridge Pk & Eagleville Plaza - FS,40.157722,-75.404681,93,Pottstown to Norristown TC
10619,1568,1,1,,,Ridge Pk & Eagleville Plaza,40.157336,-75.404347,93,Pottstown to Norristown TC
10619,1570,1,1,,,Main St & Egypt Rd,40.132937,-75.378696,93,Pottstown to Norristown TC
10440,1573,1,0,74.5,16.1,Exton Square Mall 3,40.03105,-75.621467,92,Exton To King of Prussia
10440,1573,1,1,69.0,16.3,Exton Square Mall 3,40.03105,-75.621467,92,Exton To King of Prussia
10440,1576,1,1,61.5,21.7,Marshall St & Montgomery Av - FS,39.972058,-75.601016,92,Exton To King of Prussia
10440,1578,1,1,70.4,11.9,High St & Linden St,39.953249,-75.597594,92,Exton To King of Prussia
10440,1580,1,0,69.2,13.1,High St & Lexington Av,39.942369,-75.59137,92,Exton To King of Prussia
10440,1583,1,0,64.6,17.6,Marshall St & Montgomery Av,39.97188,-75.600933,92,Exton To King of Prussia
10440,1585,1,1,69.2,15.8,Pottstown Pk & US 30,40.019971,-75.623459,92,Exton To King of Prussia
10619,1589,1,0,,,Main St & 9th Av,40.192913,-75.46212,93,Pottstown to Norristown TC
10619,1591,1,0,,,High St & Armand Hammer Blvd,40.244045,-75.613359,93,Pottstown to Norristown TC
10619,1594,1,0,,,Montgomery County Community College,40.244597,-75.654589,93,Pottstown to Norristown TC
10619,1594,1,1,,,Montgomery County Community College,40.244597,-75.654589,93,Pottstown to Norristown TC
