route_id,service_id,direction_id,numtripsperroute_both_dir,hours_of_service,first_departure_sec,last_departure_sec,span_of_service_hrs,route_avg_hdwy,route_stdev_hdwy,trips_per_day,average_speed,average_length_mi,w_avg_num_stops,avg_dist_bw_stops_ft,route_short_name,route_long_name
10605,1,1,628,22,15600,90780,21,5.7,3.1,306,28.2,10.6,13.4,4425.6396794587628866825,BSS,ATT Station to Fern Rock TC
10605,1,0,628,22,15600,90780,21,5.8,3.0,305,28.4,10.6,13.3,4442.2460327652982184892,BSS,ATT Station to Fern Rock TC
10606,1,1,380,21,16800,89640,20,3.9,2.3,360,24.7,17.0,26.7,3368.3971910943993667070,MFL,Frankford TC to 69th St TC
10606,1,0,380,21,16800,89640,20,6.1,2.9,190,25.7,16.5,26.7,3395.6371601963591737595,MFL,Frankford TC to 69th St TC
10605,5,1,312,22,15600,90780,21,7.8,3.3,156,25.0,11.8,17.5,3788.8743263403263401925,BSS,ATT Station to Fern Rock TC
10605,5,0,312,22,15600,90780,21,7.8,3.3,156,24.7,11.8,17.5,3800.4367490066225166634,BSS,ATT Station to Fern Rock TC
10606,5,1,207,21,16800,89640,20,5.8,3.4,200,24.5,17.0,27.8,3236.6130683088749126955,MFL,Frankford TC to 69th St TC
10606,5,0,207,21,16800,89640,20,11.3,2.4,104,25.5,16.6,27.9,3256.0620555912826007730,MFL,Frankford TC to 69th St TC
10605,7,1,214,22,15600,90780,21,11.3,2.2,107,22.0,13.0,21.4,3372.1586962402567629445,BSS,ATT Station to Fern Rock TC
10605,7,0,214,22,15600,90780,21,11.3,2.6,107,21.9,13.0,21.3,3381.8377770929162832394,BSS,ATT Station to Fern Rock TC
10606,7,1,207,21,16800,89640,20,5.8,3.4,200,24.5,17.0,27.8,3236.6130683088749126955,MFL,Frankford TC to 69th St TC
10606,7,0,207,21,16800,89640,20,11.3,2.4,104,25.5,16.6,27.9,3256.0620555912826007730,MFL,Frankford TC to 69th St TC
