stop_id,service_id,direction_id,numroutes,TripsServingStop,stop_name,stop_lat,stop_lon
1272,1,0,1,132,Logan Station,40.030671,-75.14658
1272,1,1,1,133,Logan Station,40.030671,-75.14658
1272,5,0,1,107,Logan Station,40.030671,-75.14658
1272,5,1,1,108,Logan Station,40.030671,-75.14658
1272,7,0,1,103,Logan Station,40.030671,-75.14658
1272,7,1,1,104,Logan Station,40.030671,-75.14658
1273,1,0,1,132,Wyoming Station,40.024569,-75.147892
1273,1,1,1,133,Wyoming Station,40.024569,-75.147892
1273,5,0,1,107,Wyoming Station,40.024569,-75.147892
1273,5,1,1,108,Wyoming Station,40.024569,-75.147892
1273,7,0,1,103,Wyoming Station,40.024569,-75.147892
1273,7,1,1,104,Wyoming Station,40.024569,-75.147892
1274,1,0,1,132,Hunting Park Station,40.016897,-75.14953
1274,1,1,1,133,Hunting Park Station,40.016897,-75.14953
1274,5,0,1,107,Hunting Park Station,40.016897,-75.14953
1274,5,1,1,108,Hunting Park Station,40.016897,-75.14953
1274,7,0,1,103,Hunting Park Station,40.016897,-75.14953
1274,7,1,1,104,Hunting Park Station,40.016897,-75.14953
1276,1,0,1,132,Susquehanna Dauphin Station,39.98704,-75.156097
1276,1,1,1,133,Susquehanna Dauphin Station,39.98704,-75.156097
1276,5,0,1,107,Susquehanna Dauphin Station,39.98704,-75.156097
1276,5,1,1,108,Susquehanna Dauphin Station,39.98704,-75.156097
1276,7,0,1,103,Susquehanna Dauphin Station,39.98704,-75.156097
1276,7,1,1,104,Susquehanna Dauphin Station,39.98704,-75.156097
1277,1,0,1,132,Cecil B Moore Station,39.978591,-75.157843
1277,1,1,1,133,Cecil B Moore Station,39.978591,-75.157843
1277,5,0,1,107,Cecil B Moore Station,39.978591,-75.157843
1277,5,1,1,108,Cecil B Moore Station,39.978591,-75.157843
1277,7,0,1,103,Cecil B Moore Station,39.978591,-75.157843
1277,7,1,1,104,Cecil B Moore Station,39.978591,-75.157843
1278,1,0,1,215,Fairmount Station,39.966959,-75.160391
1278,1,1,1,216,Fairmount Station,39.966959,-75.160391
1278,5,0,1,151,Fairmount Station,39.966959,-75.160391
1278,5,1,1,152,Fairmount Station,39.966959,-75.160391
1278,7,0,1,103,Fairmount Station,39.966959,-75.160391
1278,7,1,1,104,Fairmount Station,39.966959,-75.160391
1279,1,0,1,213,Spring Garden Station,39.962338,-75.161388
1279,1,1,1,214,Spring Garden Station,39.962338,-75.161388
1279,5,0,1,107,Spring Garden Station,39.962338,-75.161388
1279,5,1,1,108,Spring Garden Station,39.962338,-75.161388
1279,7,0,1,103,Spring Garden Station,39.962338,-75.161388
1279,7,1,1,104,Spring Garden Station,39.962338,-75.161388
1280,1,0,1,213,Race Vine Station,39.957039,-75.162601
1280,1,1,1,214,Race Vine Station,39.957039,-75.162601
1280,5,0,1,107,Race Vine Station,39.957039,-75.162601
1280,5,1,1,108,Race Vine Station,39.957039,-75.162601
1280,7,0,1,103,Race Vine Station,39.957039,-75.162601
1280,7,1,1,104,Race Vine Station,39.957039,-75.162601
1281,1,0,1,214,City Hall Station,39.952473,-75.164106
1281,1,1,1,214,City Hall Station,39.952473,-75.164106
1281,5,0,1,108,City Hall Station,39.952473,-75.164106
1281,5,1,1,108,City Hall Station,39.952473,-75.164106
1281,7,0,1,104,City Hall Station,39.952473,-75.164106
1281,7,1,1,104,City Hall Station,39.952473,-75.164106
1282,1,0,1,216,Walnut Locust Station,39.948716,-75.164498
1282,1,1,1,215,Walnut Locust Station,39.948716,-75.164498
1282,5,0,1,108,Walnut Locust Station,39.948716,-75.164498
1282,5,1,1,107,Walnut Locust Station,39.948716,-75.164498
1282,7,0,1,104,Walnut Locust Station,39.948716,-75.164498
1282,7,1,1,103,Walnut Locust Station,39.948716,-75.164498
1283,1,0,1,133,Lombard South Station,39.944095,-75.165424
1283,1,1,1,132,Lombard South Station,39.944095,-75.165424
1283,5,0,1,108,Lombard South Station,39.944095,-75.165424
1283,5,1,1,107,Lombard South Station,39.944095,-75.165424
1283,7,0,1,104,Lombard South Station,39.944095,-75.165424
1283,7,1,1,103,Lombard South Station,39.944095,-75.165424
1284,1,0,1,133,Ellsworth Federal Station,39.936191,-75.167141
1284,1,1,1,132,Ellsworth Federal Station,39.936191,-75.167141
1284,5,0,1,108,Ellsworth Federal Station,39.936191,-75.167141
1284,5,1,1,107,Ellsworth Federal Station,39.936191,-75.167141
1284,7,0,1,104,Ellsworth Federal Station,39.936191,-75.167141
1284,7,1,1,103,Ellsworth Federal Station,39.936191,-75.167141
1285,1,0,1,133,Tasker Morris Station,39.929786,-75.168475
1285,1,1,1,132,Tasker Morris Station,39.929786,-75.168475
1285,5,0,1,108,Tasker Morris Station,39.929786,-75.168475
1285,5,1,1,107,Tasker Morris Station,39.929786,-75.168475
1285,7,0,1,104,Tasker Morris Station,39.929786,-75.168475
1285,7,1,1,103,Tasker Morris Station,39.929786,-75.168475
1286,1,0,1,133,Snyder Station,39.924309,-75.169617
1286,1,1,1,132,Snyder Station,39.924309,-75.169617
1286,5,0,1,108,Snyder Station,39.924309,-75.169617
1286,5,1,1,107,Snyder Station,39.924309,-75.169617
1286,7,0,1,104,Snyder Station,39.924309,-75.169617
1286,7,1,1,103,Snyder Station,39.924309,-75.169617
